number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
25,0.41654067972222875,COMPLETE,2025-11-27 03:08:43.411664,2025-11-27 03:09:03.577243,0 days 00:00:20.165579,"[1024, 512]",[],[],relu,1024,32,,0.0001,,L2,2,AdamW,decreasing,,mean,False,0.0001
26,0.21839080459770113,PRUNED,2025-11-27 03:09:03.592908,2025-11-27 03:09:05.124184,0 days 00:00:01.531276,[640],[],[],silu,640,64,,0.0001,,minmax,1,Adam,decreasing,0.8,max,True,1e-07
27,0.21839080459770113,PRUNED,2025-11-27 03:09:05.124184,2025-11-27 03:09:05.945706,0 days 00:00:00.821522,"[768, 384, 192]",[2],[],gelu,768,128,,0.0002,0.8,L2,3,SGD,decreasing,,mean,False,0.0
28,0.4567323999709284,COMPLETE,2025-11-27 03:09:05.945706,2025-11-27 03:09:17.873225,0 days 00:00:11.927519,"[896, 896]",[1],[1],tanh,896,96,0.3,0.0001,,minmax,2,RMSprop,uniform,,mean,False,1e-07
29,0.19487179487179487,PRUNED,2025-11-27 03:09:17.873225,2025-11-27 03:09:18.631890,0 days 00:00:00.758665,[896],[],[],tanh,896,96,,0.001,,minmax,1,RMSprop,uniform,,max,False,1e-07
30,0.3715943605784487,PRUNED,2025-11-27 03:09:18.632892,2025-11-27 03:09:26.342624,0 days 00:00:07.709732,"[896, 896, 896, 896, 896, 896]","[1, 5]","[1, 2]",tanh,896,96,0.3,1e-05,,minmax,6,RMSprop,uniform,,mean,False,1e-07
31,0.468474060819218,COMPLETE,2025-11-27 03:09:26.342624,2025-11-27 03:09:35.264095,0 days 00:00:08.921471,"[896, 896]",[1],[1],tanh,896,96,0.3,0.0001,,minmax,2,RMSprop,uniform,,mean,False,1e-07
32,0.23511904761904764,PRUNED,2025-11-27 03:09:35.264095,2025-11-27 03:09:37.029715,0 days 00:00:01.765620,"[896, 896]",[1],[1],tanh,896,96,0.3,0.0001,,minmax,2,RMSprop,uniform,,mean,False,1e-07
33,0.08888888888888889,PRUNED,2025-11-27 03:09:37.029715,2025-11-27 03:09:39.107692,0 days 00:00:02.077977,"[1024, 1024]",[1],[1],tanh,1024,96,0.3,0.0001,,minmax,2,RMSprop,uniform,,mean,False,1e-07
34,0.33614382098842926,COMPLETE,2025-11-27 03:09:39.107692,2025-11-27 03:09:51.139249,0 days 00:00:12.031557,[192],[],[],tanh,192,96,,5e-05,,minmax,1,RMSprop,uniform,,mean,False,1e-07
