number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
23,0.4038394476359633,COMPLETE,2025-11-27 04:19:35.655386,2025-11-27 04:19:50.510501,0 days 00:00:14.855115,[512],[],[],leakyrelu,512,48,,0.0005,,minmax,1,AdamW,decreasing,0.9,mean,True,1e-07
24,0.4363969618436695,COMPLETE,2025-11-27 04:19:50.513527,2025-11-27 04:20:03.640604,0 days 00:00:13.127077,"[384, 192, 96]",[],[1],relu,384,96,0.3,0.0005,,minmax,3,AdamW,decreasing,0.9,mean,True,1e-07
25,0.43162896620232,COMPLETE,2025-11-27 04:20:03.642614,2025-11-27 04:20:16.920653,0 days 00:00:13.278039,"[384, 192, 96]",[],[1],relu,384,64,0.3,0.0005,,minmax,3,AdamW,decreasing,0.9,mean,True,1e-05
26,0.2522172313481271,COMPLETE,2025-11-27 04:20:16.922666,2025-11-27 04:20:29.314903,0 days 00:00:12.392237,"[384, 192, 96]",[],[1],relu,384,64,0.3,5e-05,,L2,3,AdamW,decreasing,0.9,max,True,1e-05
27,0.35497835497835495,PRUNED,2025-11-27 04:20:29.316917,2025-11-27 04:20:34.948776,0 days 00:00:05.631859,"[384, 192, 96]",[],[1],relu,384,64,0.3,0.0001,,minmax,3,RMSprop,decreasing,0.7,mean,True,1e-05
28,0.1908983451536643,PRUNED,2025-11-27 04:20:34.949776,2025-11-27 04:20:37.200577,0 days 00:00:02.250801,"[96, 192, 384]",[],[1],relu,384,64,0.3,2e-05,,minmax,3,Adam,increasing,0.9,mean,True,1e-05
29,0.21839080459770113,PRUNED,2025-11-27 04:20:37.201582,2025-11-27 04:20:55.032060,0 days 00:00:17.830478,"[384, 384, 384, 384, 384]","[1, 2, 3]",[3],relu,384,16,0.1,0.001,0.9,minmax,5,SGD,uniform,,mean,False,1e-05
30,0.08888888888888889,PRUNED,2025-11-27 04:20:55.033067,2025-11-27 04:20:59.036805,0 days 00:00:04.003738,"[112, 224, 448, 896]",[],"[1, 3]",relu,896,32,0.4,1e-05,,minmax,4,AdamW,increasing,0.5,mean,True,1e-05
31,0.21052631578947367,PRUNED,2025-11-27 04:20:59.037812,2025-11-27 04:21:00.736905,0 days 00:00:01.699093,"[128, 64, 64, 64]",[],[1],relu,128,48,0.3,0.0005,,minmax,4,AdamW,decreasing,0.9,mean,True,1e-07
32,0.21839080459770113,PRUNED,2025-11-27 04:21:00.737910,2025-11-27 04:21:07.613082,0 days 00:00:06.875172,"[256, 128, 64, 64, 64, 64]",[],"[1, 4]",tanh,256,96,0.3,0.0005,,minmax,6,AdamW,decreasing,0.9,mean,True,0.0001
33,0.4237824235962576,COMPLETE,2025-11-27 04:21:07.614088,2025-11-27 04:21:20.919122,0 days 00:00:13.305034,"[384, 192, 96]",[],[1],elu,384,64,0.3,0.0005,,minmax,3,AdamW,decreasing,0.9,mean,True,1e-07
