number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
24,0.40331952543964855,COMPLETE,2025-11-27 03:15:19.717712,2025-11-27 03:15:30.955626,0 days 00:00:11.237914,"[512, 256, 128, 64]",[],"[2, 3]",silu,512,128,0.5,0.001,,L2,4,RMSprop,decreasing,0.9,mean,True,1e-05
25,0.33619670090258325,PRUNED,2025-11-27 03:15:30.958635,2025-11-27 03:15:34.576260,0 days 00:00:03.617625,"[512, 256, 128, 64]",[],"[2, 3]",silu,512,16,0.5,0.001,,L2,4,RMSprop,decreasing,0.9,mean,True,1e-05
26,0.21839080459770113,PRUNED,2025-11-27 03:15:34.576260,2025-11-27 03:15:36.936061,0 days 00:00:02.359801,"[512, 256, 128, 64, 64]","[1, 4]","[1, 2, 3, 4]",silu,512,96,0.5,0.0002,,L2,5,RMSprop,decreasing,0.9,mean,True,1e-05
27,0.08333333333333333,PRUNED,2025-11-27 03:15:36.936061,2025-11-27 03:15:44.655975,0 days 00:00:07.719914,"[512, 256, 128, 64]",[],"[2, 3]",silu,512,48,0.5,1e-05,,L2,4,RMSprop,decreasing,0.9,mean,True,1e-05
28,0.21637426900584797,PRUNED,2025-11-27 03:15:44.655975,2025-11-27 03:15:50.170856,0 days 00:00:05.514881,"[512, 256, 128]",[],[2],silu,512,64,0.5,2e-05,,L2,3,RMSprop,decreasing,0.9,mean,True,1e-07
29,0.2908527131782946,PRUNED,2025-11-27 03:15:50.170856,2025-11-27 03:15:55.467362,0 days 00:00:05.296506,"[640, 320, 160, 80, 64]","[1, 3]","[1, 2]",silu,640,128,0.5,0.001,,L2,5,RMSprop,decreasing,0.6,mean,True,1e-05
30,0.18238993710691823,PRUNED,2025-11-27 03:15:55.467362,2025-11-27 03:16:00.514150,0 days 00:00:05.046788,"[512, 256, 128, 64]",[],"[2, 3]",silu,512,128,0.3,0.0005,,L2,4,Adam,decreasing,0.8,mean,True,1e-05
31,0.3182584253281781,PRUNED,2025-11-27 03:16:00.514150,2025-11-27 03:16:01.405373,0 days 00:00:00.891223,"[64, 64, 128]",[2],[],gelu,128,128,,0.001,,L2,3,AdamW,increasing,0.9,max,True,0.0
32,0.21637426900584797,PRUNED,2025-11-27 03:16:01.405373,2025-11-27 03:16:16.561176,0 days 00:00:15.155803,"[320, 640]",[],[],gelu,640,32,,5e-05,,minmax,2,RMSprop,increasing,0.9,max,True,0.0
33,0.21839080459770113,PRUNED,2025-11-27 03:16:16.561176,2025-11-27 03:16:17.217957,0 days 00:00:00.656781,[512],[],[],tanh,512,128,,0.001,0.8,L2,1,SGD,decreasing,,mean,False,1e-07
34,0.34096505612167577,COMPLETE,2025-11-27 03:16:17.217957,2025-11-27 03:16:29.963323,0 days 00:00:12.745366,"[128, 128, 128]",[],[2],elu,128,128,0.1,0.0002,,minmax,3,AdamW,uniform,0.8,mean,True,0.0
35,0.21839080459770113,PRUNED,2025-11-27 03:16:29.965334,2025-11-27 03:16:37.351976,0 days 00:00:07.386642,"[224, 448, 896]",[],[2],leakyrelu,896,32,0.2,0.0001,,L2,3,RMSprop,increasing,,max,False,1e-07
36,0.27538751267564826,PRUNED,2025-11-27 03:16:37.352982,2025-11-27 03:16:38.440533,0 days 00:00:01.087551,"[512, 256]",[],[],silu,512,64,,0.001,,minmax,2,AdamW,decreasing,,mean,False,1e-05
37,0.21839080459770113,PRUNED,2025-11-27 03:16:38.441579,2025-11-27 03:16:40.573568,0 days 00:00:02.131989,"[64, 64, 80, 160, 320, 640]","[3, 4]",[2],gelu,640,48,0.5,5e-05,,L2,6,Adam,increasing,0.9,max,True,1e-06
38,0.21839080459770113,PRUNED,2025-11-27 03:16:40.573568,2025-11-27 03:16:41.936031,0 days 00:00:01.362463,"[768, 768, 768, 768]",[2],[3],silu,768,64,0.5,0.001,,minmax,4,RMSprop,uniform,,mean,False,0.0001
39,0.24369747899159666,PRUNED,2025-11-27 03:16:41.937036,2025-11-27 03:16:42.758151,0 days 00:00:00.821115,"[128, 64]",[1],[],silu,128,128,,0.0005,0.8,L2,2,SGD,decreasing,0.6,max,True,1e-07
40,0.29908103592314117,PRUNED,2025-11-27 03:16:42.758655,2025-11-27 03:16:45.115207,0 days 00:00:02.356552,"[896, 896, 896, 896]",[3],[2],gelu,896,32,0.5,0.0001,,minmax,4,AdamW,uniform,,mean,False,0.0
41,0.26129983823389474,PRUNED,2025-11-27 03:16:45.116274,2025-11-27 03:16:45.998738,0 days 00:00:00.882464,"[128, 128, 128]",[],[2],elu,128,128,0.1,0.0002,,minmax,3,AdamW,uniform,0.8,mean,True,0.0
42,0.2619047619047619,PRUNED,2025-11-27 03:16:45.999740,2025-11-27 03:16:46.800205,0 days 00:00:00.800465,"[128, 128]",[],[],elu,128,128,,0.0002,,minmax,2,AdamW,uniform,0.8,mean,True,0.0
43,0.34110334110334106,PRUNED,2025-11-27 03:16:46.800205,2025-11-27 03:16:48.260913,0 days 00:00:01.460708,"[128, 128, 128]",[],[2],elu,128,128,0.1,0.0002,,minmax,3,AdamW,uniform,0.8,mean,True,0.0
44,0.21637426900584797,PRUNED,2025-11-27 03:16:48.261918,2025-11-27 03:16:53.946126,0 days 00:00:05.684208,"[256, 256, 256]",[],[2],elu,256,128,0.1,0.0002,,minmax,3,AdamW,uniform,0.8,mean,True,0.0
45,0.28591208030460363,PRUNED,2025-11-27 03:16:53.947134,2025-11-27 03:16:58.873788,0 days 00:00:04.926654,"[1024, 1024]",[],[],elu,1024,96,,0.001,,minmax,2,AdamW,uniform,0.7,mean,True,1e-05
46,0.17825654937463528,PRUNED,2025-11-27 03:16:58.874796,2025-11-27 03:17:02.404444,0 days 00:00:03.529648,[128],[],[],relu,128,128,,0.0002,,minmax,1,AdamW,increasing,0.9,max,True,0.0
47,0.4020254995924125,COMPLETE,2025-11-27 03:17:02.405450,2025-11-27 03:17:54.153440,0 days 00:00:51.747990,"[384, 384, 384, 384]",[1],"[1, 2, 3]",tanh,384,16,0.1,0.0001,,L2,4,Adam,uniform,0.8,mean,True,1e-06
48,0.2888888888888889,PRUNED,2025-11-27 03:17:54.155451,2025-11-27 03:17:58.513112,0 days 00:00:04.357661,"[64, 96, 192, 384]",[1],"[1, 2, 3]",tanh,384,16,0.1,0.0001,,L2,4,Adam,increasing,,mean,False,1e-06
49,0.21839080459770113,PRUNED,2025-11-27 03:17:58.514117,2025-11-27 03:18:26.468108,0 days 00:00:27.953991,"[384, 384, 384, 384, 384]","[1, 2]","[1, 2, 3, 4]",tanh,384,16,0.3,0.0001,,L2,5,Adam,uniform,0.5,max,True,1e-06
