number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
23,0.1761006289308176,PRUNED,2025-11-27 04:28:00.004060,2025-11-27 04:28:06.584873,0 days 00:00:06.580813,"[512, 256, 128, 64, 64]",[4],"[1, 4]",relu,512,48,0.5,0.0001,,L2,5,Adam,decreasing,0.7,mean,True,1e-07
24,0.21839080459770113,PRUNED,2025-11-27 04:28:06.585878,2025-11-27 04:28:12.978684,0 days 00:00:06.392806,"[896, 448, 224, 112, 64, 64]","[1, 5]","[1, 5]",gelu,896,32,0.5,0.0001,,L2,6,Adam,decreasing,0.7,mean,True,1e-07
25,0.464411704041585,COMPLETE,2025-11-27 04:28:12.980187,2025-11-27 04:28:28.332748,0 days 00:00:15.352561,"[640, 320, 160, 80]",[],[1],gelu,640,48,0.3,0.001,,L2,4,Adam,decreasing,0.7,mean,True,1e-05
26,0.21758419036095988,COMPLETE,2025-11-27 04:28:28.334760,2025-11-27 04:28:41.146088,0 days 00:00:12.811328,"[640, 320, 160]",[1],[1],gelu,640,48,0.5,0.001,0.9,minmax,3,SGD,decreasing,,mean,False,1e-05
27,0.43694614728340025,COMPLETE,2025-11-27 04:28:41.148100,2025-11-27 04:28:53.126840,0 days 00:00:11.978740,[640],[],[],gelu,640,48,,0.001,,L2,1,AdamW,decreasing,0.9,mean,True,1e-05
28,0.1761006289308176,PRUNED,2025-11-27 04:28:53.128852,2025-11-27 04:29:00.348579,0 days 00:00:07.219727,"[80, 160, 320, 640]",[1],[1],gelu,640,48,0.2,0.001,,L2,4,RMSprop,increasing,0.7,mean,True,1e-05
29,0.21839080459770113,PRUNED,2025-11-27 04:29:00.348579,2025-11-27 04:29:01.176723,0 days 00:00:00.828144,[768],[],[],gelu,768,96,,0.001,0.7,minmax,1,SGD,uniform,,mean,False,1e-06
30,0.21839080459770113,PRUNED,2025-11-27 04:29:01.177736,2025-11-27 04:29:02.602514,0 days 00:00:01.424778,"[512, 1024]",[],[],gelu,1024,48,,1e-05,,L2,2,Adam,increasing,0.5,mean,True,1e-05
31,0.21839080459770113,PRUNED,2025-11-27 04:29:02.602514,2025-11-27 04:29:03.715839,0 days 00:00:01.113325,"[192, 96, 64, 64, 64]",[4],"[1, 4]",relu,192,128,0.3,0.0001,,L2,5,Adam,decreasing,0.7,mean,True,1e-07
32,0.22403416812269464,PRUNED,2025-11-27 04:29:03.716844,2025-11-27 04:29:05.711393,0 days 00:00:01.994549,"[1024, 512, 256, 128]",[],[1],leakyrelu,1024,96,0.3,2e-05,,L2,4,Adam,decreasing,0.7,mean,True,0.0001
