number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
25,0.21839080459770113,PRUNED,2025-11-27 03:24:09.780954,2025-11-27 03:24:14.703871,0 days 00:00:04.922917,"[640, 320, 160, 80, 64, 64]",[5],"[1, 2, 3]",silu,640,32,0.4,1e-05,,L2,6,Adam,decreasing,,max,False,0.0001
26,0.21839080459770113,PRUNED,2025-11-27 03:24:14.704878,2025-11-27 03:24:16.562189,0 days 00:00:01.857311,[1024],[],[],relu,1024,128,,0.0002,,minmax,1,Adam,decreasing,,mean,False,1e-05
27,0.21839080459770113,PRUNED,2025-11-27 03:24:16.563195,2025-11-27 03:24:17.754629,0 days 00:00:01.191434,"[768, 384, 192, 96, 64]",[3],[],leakyrelu,768,96,,5e-05,0.8,L2,5,SGD,decreasing,,max,False,1e-07
28,0.21839080459770113,PRUNED,2025-11-27 03:24:17.755634,2025-11-27 03:24:20.386066,0 days 00:00:02.630432,"[320, 640]",[],[1],gelu,640,64,0.5,0.001,,minmax,2,AdamW,increasing,0.9,max,True,1e-07
29,0.21758419036095988,COMPLETE,2025-11-27 03:24:20.386066,2025-11-27 03:24:29.510447,0 days 00:00:09.124381,[896],[],[],silu,896,48,,1e-05,,minmax,1,AdamW,uniform,0.7,mean,True,0.0
30,0.1761006289308176,PRUNED,2025-11-27 03:24:29.512459,2025-11-27 03:24:37.260932,0 days 00:00:07.748473,"[128, 256, 512, 1024]",[1],[3],elu,1024,16,0.2,0.0001,,L2,4,Adam,increasing,,max,False,1e-05
31,0.36207625084029577,PRUNED,2025-11-27 03:24:37.261937,2025-11-27 03:24:41.055250,0 days 00:00:03.793313,[640],[],[],elu,640,64,,0.0002,,L2,1,RMSprop,decreasing,0.6,max,True,1e-07
32,0.21839080459770113,PRUNED,2025-11-27 03:24:41.056255,2025-11-27 03:24:43.061744,0 days 00:00:02.005489,"[640, 320]",[],[1],elu,640,64,0.1,0.0002,,L2,2,RMSprop,decreasing,0.6,max,True,1e-07
33,0.24444444444444444,PRUNED,2025-11-27 03:24:43.062751,2025-11-27 03:24:45.713768,0 days 00:00:02.651017,[640],[],[],tanh,640,64,,0.0002,,L2,1,RMSprop,decreasing,0.6,max,True,1e-07
34,0.3238374744398841,PRUNED,2025-11-27 03:24:45.714813,2025-11-27 03:24:50.142719,0 days 00:00:04.427906,"[192, 96, 64]",[2],"[1, 2]",elu,192,64,0.3,0.0002,,L2,3,RMSprop,decreasing,0.8,max,True,1e-06
35,0.3723016540510233,PRUNED,2025-11-27 03:24:50.143724,2025-11-27 03:24:51.803755,0 days 00:00:01.660031,[1024],[],[],tanh,1024,96,,0.0005,,L2,1,RMSprop,decreasing,0.6,max,True,1e-07
36,0.3015449469743736,COMPLETE,2025-11-27 03:24:51.804761,2025-11-27 03:25:05.134263,0 days 00:00:13.329502,"[256, 128]",[1],[],elu,256,64,,1e-05,,L2,2,RMSprop,decreasing,0.6,mean,True,0.0
37,0.26815415821501015,PRUNED,2025-11-27 03:25:05.137281,2025-11-27 03:25:07.740484,0 days 00:00:02.603203,"[320, 640]",[],[1],elu,640,128,0.4,2e-05,,L2,2,RMSprop,increasing,0.6,max,True,1e-06
38,0.29691358024691356,PRUNED,2025-11-27 03:25:07.741490,2025-11-27 03:25:19.984052,0 days 00:00:12.242562,"[768, 384, 192]",[1],[],relu,768,16,,5e-05,0.9,minmax,3,SGD,decreasing,,max,False,0.0001
39,0.34450769555133887,PRUNED,2025-11-27 03:25:19.985062,2025-11-27 03:25:26.585208,0 days 00:00:06.600146,[384],[],[],leakyrelu,384,32,,0.0002,,L2,1,Adam,decreasing,0.7,mean,True,1e-07
40,0.21839080459770113,PRUNED,2025-11-27 03:25:26.586213,2025-11-27 03:25:29.573030,0 days 00:00:02.986817,"[1024, 1024, 1024, 1024, 1024, 1024]","[4, 5]","[1, 3, 4]",gelu,1024,96,0.4,0.0001,,minmax,6,Adam,uniform,,max,False,1e-05
41,0.30529200927682903,PRUNED,2025-11-27 03:25:29.574036,2025-11-27 03:25:30.961256,0 days 00:00:01.387220,"[1024, 512, 256]","[1, 2]","[1, 2]",tanh,1024,64,0.3,2e-05,,L2,3,RMSprop,decreasing,0.5,max,True,1e-06
42,0.27814938684503904,PRUNED,2025-11-27 03:25:30.962261,2025-11-27 03:25:32.528341,0 days 00:00:01.566080,"[1024, 512, 256, 128]","[1, 2, 3]","[1, 2]",tanh,1024,64,0.3,2e-05,,L2,4,RMSprop,decreasing,0.5,max,True,1e-06
43,0.3123523093447906,PRUNED,2025-11-27 03:25:32.529371,2025-11-27 03:25:38.425549,0 days 00:00:05.896178,"[512, 256, 128, 64]","[1, 2]","[1, 2, 3]",tanh,512,64,0.3,2e-05,,L2,4,RMSprop,decreasing,0.8,max,True,1e-06
44,0.2662917056255435,COMPLETE,2025-11-27 03:25:38.426555,2025-11-27 03:25:49.051483,0 days 00:00:10.624928,[128],[],[],tanh,128,48,,2e-05,,L2,1,RMSprop,decreasing,0.9,max,True,1e-06
45,0.1761006289308176,PRUNED,2025-11-27 03:25:49.053494,2025-11-27 03:25:50.644171,0 days 00:00:01.590677,"[512, 1024]",[1],[1],elu,1024,128,0.3,0.0005,,L2,2,Adam,increasing,0.5,max,True,1e-07
46,0.3962454330717974,COMPLETE,2025-11-27 03:25:50.645176,2025-11-27 03:26:05.932684,0 days 00:00:15.287508,"[768, 384, 192]","[1, 2]","[1, 2]",relu,768,64,0.3,0.0002,,minmax,3,AdamW,decreasing,,max,False,0.0
47,0.21839080459770113,PRUNED,2025-11-27 03:26:05.934695,2025-11-27 03:26:08.306361,0 days 00:00:02.371666,[768],[],[],relu,768,64,,0.0002,,minmax,1,AdamW,decreasing,,max,False,0.0
48,0.21839080459770113,PRUNED,2025-11-27 03:26:08.307367,2025-11-27 03:26:18.180172,0 days 00:00:09.872805,"[768, 768, 768, 768, 768]","[1, 2]","[1, 2, 3]",relu,768,16,0.2,0.0002,,minmax,5,AdamW,uniform,,max,False,0.0
49,0.3070235644017387,PRUNED,2025-11-27 03:26:18.180172,2025-11-27 03:26:23.393639,0 days 00:00:05.213467,"[768, 384]",[1],[1],relu,768,64,0.5,0.0002,,minmax,2,AdamW,decreasing,,mean,False,0.0
