number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-27 03:55:34.753662,2025-11-27 03:56:04.301340,0 days 00:00:29.547678,"[224, 448, 896]",[1],[],tanh,896,16,,1e-05,0.9,minmax,3,SGD,increasing,0.9,max,True,0.0
1,0.21758419036095988,COMPLETE,2025-11-27 03:56:04.303352,2025-11-27 03:56:14.972397,0 days 00:00:10.669045,"[64, 96, 192, 384, 768]","[3, 4]","[1, 2]",relu,768,96,0.2,2e-05,,L2,5,Adam,increasing,,mean,False,1e-05
2,0.21758419036095988,COMPLETE,2025-11-27 03:56:14.974408,2025-11-27 03:56:26.390090,0 days 00:00:11.415682,"[128, 128, 128, 128]","[1, 3]",[1],leakyrelu,128,64,0.2,1e-05,,L2,4,RMSprop,uniform,,mean,False,0.0
3,0.21238938053097345,PRUNED,2025-11-27 03:56:26.392102,2025-11-27 03:56:36.193894,0 days 00:00:09.801792,"[64, 64, 64, 64, 96, 192]","[2, 3, 5]","[1, 4]",gelu,192,64,0.2,0.0001,,minmax,6,Adam,increasing,0.5,mean,True,1e-06
4,0.46936449736017566,COMPLETE,2025-11-27 03:56:36.194899,2025-11-27 03:57:40.509849,0 days 00:01:04.314950,"[256, 256, 256, 256, 256, 256]","[1, 2, 3]","[2, 3, 4]",leakyrelu,256,16,0.3,5e-05,,L2,6,Adam,uniform,0.6,mean,True,1e-05
5,0.4326599326599327,PRUNED,2025-11-27 03:57:40.511859,2025-11-27 03:57:41.587144,0 days 00:00:01.075285,"[512, 256]",[],[],leakyrelu,512,64,,0.0005,,minmax,2,Adam,decreasing,,mean,False,0.0001
6,0.21839080459770113,PRUNED,2025-11-27 03:57:41.588162,2025-11-27 03:57:43.502761,0 days 00:00:01.914599,"[192, 96, 64, 64, 64]",[4],"[1, 2, 3, 4]",silu,192,48,0.2,0.0001,,L2,5,RMSprop,decreasing,,max,False,1e-07
7,0.21839080459770113,PRUNED,2025-11-27 03:57:43.502761,2025-11-27 03:57:49.081710,0 days 00:00:05.578949,"[768, 768, 768, 768, 768, 768]","[1, 2]","[3, 5]",leakyrelu,768,16,0.5,0.0005,,minmax,6,RMSprop,uniform,,max,False,1e-06
8,0.19487179487179487,PRUNED,2025-11-27 03:57:49.082715,2025-11-27 03:58:04.052639,0 days 00:00:14.969924,"[768, 768, 768]","[1, 2]","[1, 2]",silu,768,16,0.1,0.001,,minmax,3,AdamW,uniform,0.5,mean,True,1e-07
9,0.21839080459770113,PRUNED,2025-11-27 03:58:04.053646,2025-11-27 03:58:10.506179,0 days 00:00:06.452533,"[192, 192, 192]",[1],[],leakyrelu,192,16,,0.0005,,minmax,3,AdamW,uniform,,mean,False,1e-05
10,0.3391069406607697,PRUNED,2025-11-27 03:58:10.507184,2025-11-27 03:58:13.277656,0 days 00:00:02.770472,[256],[],[],elu,256,32,,5e-05,0.0,L2,1,SGD,uniform,0.6,max,True,1e-05
11,0.3815475490473126,COMPLETE,2025-11-27 03:58:13.277656,2025-11-27 03:58:29.690721,0 days 00:00:16.413065,"[112, 224, 448, 896]","[1, 2, 3]","[2, 3]",tanh,896,128,0.3,0.0002,0.9,L2,4,SGD,increasing,0.9,max,True,0.0
12,0.21839080459770113,PRUNED,2025-11-27 03:58:29.692743,2025-11-27 03:58:30.844124,0 days 00:00:01.151381,"[64, 112, 224, 448, 896]","[1, 2, 3]","[2, 3, 4]",tanh,896,128,0.3,0.0002,0.7,L2,5,SGD,increasing,0.9,max,True,0.0
13,0.21238938053097345,PRUNED,2025-11-27 03:58:30.845130,2025-11-27 03:58:38.859103,0 days 00:00:08.013973,"[64, 64, 128, 256]","[1, 2, 3]","[2, 3]",tanh,256,128,0.3,0.0002,,L2,4,Adam,increasing,0.8,max,True,0.0001
14,0.26129983823389474,PRUNED,2025-11-27 03:58:38.859607,2025-11-27 03:58:42.649057,0 days 00:00:03.789450,"[384, 192, 96, 64, 64, 64]","[1, 2, 3]","[2, 3, 4]",elu,384,128,0.4,5e-05,0.9,L2,6,SGD,decreasing,0.7,mean,True,0.0
15,0.36568259226107536,COMPLETE,2025-11-27 03:58:42.650073,2025-11-27 03:58:52.395217,0 days 00:00:09.745144,[1024],[],[],gelu,1024,96,,5e-05,,L2,1,Adam,uniform,0.6,max,True,1e-05
16,0.2144927536231884,PRUNED,2025-11-27 03:58:52.397229,2025-11-27 03:58:54.945441,0 days 00:00:02.548212,"[80, 160, 320, 640]","[1, 2, 3]","[2, 3]",relu,640,32,0.3,0.0002,0.8,L2,4,SGD,increasing,0.9,mean,True,1e-05
17,0.44020961842083517,COMPLETE,2025-11-27 03:58:54.946447,2025-11-27 03:59:16.512347,0 days 00:00:21.565900,"[64, 112, 224, 448, 896]","[1, 2]","[2, 3, 4]",tanh,896,48,0.3,0.001,,L2,5,AdamW,increasing,0.6,max,True,0.0
18,0.42031497562908815,COMPLETE,2025-11-27 03:59:16.514359,2025-11-27 03:59:38.154528,0 days 00:00:21.640169,"[256, 256, 256, 256, 256]","[1, 2]","[2, 3, 4]",leakyrelu,256,48,0.3,0.001,,L2,5,AdamW,uniform,0.6,max,True,1e-07
19,0.48065825655599637,COMPLETE,2025-11-27 03:59:38.156540,2025-11-27 04:00:05.791720,0 days 00:00:27.635180,"[640, 320, 160, 80, 64, 64]","[1, 2]","[2, 3, 4]",tanh,640,48,0.4,0.001,,L2,6,AdamW,decreasing,0.6,mean,True,1e-06
20,0.1761006289308176,PRUNED,2025-11-27 04:00:05.793731,2025-11-27 04:00:09.429886,0 days 00:00:03.636155,"[640, 320, 160, 80, 64, 64]",[2],"[2, 4]",relu,640,48,0.4,2e-05,,L2,6,AdamW,decreasing,0.6,mean,True,1e-06
21,0.21637426900584797,PRUNED,2025-11-27 04:00:09.429886,2025-11-27 04:00:22.766061,0 days 00:00:13.336175,"[640, 320, 160, 80, 64, 64]","[1, 2]","[2, 3, 4]",tanh,640,48,0.4,0.001,,L2,6,AdamW,decreasing,0.6,mean,True,1e-06
22,0.46674791494910756,COMPLETE,2025-11-27 04:00:22.767121,2025-11-27 04:00:47.522772,0 days 00:00:24.755651,"[128, 64, 64, 64, 64]","[1, 2]","[2, 3, 4]",tanh,128,48,0.1,0.001,,L2,5,AdamW,decreasing,0.6,mean,True,1e-06
23,0.21839080459770113,PRUNED,2025-11-27 04:00:47.524783,2025-11-27 04:00:51.517508,0 days 00:00:03.992725,"[128, 64, 64, 64, 64, 64]","[1, 2]","[2, 3, 4]",tanh,128,48,0.1,0.001,,L2,6,AdamW,decreasing,0.6,mean,True,1e-06
24,0.08130081300813008,PRUNED,2025-11-27 04:00:51.518514,2025-11-27 04:01:04.482198,0 days 00:00:12.963684,"[128, 64, 64, 64, 64]","[1, 2, 4]","[2, 3]",tanh,128,48,0.1,5e-05,,L2,5,AdamW,decreasing,0.7,mean,True,1e-06
25,0.21839080459770113,PRUNED,2025-11-27 04:01:04.483203,2025-11-27 04:01:15.691884,0 days 00:00:11.208681,"[1024, 512, 256, 128, 64, 64]","[1, 2, 5]","[2, 3, 4, 5]",silu,1024,16,0.5,0.001,,L2,6,Adam,decreasing,0.8,mean,True,1e-06
26,0.21839080459770113,PRUNED,2025-11-27 04:01:15.692889,2025-11-27 04:01:23.564887,0 days 00:00:07.871998,"[512, 256, 128, 64, 64]","[1, 2]","[2, 3, 4]",elu,512,48,0.4,0.001,,L2,5,AdamW,decreasing,0.6,mean,True,1e-06
27,0.3182678158503258,PRUNED,2025-11-27 04:01:23.564887,2025-11-27 04:01:29.230222,0 days 00:00:05.665335,"[384, 192, 96, 64, 64, 64]","[1, 2]","[2, 3, 4]",gelu,384,32,0.1,5e-05,,L2,6,AdamW,decreasing,0.6,mean,True,0.0001
28,0.21839080459770113,PRUNED,2025-11-27 04:01:29.230222,2025-11-27 04:01:31.607177,0 days 00:00:02.376955,"[640, 320, 160, 80, 64]","[2, 4]","[1, 2]",leakyrelu,640,96,0.1,0.001,,L2,5,Adam,decreasing,0.6,mean,True,1e-05
29,0.21839080459770113,PRUNED,2025-11-27 04:01:31.608184,2025-11-27 04:01:36.827224,0 days 00:00:05.219040,"[128, 128, 128, 128, 128, 128]","[1, 3]","[3, 4]",tanh,128,16,0.4,1e-05,,minmax,6,RMSprop,uniform,0.8,mean,True,1e-06
30,0.4406794202115839,COMPLETE,2025-11-27 04:01:36.828231,2025-11-27 04:02:56.324537,0 days 00:01:19.496306,"[256, 128, 64, 64]","[1, 2]","[2, 3]",tanh,256,16,0.5,2e-05,,L2,4,AdamW,decreasing,0.6,mean,True,1e-06
31,0.22028985507246376,PRUNED,2025-11-27 04:02:56.326567,2025-11-27 04:03:11.167241,0 days 00:00:14.840674,"[256, 128, 64, 64]","[1, 2]","[2, 3]",tanh,256,16,0.5,2e-05,,L2,4,AdamW,decreasing,0.6,mean,True,1e-06
32,0.22916666666666666,PRUNED,2025-11-27 04:03:11.168260,2025-11-27 04:03:16.051724,0 days 00:00:04.883464,"[256, 128, 64, 64, 64]","[1, 2]","[2, 3, 4]",tanh,256,16,0.5,2e-05,,L2,5,AdamW,decreasing,0.6,mean,True,1e-06
33,0.25133689839572193,PRUNED,2025-11-27 04:03:16.051724,2025-11-27 04:03:29.089612,0 days 00:00:13.037888,"[256, 128, 64, 64]","[1, 2]","[2, 3]",tanh,256,16,0.5,2e-05,,L2,4,AdamW,decreasing,0.6,mean,True,1e-06
34,0.21839080459770113,PRUNED,2025-11-27 04:03:29.090116,2025-11-27 04:03:30.577654,0 days 00:00:01.487538,"[128, 64]",[1],[],relu,128,48,,1e-05,,L2,2,Adam,decreasing,,mean,False,1e-05
35,0.27476445123503945,PRUNED,2025-11-27 04:03:30.579157,2025-11-27 04:03:35.678384,0 days 00:00:05.099227,"[256, 128, 64, 64, 64]","[1, 2]","[2, 3, 4]",tanh,256,96,0.1,0.0001,,L2,5,AdamW,decreasing,0.7,mean,True,1e-06
36,0.21839080459770113,PRUNED,2025-11-27 04:03:35.679384,2025-11-27 04:03:37.212056,0 days 00:00:01.532672,"[640, 640, 640, 640]",[],"[1, 2, 3]",leakyrelu,640,64,0.4,2e-05,,minmax,4,Adam,uniform,,mean,False,0.0001
37,0.34361766485178463,PRUNED,2025-11-27 04:03:37.213061,2025-11-27 04:03:47.627952,0 days 00:00:10.414891,"[512, 256, 128, 64, 64, 64]","[1, 2, 3, 4, 5]",[5],gelu,512,16,0.5,0.0001,,L2,6,RMSprop,decreasing,0.5,mean,True,1e-07
38,0.08888888888888889,PRUNED,2025-11-27 04:03:47.627952,2025-11-27 04:03:51.669694,0 days 00:00:04.041742,"[128, 128, 128]",[],"[1, 2]",leakyrelu,128,64,0.2,5e-05,,L2,3,AdamW,uniform,,mean,False,1e-06
39,0.36417055167055173,PRUNED,2025-11-27 04:03:51.670698,2025-11-27 04:04:01.339586,0 days 00:00:09.668888,"[768, 384, 192, 96, 64]","[1, 2]","[3, 4]",silu,768,16,0.4,0.001,,minmax,5,Adam,decreasing,0.6,mean,True,1e-05
40,0.46975843464365263,COMPLETE,2025-11-27 04:04:01.340089,2025-11-27 04:04:18.147056,0 days 00:00:16.806967,"[192, 192]",[1],[1],tanh,192,48,0.2,0.0005,,L2,2,AdamW,uniform,,mean,False,1e-06
41,0.32964927792514,PRUNED,2025-11-27 04:04:18.148061,2025-11-27 04:04:23.636109,0 days 00:00:05.488048,"[192, 192]",[1],[1],tanh,192,48,0.2,0.0005,,L2,2,AdamW,uniform,,mean,False,1e-06
42,0.21839080459770113,PRUNED,2025-11-27 04:04:23.637177,2025-11-27 04:04:26.875795,0 days 00:00:03.238618,"[192, 192]",[1],[1],tanh,192,48,0.2,0.0005,,L2,2,AdamW,uniform,,mean,False,1e-06
43,0.21839080459770113,PRUNED,2025-11-27 04:04:26.876804,2025-11-27 04:04:30.065407,0 days 00:00:03.188603,"[192, 192, 192]",[1],"[1, 2]",tanh,192,48,0.2,0.0005,,L2,3,AdamW,uniform,,mean,False,1e-06
44,0.21839080459770113,PRUNED,2025-11-27 04:04:30.066414,2025-11-27 04:04:32.824713,0 days 00:00:02.758299,[256],[],[],tanh,256,48,,0.0005,,L2,1,RMSprop,uniform,,mean,False,1e-06
45,0.2128205128205128,PRUNED,2025-11-27 04:04:32.825719,2025-11-27 04:04:41.838459,0 days 00:00:09.012740,"[192, 192]",[1],[1],leakyrelu,192,16,0.2,2e-05,,minmax,2,AdamW,uniform,,mean,False,1e-07
46,0.21839080459770113,PRUNED,2025-11-27 04:04:41.839459,2025-11-27 04:04:44.447586,0 days 00:00:02.608127,"[384, 384, 384, 384]","[1, 2, 3]","[1, 2]",elu,384,32,0.5,1e-05,,L2,4,AdamW,uniform,,mean,False,1e-05
47,0.21637426900584797,PRUNED,2025-11-27 04:04:44.448590,2025-11-27 04:04:57.434726,0 days 00:00:12.986136,"[1024, 512, 256, 128, 64, 64]","[2, 3]","[1, 3, 4]",tanh,1024,64,0.3,0.0005,,L2,6,Adam,decreasing,0.6,mean,True,0.0001
48,0.29012345679012347,PRUNED,2025-11-27 04:04:57.435732,2025-11-27 04:05:00.528552,0 days 00:00:03.092820,"[192, 384, 768]",[1],[2],silu,768,48,0.1,5e-05,0.7,L2,3,SGD,increasing,0.5,mean,True,1e-06
49,0.21839080459770113,PRUNED,2025-11-27 04:05:00.529552,2025-11-27 04:05:02.576092,0 days 00:00:02.046540,"[256, 256, 256, 256, 256]","[1, 2]",[4],tanh,256,128,0.2,0.001,,minmax,5,AdamW,uniform,0.6,max,True,0.0
