number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.2716665724348321,COMPLETE,2025-11-27 04:48:13.321587,2025-11-27 04:48:19.829181,0 days 00:00:06.507594,[1024],[],[],gelu,1024,96,,0.001,0.0,L2,1,SGD,decreasing,0.5,max,True,1e-07
1,0.32524413264950136,COMPLETE,2025-11-27 04:48:19.831701,2025-11-27 04:48:38.069794,0 days 00:00:18.238093,"[1024, 512, 256, 128]","[2, 3]","[1, 2]",leakyrelu,1024,96,0.2,0.0005,0.9,L2,4,SGD,decreasing,,mean,False,0.0
2,0.30570048309178743,PRUNED,2025-11-27 04:48:38.072304,2025-11-27 04:48:39.498521,0 days 00:00:01.426217,"[640, 320]",[1],[1],tanh,640,128,0.5,2e-05,0.0,L2,2,SGD,decreasing,,max,False,0.0
3,0.4559760548452855,COMPLETE,2025-11-27 04:48:39.499530,2025-11-27 04:49:31.603466,0 days 00:00:52.103936,"[896, 896, 896, 896]",[1],[3],relu,896,16,0.5,0.0002,,minmax,4,AdamW,uniform,,max,False,0.0001
4,0.21637426900584797,PRUNED,2025-11-27 04:49:31.606483,2025-11-27 04:49:40.223670,0 days 00:00:08.617187,"[768, 768, 768, 768, 768, 768]","[2, 4, 5]","[1, 3, 5]",gelu,768,64,0.2,0.0002,0.8,L2,6,SGD,uniform,,mean,False,1e-07
5,0.21839080459770113,PRUNED,2025-11-27 04:49:40.224674,2025-11-27 04:49:51.548208,0 days 00:00:11.323534,"[256, 128, 64, 64, 64, 64]",[3],[1],leakyrelu,256,32,0.5,0.001,,minmax,6,Adam,decreasing,0.7,mean,True,0.0
6,0.31878333004147735,PRUNED,2025-11-27 04:49:51.549213,2025-11-27 04:49:58.778329,0 days 00:00:07.229116,"[384, 384]",[1],[1],relu,384,16,0.3,0.0002,,minmax,2,Adam,uniform,,mean,False,0.0
7,0.43503279294496056,COMPLETE,2025-11-27 04:49:58.779334,2025-11-27 04:50:26.012750,0 days 00:00:27.233416,"[256, 512, 1024]",[2],"[1, 2]",elu,1024,48,0.3,0.001,,minmax,3,RMSprop,increasing,,max,False,1e-06
8,0.44558413281622106,PRUNED,2025-11-27 04:50:26.014762,2025-11-27 04:50:45.955757,0 days 00:00:19.940995,"[384, 192, 96, 64, 64]","[1, 3]","[1, 2, 3]",gelu,384,16,0.3,5e-05,,minmax,5,RMSprop,decreasing,,max,False,0.0001
9,0.21839080459770113,PRUNED,2025-11-27 04:50:45.956761,2025-11-27 04:50:50.850733,0 days 00:00:04.893972,"[64, 64, 128, 256, 512]","[2, 3]","[1, 2, 3]",elu,512,32,0.2,2e-05,,L2,5,Adam,increasing,,max,False,1e-05
10,0.33827160493827163,PRUNED,2025-11-27 04:50:50.851237,2025-11-27 04:51:13.935744,0 days 00:00:23.084507,"[896, 896, 896, 896]",[1],[3],relu,896,16,0.4,1e-05,,minmax,4,AdamW,uniform,0.6,max,True,0.0001
11,0.21637426900584797,PRUNED,2025-11-27 04:51:13.936749,2025-11-27 04:51:25.467628,0 days 00:00:11.530879,"[224, 448, 896]",[],[2],silu,896,48,0.1,0.0001,,minmax,3,AdamW,increasing,,max,False,1e-06
12,0.501031694455959,COMPLETE,2025-11-27 04:51:25.468633,2025-11-27 04:51:46.244456,0 days 00:00:20.775823,"[64, 64, 128]","[1, 2]",[],elu,128,48,,0.001,,minmax,3,RMSprop,increasing,,max,False,1e-06
13,0.1761006289308176,PRUNED,2025-11-27 04:51:46.246468,2025-11-27 04:51:51.566158,0 days 00:00:05.319690,"[64, 64, 128]",[1],[],relu,128,48,,0.0002,,minmax,3,AdamW,increasing,,max,False,1e-06
14,0.4143598143598144,PRUNED,2025-11-27 04:51:51.567205,2025-11-27 04:51:57.460591,0 days 00:00:05.893386,"[128, 128, 128, 128]","[1, 2]",[3],elu,128,64,0.5,0.0005,,minmax,4,RMSprop,uniform,0.8,max,True,0.0001
15,0.26666666666666666,PRUNED,2025-11-27 04:51:57.461611,2025-11-27 04:51:59.663336,0 days 00:00:02.201725,"[96, 192]",[1],[],tanh,192,128,,0.0001,,minmax,2,AdamW,increasing,,max,False,1e-05
16,0.45401289311909976,COMPLETE,2025-11-27 04:51:59.664342,2025-11-27 04:52:46.187911,0 days 00:00:46.523569,[896],[],[],silu,896,16,,5e-05,,minmax,1,RMSprop,uniform,,max,False,1e-06
17,0.2890909090909091,PRUNED,2025-11-27 04:52:46.188916,2025-11-27 04:52:48.253603,0 days 00:00:02.064687,"[64, 64, 64, 64, 128]","[1, 2, 4]",[4],relu,128,48,0.4,1e-05,,minmax,5,RMSprop,increasing,,max,False,0.0001
18,0.21839080459770113,PRUNED,2025-11-27 04:52:48.254607,2025-11-27 04:52:51.160836,0 days 00:00:02.906229,"[640, 640, 640]",[1],[],elu,640,48,,0.001,,minmax,3,AdamW,uniform,0.9,mean,True,1e-06
19,0.21839080459770113,PRUNED,2025-11-27 04:52:51.161853,2025-11-27 04:52:58.922852,0 days 00:00:07.760999,"[64, 64, 128, 256]","[1, 2]",[3],relu,256,16,0.1,0.0002,,minmax,4,RMSprop,increasing,,max,False,0.0001
20,0.1761006289308176,PRUNED,2025-11-27 04:52:58.923866,2025-11-27 04:53:00.346050,0 days 00:00:01.422184,"[512, 512, 512, 512, 512]","[1, 4]",[4],elu,512,96,0.5,0.001,,minmax,5,AdamW,uniform,,max,False,1e-07
21,0.34074074074074073,PRUNED,2025-11-27 04:53:00.347056,2025-11-27 04:53:16.009435,0 days 00:00:15.662379,[896],[],[],silu,896,16,,5e-05,,minmax,1,RMSprop,uniform,,max,False,1e-06
22,0.35982294858699354,PRUNED,2025-11-27 04:53:16.009435,2025-11-27 04:53:21.164996,0 days 00:00:05.155561,[896],[],[],silu,896,16,,5e-05,,minmax,1,RMSprop,uniform,,max,False,1e-06
23,0.1761006289308176,PRUNED,2025-11-27 04:53:21.164996,2025-11-27 04:53:29.800573,0 days 00:00:08.635577,"[896, 896]",[1],[],silu,896,16,,5e-05,,minmax,2,RMSprop,uniform,,max,False,1e-06
24,0.4797172060073384,COMPLETE,2025-11-27 04:53:29.801590,2025-11-27 04:54:12.083079,0 days 00:00:42.281489,"[192, 192]",[1],[],silu,192,16,,0.0002,,minmax,2,RMSprop,uniform,,max,False,1e-06
25,0.21839080459770113,PRUNED,2025-11-27 04:54:12.086156,2025-11-27 04:54:16.308693,0 days 00:00:04.222537,"[192, 192, 192]",[1],[],leakyrelu,192,32,,0.0002,,minmax,3,RMSprop,uniform,,max,False,1e-05
26,0.3358024691358024,PRUNED,2025-11-27 04:54:16.309699,2025-11-27 04:54:21.440744,0 days 00:00:05.131045,"[96, 192]",[1],[],tanh,192,64,,0.0002,,L2,2,AdamW,increasing,0.7,mean,True,0.0001
27,0.4511472937971496,COMPLETE,2025-11-27 04:54:21.441762,2025-11-27 04:54:30.769916,0 days 00:00:09.328154,"[768, 768, 768, 768]","[1, 2]",[3],relu,768,128,0.5,0.0002,,minmax,4,Adam,uniform,,max,False,1e-06
28,0.44167923579688284,PRUNED,2025-11-27 04:54:30.771420,2025-11-27 04:54:37.231220,0 days 00:00:06.459800,"[192, 192, 192]",[1],[],silu,192,48,,0.0002,,minmax,3,RMSprop,uniform,,max,False,1e-06
29,0.23701648387817592,COMPLETE,2025-11-27 04:54:37.232226,2025-11-27 04:54:44.892898,0 days 00:00:07.660672,"[64, 128]",[1],[],gelu,128,96,,0.001,0.7,L2,2,SGD,increasing,0.8,max,True,1e-07
30,0.20648967551622419,PRUNED,2025-11-27 04:54:44.894909,2025-11-27 04:54:52.161611,0 days 00:00:07.266702,"[192, 192, 192]","[1, 2]",[],elu,192,16,,2e-05,,minmax,3,AdamW,uniform,,max,False,0.0001
31,0.28372352285395763,PRUNED,2025-11-27 04:54:52.161611,2025-11-27 04:54:54.766202,0 days 00:00:02.604591,[896],[],[],silu,896,16,,5e-05,,minmax,1,RMSprop,uniform,,max,False,1e-06
32,0.21839080459770113,PRUNED,2025-11-27 04:54:54.767207,2025-11-27 04:55:00.269446,0 days 00:00:05.502239,[896],[],[],silu,896,16,,0.0005,,minmax,1,RMSprop,uniform,,max,False,1e-06
33,0.21637426900584797,PRUNED,2025-11-27 04:55:00.269446,2025-11-27 04:55:23.919883,0 days 00:00:23.650437,[1024],[],[],silu,1024,16,,0.0001,,minmax,1,RMSprop,decreasing,,max,False,1e-06
34,0.21743350805668804,PRUNED,2025-11-27 04:55:23.920883,2025-11-27 04:55:34.747647,0 days 00:00:10.826764,"[640, 640]",[1],[],silu,640,16,,1e-05,0.8,L2,2,SGD,uniform,,mean,False,1e-06
35,0.21637426900584797,PRUNED,2025-11-27 04:55:34.748653,2025-11-27 04:55:42.941562,0 days 00:00:08.192909,[768],[],[],leakyrelu,768,96,,0.001,,minmax,1,RMSprop,decreasing,,max,False,0.0
36,0.25757575757575757,PRUNED,2025-11-27 04:55:42.942567,2025-11-27 04:55:45.419729,0 days 00:00:02.477162,"[128, 128]",[1],[],tanh,128,128,,0.0002,0.7,L2,2,SGD,uniform,,mean,False,1e-07
37,0.2481940144478844,PRUNED,2025-11-27 04:55:45.421232,2025-11-27 04:55:48.639889,0 days 00:00:03.218657,"[256, 128, 64, 64]",[],[3],gelu,256,64,0.1,0.0005,,minmax,4,RMSprop,decreasing,,max,False,0.0
38,0.21839080459770113,PRUNED,2025-11-27 04:55:48.639889,2025-11-27 04:55:58.955264,0 days 00:00:10.315375,"[384, 384]",[1],[],relu,384,16,,5e-05,,minmax,2,Adam,uniform,0.6,max,True,1e-06
39,0.3016103393461884,PRUNED,2025-11-27 04:55:58.955264,2025-11-27 04:56:13.323433,0 days 00:00:14.368169,"[1024, 1024, 1024, 1024, 1024, 1024]","[1, 2, 3, 4]","[2, 4]",elu,1024,32,0.4,2e-05,,L2,6,RMSprop,uniform,,mean,False,1e-06
40,0.21839080459770113,PRUNED,2025-11-27 04:56:13.324438,2025-11-27 04:56:14.942955,0 days 00:00:01.618517,"[64, 128, 256, 512]",[2],[3],leakyrelu,512,48,0.5,0.0002,0.9,minmax,4,SGD,increasing,,max,False,1e-05
41,0.4654563733375216,COMPLETE,2025-11-27 04:56:14.943961,2025-11-27 04:56:24.408167,0 days 00:00:09.464206,"[768, 768, 768, 768]","[1, 2]",[3],relu,768,128,0.5,0.0002,,minmax,4,Adam,uniform,,max,False,1e-06
42,0.21839080459770113,PRUNED,2025-11-27 04:56:24.410676,2025-11-27 04:56:26.430816,0 days 00:00:02.020140,"[768, 768, 768, 768]","[1, 2]",[3],relu,768,128,0.5,0.0002,,minmax,4,Adam,uniform,,max,False,1e-06
43,0.5357771668933357,COMPLETE,2025-11-27 04:56:26.431834,2025-11-27 04:57:42.603894,0 days 00:01:16.172060,"[768, 768, 768, 768, 768]","[1, 2]","[1, 3, 4]",relu,768,16,0.5,0.0002,,minmax,5,Adam,uniform,,max,False,1e-06
44,0.5002516671294136,COMPLETE,2025-11-27 04:57:42.605907,2025-11-27 04:57:55.603879,0 days 00:00:12.997972,"[768, 768, 768, 768, 768]","[1, 2]","[1, 3, 4]",relu,768,128,0.5,0.0002,,minmax,5,Adam,uniform,,max,False,0.0001
45,0.21839080459770113,PRUNED,2025-11-27 04:57:55.605891,2025-11-27 04:57:59.424879,0 days 00:00:03.818988,"[768, 768, 768, 768, 768]","[1, 2]","[1, 3, 4]",relu,768,128,0.5,0.0002,,minmax,5,Adam,uniform,,max,False,1e-06
46,0.18238993710691823,PRUNED,2025-11-27 04:57:59.425885,2025-11-27 04:58:09.719859,0 days 00:00:10.293974,"[768, 384, 192, 96, 64]","[1, 2]","[1, 3, 4]",relu,768,128,0.5,0.0002,,minmax,5,Adam,decreasing,,max,False,0.0001
47,0.21839080459770113,PRUNED,2025-11-27 04:58:09.721363,2025-11-27 04:58:12.738630,0 days 00:00:03.017267,"[768, 768, 768, 768, 768, 768]","[1, 2, 5]","[1, 3, 4, 5]",relu,768,128,0.5,0.0002,,minmax,6,Adam,uniform,,max,False,0.0
