number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.2402184635932278,COMPLETE,2025-11-27 03:46:35.069957,2025-11-27 03:46:51.631020,0 days 00:00:16.561063,[896],[],[],leakyrelu,896,32,,2e-05,,minmax,1,Adam,uniform,0.6,max,True,1e-06
1,0.41485310059703895,COMPLETE,2025-11-27 03:46:51.633031,2025-11-27 03:46:59.993727,0 days 00:00:08.360696,"[1024, 1024]",[],[1],elu,1024,128,0.4,5e-05,,minmax,2,AdamW,uniform,0.5,max,True,1e-07
2,0.21839080459770113,PRUNED,2025-11-27 03:46:59.994733,2025-11-27 03:47:00.794328,0 days 00:00:00.799595,[384],[],[],leakyrelu,384,128,,1e-05,,minmax,1,Adam,increasing,,max,False,0.0001
3,0.3111532086194648,PRUNED,2025-11-27 03:47:00.795337,2025-11-27 03:47:02.028709,0 days 00:00:01.233372,"[384, 192, 96]",[],[2],tanh,384,64,0.4,5e-05,,minmax,3,RMSprop,decreasing,0.6,mean,True,1e-06
4,0.21839080459770113,PRUNED,2025-11-27 03:47:02.029746,2025-11-27 03:47:08.606899,0 days 00:00:06.577153,"[896, 448, 224]",[],[2],elu,896,96,0.2,1e-05,,L2,3,RMSprop,decreasing,0.8,max,True,1e-05
5,0.3980041533364106,COMPLETE,2025-11-27 03:47:08.607906,2025-11-27 03:47:26.616836,0 days 00:00:18.008930,[768],[],[],elu,768,32,,0.0002,,minmax,1,AdamW,increasing,0.7,max,True,0.0001
6,0.2774327122153209,PRUNED,2025-11-27 03:47:26.618849,2025-11-27 03:47:28.911996,0 days 00:00:02.293147,"[256, 256, 256, 256, 256]","[1, 2]","[1, 2, 4]",silu,256,96,0.5,1e-05,,minmax,5,RMSprop,uniform,0.6,mean,True,1e-05
7,0.21839080459770113,PRUNED,2025-11-27 03:47:28.913010,2025-11-27 03:47:31.170728,0 days 00:00:02.257718,"[512, 512, 512, 512]","[2, 3]",[],gelu,512,32,,0.001,0.8,L2,4,SGD,uniform,,mean,False,1e-06
8,0.1714285714285714,PRUNED,2025-11-27 03:47:31.171734,2025-11-27 03:47:33.367755,0 days 00:00:02.196021,"[64, 64, 64, 96, 192]","[1, 2, 3]",[],tanh,192,96,,5e-05,0.9,minmax,5,SGD,increasing,0.8,max,True,0.0001
9,0.44077020357222396,COMPLETE,2025-11-27 03:47:33.368755,2025-11-27 03:48:19.730948,0 days 00:00:46.362193,"[96, 192, 384, 768]","[1, 2]",[],tanh,768,16,,0.0001,,L2,4,AdamW,increasing,,max,False,0.0
10,0.21839080459770113,PRUNED,2025-11-27 03:48:19.732968,2025-11-27 03:48:42.480326,0 days 00:00:22.747358,"[64, 64, 80, 160, 320, 640]","[1, 2, 4]","[3, 4]",relu,640,16,0.1,0.0001,,L2,6,AdamW,increasing,,mean,False,0.0
11,0.45765098927609005,COMPLETE,2025-11-27 03:48:42.481331,2025-11-27 03:49:02.747487,0 days 00:00:20.266156,"[1024, 1024]",[1],[1],tanh,1024,48,0.4,0.0005,,L2,2,AdamW,uniform,,max,False,1e-07
12,0.21839080459770113,PRUNED,2025-11-27 03:49:02.751082,2025-11-27 03:49:04.749203,0 days 00:00:01.998121,"[1024, 1024, 1024, 1024]","[1, 2]","[1, 3]",tanh,1024,48,0.3,0.0005,,L2,4,AdamW,uniform,,max,False,1e-07
13,0.21839080459770113,PRUNED,2025-11-27 03:49:04.749707,2025-11-27 03:49:16.841831,0 days 00:00:12.092124,"[384, 768]",[1],[1],tanh,768,16,0.4,0.0001,,L2,2,AdamW,increasing,,max,False,0.0
14,0.4817873158057916,COMPLETE,2025-11-27 03:49:16.842836,2025-11-27 03:49:39.323011,0 days 00:00:22.480175,"[128, 64]",[1],[1],tanh,128,48,0.2,0.0005,,L2,2,AdamW,decreasing,,max,False,1e-07
