number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
16,0.178030303030303,PRUNED,2025-10-09 01:37:58.887353,2025-10-09 01:38:38.010131,0 days 00:00:39.122778,"[768, 640, 512, 384, 256]","[1, 2, 3, 4, 5]","[False, False, False, False, True]","[0.0, 0.0, 0.0, 0.0, 0.0]",elu,64,decreasing,1,linear,64.0,9,0.0002,,L2,5,RMSprop,last,True,1e-07,True
17,0.178030303030303,PRUNED,2025-10-09 01:38:38.012132,2025-10-09 01:39:10.508177,0 days 00:00:32.496045,"[512, 640, 768]","[1, 2, 3]","[False, True, True]","[0.0, 0.1, 0.0]",mish,32,increasing,2,linear,64.0,9,0.001,,minmax,3,Adam,attention,False,2e-07,False
18,0.2175904889576118,COMPLETE,2025-10-09 01:39:10.510178,2025-10-09 01:39:57.348793,0 days 00:00:46.838615,"[896, 768]","[1, 2]","[False, False]","[0.0, 0.0]",gelu,32,decreasing,2,pow2,64.0,5,0.001,0.0,L2,2,SGD,max,False,2e-06,False
19,0.178030303030303,PRUNED,2025-10-09 01:39:57.350794,2025-10-09 01:40:09.860682,0 days 00:00:12.509888,"[128, 192, 256, 384, 512, 640]","[2, 4, 6, 8, 10, 12]","[False, True, True, True, False, False]","[0.0, 0.1, 0.0, 0.1, 0.0, 0.1]",leakyrelu,32,increasing,1,linear,256.0,3,0.0002,,minmax,6,AdamW,mean,True,1e-05,True
20,0.178030303030303,PRUNED,2025-10-09 01:40:09.861682,2025-10-09 01:40:15.596396,0 days 00:00:05.734714,[640],[1],[False],[0.0],silu,64,decreasing,3,linear,,2,1e-05,,L2,1,AdamW,mean,True,5e-07,False
21,0.2581201816389438,COMPLETE,2025-10-09 01:40:15.598397,2025-10-09 01:41:07.449367,0 days 00:00:51.850970,"[768, 768]","[2, 3]","[False, False]","[0.0, 0.0]",leakyrelu,96,uniform,3,linear,128.0,5,0.0005,,minmax,2,RMSprop,max,False,1e-07,False
22,0.178030303030303,PRUNED,2025-10-09 01:41:07.450367,2025-10-09 01:41:25.730603,0 days 00:00:18.280236,"[512, 512]","[2, 3]","[False, False]","[0.0, 0.0]",leakyrelu,96,uniform,3,linear,128.0,5,0.0005,,minmax,2,RMSprop,max,False,1e-07,False
23,0.178030303030303,PRUNED,2025-10-09 01:41:25.732603,2025-10-09 01:41:40.998166,0 days 00:00:15.265563,"[384, 384, 384]","[1, 2, 3]","[False, False, False]","[0.0, 0.0, 0.3]",hardswish,96,uniform,3,linear,128.0,5,0.0005,,minmax,3,RMSprop,max,False,1e-07,False
24,0.2835348817187714,COMPLETE,2025-10-09 01:41:40.999170,2025-10-09 01:41:52.049496,0 days 00:00:11.050326,[192],[2],[False],[0.0],leakyrelu,96,uniform,3,linear,512.0,7,0.0005,,minmax,1,RMSprop,max,False,1e-05,False
25,0.4382365032131888,COMPLETE,2025-10-09 01:41:52.050497,2025-10-09 01:42:06.054568,0 days 00:00:14.004071,[128],[1],[False],[0.0],mish,96,uniform,3,linear,512.0,7,0.0001,,minmax,1,RMSprop,max,False,1e-05,False
26,0.1724137931034483,PRUNED,2025-10-09 01:42:06.057816,2025-10-09 01:42:20.010937,0 days 00:00:13.953121,[640],[2],[True],[0.0],mish,16,increasing,2,pow2,512.0,7,0.0001,0.7000000000000001,minmax,1,SGD,attention,False,1e-05,True
27,0.178030303030303,PRUNED,2025-10-09 01:42:20.011937,2025-10-09 01:42:54.734090,0 days 00:00:34.722153,[768],[1],[False],[0.0],mish,32,decreasing,3,linear,512.0,7,0.0001,,minmax,1,Adam,last,False,1e-05,False
28,0.178030303030303,PRUNED,2025-10-09 01:42:54.735090,2025-10-09 01:43:11.686511,0 days 00:00:16.951421,"[192, 256, 384, 512, 640]","[1, 3, 5, 7, 9]","[False, True, True, False, False]","[0.0, 0.1, 0.0, 0.0, 0.0]",elu,32,increasing,1,linear,512.0,7,0.0001,,L2,5,AdamW,max,True,5e-07,True
29,0.2622042424604992,COMPLETE,2025-10-09 01:43:11.687512,2025-10-09 01:43:25.100971,0 days 00:00:13.413459,"[64, 64, 64, 64]","[1, 3, 5, 7]","[False, True, True, True]","[0.0, 0.0, 0.0, 0.0]",relu,96,uniform,2,linear,64.0,2,0.0001,,minmax,4,RMSprop,attention,False,1e-05,True
30,0.2210553636812491,COMPLETE,2025-10-09 01:43:25.102972,2025-10-09 01:45:43.153390,0 days 00:02:18.050418,"[896, 768, 640]","[1, 4, 7]","[False, True, False]","[0.0, 0.0, 0.0]",mish,64,decreasing,3,linear,64.0,9,0.002,0.3,minmax,3,SGD,mean,False,1e-05,False
31,0.2175904889576118,COMPLETE,2025-10-09 01:45:43.155893,2025-10-09 01:45:51.826724,0 days 00:00:08.670831,[192],[2],[False],[0.0],mish,96,uniform,3,linear,512.0,7,0.0005,,minmax,1,RMSprop,max,False,1e-05,False
32,0.178030303030303,PRUNED,2025-10-09 01:45:51.828742,2025-10-09 01:45:57.694365,0 days 00:00:05.865623,[128],[1],[False],[0.0],leakyrelu,96,uniform,3,linear,512.0,7,0.001,,minmax,1,RMSprop,max,False,1e-05,False
33,0.2613088333704007,COMPLETE,2025-10-09 01:45:57.695869,2025-10-09 01:46:08.564146,0 days 00:00:10.868277,"[128, 128]","[3, 5]","[False, True]","[0.0, 0.0]",elu,96,uniform,3,linear,512.0,7,0.0002,,minmax,2,RMSprop,max,False,0.0,False
34,0.178030303030303,PRUNED,2025-10-09 01:46:08.566650,2025-10-09 01:46:12.514009,0 days 00:00:03.947359,[256],[1],[False],[0.0],leakyrelu,128,uniform,3,linear,512.0,7,0.0005,,minmax,1,RMSprop,max,False,1e-05,False
35,0.178030303030303,PRUNED,2025-10-09 01:46:12.515007,2025-10-09 01:46:16.490607,0 days 00:00:03.975600,"[96, 96]","[2, 4]","[True, False]","[0.1, 0.1]",mish,96,uniform,3,linear,64.0,2,0.0001,,minmax,2,RMSprop,max,False,1e-05,False
36,0.2175904889576118,COMPLETE,2025-10-09 01:46:16.491607,2025-10-09 01:46:25.279121,0 days 00:00:08.787514,[256],[1],[False],[0.0],relu,128,uniform,2,linear,64.0,7,0.001,,minmax,1,Adam,max,False,2e-07,False
37,0.4670945588670177,COMPLETE,2025-10-09 01:46:25.281234,2025-10-09 01:46:37.271600,0 days 00:00:11.990366,[128],[1],[True],[0.1],gelu,96,uniform,1,linear,,9,0.0005,,minmax,1,AdamW,max,False,2e-06,False
38,0.178030303030303,PRUNED,2025-10-09 01:46:37.273669,2025-10-09 01:46:58.120537,0 days 00:00:20.846868,"[512, 384, 256, 192]","[1, 4, 7, 10]","[True, False, True, True]","[0.2, 0.0, 0.0, 0.2]",gelu,16,decreasing,1,linear,,9,0.002,,minmax,4,AdamW,mean,False,2e-06,False
39,0.4565816989969569,COMPLETE,2025-10-09 01:46:58.122538,2025-10-09 01:47:20.457670,0 days 00:00:22.335132,"[96, 96]","[1, 4]","[True, True]","[0.1, 0.1]",gelu,32,uniform,1,linear,,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
40,0.4505982167801641,COMPLETE,2025-10-09 01:47:20.459671,2025-10-09 01:47:31.477115,0 days 00:00:11.017444,"[96, 96]","[1, 4]","[True, True]","[0.1, 0.1]",gelu,96,uniform,1,linear,,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
41,0.4558274515516893,COMPLETE,2025-10-09 01:47:31.479165,2025-10-09 01:47:45.695143,0 days 00:00:14.215978,"[96, 96]","[1, 4]","[True, True]","[0.1, 0.1]",gelu,96,uniform,1,linear,,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
42,0.4242782748318172,COMPLETE,2025-10-09 01:47:45.698143,2025-10-09 01:47:55.536365,0 days 00:00:09.838222,"[96, 96]","[1, 4]","[True, True]","[0.1, 0.1]",gelu,96,uniform,1,linear,,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
43,0.4493684010854401,COMPLETE,2025-10-09 01:47:55.536365,2025-10-09 01:48:04.748512,0 days 00:00:09.212147,"[96, 96]","[1, 4]","[True, True]","[0.1, 0.1]",gelu,96,uniform,1,linear,,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
44,0.4696233018345472,COMPLETE,2025-10-09 01:48:04.749834,2025-10-09 01:48:13.802508,0 days 00:00:09.052674,"[96, 96, 96]","[1, 4, 7]","[True, True, False]","[0.1, 0.1, 0.1]",gelu,96,uniform,1,linear,,9,0.0002,,L2,3,AdamW,last,True,2e-06,False
45,0.4466826942110253,COMPLETE,2025-10-09 01:48:13.804513,2025-10-09 01:48:24.540409,0 days 00:00:10.735896,"[64, 64, 64]","[1, 4, 7]","[True, True, False]","[0.1, 0.1, 0.1]",gelu,96,uniform,1,linear,,9,0.0002,,L2,3,AdamW,last,True,2e-06,False
46,0.2164048865619546,PRUNED,2025-10-09 01:48:24.540409,2025-10-09 01:48:31.428438,0 days 00:00:06.888029,"[96, 96, 96]","[1, 2, 4]","[True, True, False]","[0.1, 0.1, 0.1]",gelu,96,uniform,1,pow2,,9,0.0002,,L2,3,AdamW,last,True,2e-06,False
47,0.443636255783248,COMPLETE,2025-10-09 01:48:31.430092,2025-10-09 01:48:42.460529,0 days 00:00:11.030437,"[128, 128, 128]","[1, 4, 7]","[True, True, False]","[0.1, 0.1, 0.1]",gelu,96,uniform,1,linear,,9,0.0002,,L2,3,AdamW,last,True,2e-06,False
48,0.4091288303397878,COMPLETE,2025-10-09 01:48:42.460529,2025-10-09 01:48:54.177410,0 days 00:00:11.716881,"[96, 96]","[1, 4]","[True, True]","[0.1, 0.1]",gelu,128,uniform,1,linear,,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
49,0.4496569126465209,COMPLETE,2025-10-09 01:48:54.180453,2025-10-09 01:49:05.760258,0 days 00:00:11.579805,"[64, 64]","[2, 4]","[True, True]","[0.2, 0.2]",gelu,96,uniform,1,pow2,,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
