number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.4274175475264508,COMPLETE,2025-10-01 13:05:40.120088,2025-10-01 13:06:10.363203,0 days 00:00:30.243115,silu,False,32,False,0.0,,increasing,2,1.0,linear,,1.0,0.05,False,True,,,,,9,True,False,,,,0.0001,,L2,2,AdamW,max,False,2e-06,False,"[64, 96]","[1, 2]","[False, True]",0.05,"[True, False]"
1,0.21761658031088082,PRUNED,2025-10-01 13:06:10.365482,2025-10-01 13:06:26.815115,0 days 00:00:16.449633,gelu,False,64,False,8.0,,decreasing,1,3.0,linear,,2.0,0.1,True,False,True,True,,64.0,3,False,False,False,False,,0.001,,minmax,4,AdamW,mean,False,2e-06,True,"[768, 640, 512, 384]","[3, 5, 7, 9]","[True, False, True, True]",0.1,"[False, False, False, False]"
2,0.21759048895761182,COMPLETE,2025-10-01 13:06:26.815115,2025-10-01 13:08:21.642407,0 days 00:01:54.827292,elu,False,128,True,,6.0,uniform,1,1.0,linear,,3.0,0.0,True,True,True,False,True,512.0,9,False,True,True,True,False,0.001,,L2,5,Adam,last,False,2e-06,False,"[512, 512, 512, 512, 512]","[1, 4, 7, 10, 13]","[True, True, True, False, True]",0.0,"[False, True, True, True, False]"
3,0.21759048895761182,COMPLETE,2025-10-01 13:08:21.644428,2025-10-01 13:08:52.628663,0 days 00:00:30.984235,leakyrelu,False,64,False,4.0,,increasing,2,,pow2,1.0,,0.25,True,True,,,,512.0,5,False,True,,,,0.0005,,L2,2,RMSprop,mean,False,2e-07,False,"[256, 384]","[1, 2]","[True, True]",0.25,"[False, True]"
4,0.21759048895761182,COMPLETE,2025-10-01 13:08:52.630197,2025-10-01 13:09:37.204832,0 days 00:00:44.574635,relu,True,64,True,6.0,,decreasing,1,,pow2,2.0,,0.25,True,False,,,,256.0,7,True,True,,,,0.002,,minmax,2,AdamW,max,True,2e-06,False,"[512, 384]","[2, 4]","[True, False]",0.25,"[True, True]"
5,0.21761658031088082,PRUNED,2025-10-01 13:09:37.207199,2025-10-01 13:09:43.205513,0 days 00:00:05.998314,leakyrelu,True,128,False,,5.0,uniform,1,2.0,linear,,2.0,0.2,True,False,False,,,256.0,2,False,True,True,,,1e-05,,L2,3,RMSprop,last,False,1e-05,False,"[384, 384, 384]","[2, 4, 6]","[True, False, False]",0.2,"[False, True, True]"
6,0.08558558558558559,PRUNED,2025-10-01 13:09:43.206513,2025-10-01 13:09:59.183485,0 days 00:00:15.976972,silu,False,96,True,8.0,,decreasing,1,1.0,linear,,2.0,0.25,True,,,,,128.0,5,False,,,,,0.0002,0.30000000000000004,L2,1,SGD,last,True,2e-07,True,[768],[1],[True],0.25,[False]
7,0.21759048895761182,COMPLETE,2025-10-01 13:09:59.184493,2025-10-01 13:10:57.034392,0 days 00:00:57.849899,leakyrelu,True,64,False,5.0,,decreasing,3,,pow2,2.0,,0.05,False,True,False,False,,64.0,5,True,False,True,False,,0.0002,,L2,4,Adam,mean,False,1e-07,False,"[384, 256, 192, 128]","[2, 4, 8, 16]","[False, True, False, False]",0.05,"[True, False, True, False]"
8,0.3331210519249604,COMPLETE,2025-10-01 13:10:57.036527,2025-10-01 13:11:13.645690,0 days 00:00:16.609163,elu,False,128,True,,0.0,uniform,1,2.0,linear,,3.0,0.1,False,False,False,True,,,9,True,True,True,True,,1e-05,,L2,4,AdamW,max,True,2e-07,False,"[64, 64, 64, 64]","[2, 5, 8, 11]","[False, False, False, True]",0.1,"[True, True, True, True]"
9,0.4379003864843865,COMPLETE,2025-10-01 13:11:13.648199,2025-10-01 13:15:36.423232,0 days 00:04:22.775033,leakyrelu,True,96,False,5.0,,increasing,2,,pow2,2.0,,0.0,True,False,True,False,,,7,True,True,False,False,,0.0001,,L2,4,AdamW,mean,True,5e-07,False,"[384, 512, 640, 768]","[2, 4, 8, 16]","[True, False, True, False]",0.0,"[True, True, False, False]"
10,0.21759048895761182,COMPLETE,2025-10-01 13:15:36.425258,2025-10-01 13:17:22.454770,0 days 00:01:46.029512,tanh,True,96,False,2.0,,increasing,3,,pow2,2.0,,0.0,False,False,True,False,False,,7,True,True,False,False,True,0.0001,0.9,minmax,5,SGD,attention,True,5e-07,True,"[128, 192, 256, 384, 512]","[2, 4, 8, 16, 32]","[False, False, True, False, False]",0.0,"[True, True, False, False, True]"
11,0.3205721930637028,PRUNED,2025-10-01 13:17:22.457787,2025-10-01 13:17:27.524034,0 days 00:00:05.066247,silu,True,32,False,0.0,,increasing,2,,pow2,1.0,,0.05,False,True,,,,,9,True,False,,,,0.0001,,L2,2,AdamW,max,True,1e-06,False,"[64, 96]","[1, 2]","[False, True]",0.05,"[True, False]"
12,0.21761658031088082,PRUNED,2025-10-01 13:17:27.525040,2025-10-01 13:17:34.095245,0 days 00:00:06.570205,mish,True,32,False,0.0,,increasing,2,,pow2,2.0,,0.15000000000000002,False,True,True,,,,7,True,False,False,,,0.0001,,L2,3,AdamW,attention,True,0.0,False,"[64, 96, 128]","[2, 4, 8]","[False, True, True]",0.15000000000000002,"[True, False, False]"
13,0.43976661582678983,COMPLETE,2025-10-01 13:17:34.096258,2025-10-01 13:18:29.105824,0 days 00:00:55.009566,silu,False,16,False,2.0,,increasing,2,1.0,linear,,1.0,0.0,False,False,True,,,,3,True,False,False,,,0.0001,,L2,3,AdamW,mean,False,5e-07,False,"[128, 192, 256]","[1, 2, 3]","[False, False, True]",0.0,"[True, False, False]"
14,0.21759048895761182,COMPLETE,2025-10-01 13:18:29.106825,2025-10-01 13:19:29.266370,0 days 00:01:00.159545,relu,False,16,False,2.0,,increasing,3,3.0,linear,,1.0,0.0,True,False,True,False,,128.0,3,True,False,False,False,,0.0001,,minmax,4,AdamW,mean,False,5e-07,True,"[128, 192, 256, 384]","[3, 4, 5, 6]","[True, False, True, False]",0.0,"[True, False, False, False]"
15,0.21759048895761182,COMPLETE,2025-10-01 13:19:29.268931,2025-10-01 13:20:11.983978,0 days 00:00:42.715047,mish,True,16,False,2.0,,increasing,2,,pow2,2.0,,0.1,False,False,True,,,,3,True,True,False,,,0.002,,L2,3,AdamW,mean,True,5e-07,False,"[128, 192, 256]","[2, 4, 8]","[False, False, True]",0.1,"[True, True, False]"
16,0.21761658031088082,PRUNED,2025-10-01 13:20:11.985978,2025-10-01 13:20:28.911849,0 days 00:00:16.925871,gelu,True,96,False,3.0,,increasing,2,1.0,linear,,1.0,0.15000000000000002,True,False,True,False,True,,2,True,False,False,False,True,0.0005,0.0,L2,5,SGD,mean,True,5e-07,False,"[192, 256, 384, 512, 640]","[1, 2, 3, 4, 5]","[True, False, True, False, True]",0.15000000000000002,"[True, False, False, False, True]"
17,0.21640488656195464,PRUNED,2025-10-01 13:20:28.913865,2025-10-01 13:20:56.096465,0 days 00:00:27.182600,tanh,False,16,False,6.0,,increasing,3,,pow2,1.0,,0.3,False,,,,,,3,True,,,,,0.0001,,L2,1,RMSprop,mean,False,5e-07,False,[512],[1],[False],0.3,[True]
18,0.21759048895761182,COMPLETE,2025-10-01 13:20:56.096465,2025-10-01 13:22:31.890579,0 days 00:01:35.794114,silu,True,16,True,4.0,,increasing,2,,pow2,2.0,,0.0,True,False,True,,,512.0,7,True,True,False,,,0.0001,,minmax,3,Adam,mean,True,0.0,True,"[256, 384, 512]","[2, 4, 8]","[True, False, True]",0.0,"[True, True, False]"
19,0.178030303030303,PRUNED,2025-10-01 13:22:31.892609,2025-10-01 13:25:43.021770,0 days 00:03:11.129161,leakyrelu,False,96,False,,9.0,uniform,3,2.0,linear,,1.0,0.05,False,False,True,True,,256.0,3,True,False,False,True,,0.0001,,L2,4,AdamW,attention,False,1e-05,False,"[896, 896, 896, 896]","[2, 3, 4, 5]","[False, False, True, True]",0.05,"[True, False, False, True]"
20,0.4208522061366579,COMPLETE,2025-10-01 13:25:43.022778,2025-10-01 13:26:48.525225,0 days 00:01:05.502447,silu,False,96,False,3.0,,increasing,2,,pow2,1.0,,0.1,True,False,False,,,128.0,7,True,False,False,,,0.0005,,L2,3,AdamW,mean,True,1e-06,False,"[192, 256, 384]","[1, 2, 4]","[True, False, False]",0.1,"[True, False, False]"
21,0.4337605220260667,COMPLETE,2025-10-01 13:26:48.527735,2025-10-01 13:27:16.626127,0 days 00:00:28.098392,silu,False,32,False,1.0,,increasing,2,1.0,linear,,1.0,0.05,False,True,,,,,9,True,False,,,,0.0001,,L2,2,AdamW,max,False,1e-07,False,"[96, 128]","[1, 2]","[False, True]",0.05,"[True, False]"
22,0.4335810265103854,COMPLETE,2025-10-01 13:27:16.627631,2025-10-01 13:27:42.561651,0 days 00:00:25.934020,silu,False,32,False,1.0,,increasing,2,1.0,linear,,1.0,0.0,False,True,,,,,9,True,False,,,,0.0001,,L2,2,AdamW,max,False,1e-07,False,"[96, 128]","[1, 2]","[False, True]",0.0,"[True, False]"
