number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
38,0.21759048895761182,COMPLETE,2025-10-09 05:39:36.612540,2025-10-09 05:42:05.791519,0 days 00:02:29.178979,hardswish,16,6.0,,decreasing,2,,pow2,2.0,,0.0,False,True,False,True,True,,128.0,7,False,True,False,True,False,,0.0005,0.0,L2,5,SGD,last,True,1e-05,True,"[512, 384, 256, 192, 128]","[2, 4, 8, 16, 32]","[False, True, False, True, True]",0.0,"[False, True, False, True, False]"
39,0.178030303030303,PRUNED,2025-10-09 05:42:05.793548,2025-10-09 05:42:35.511637,0 days 00:00:29.718089,silu,96,4.0,,increasing,1,1.0,linear,,1.0,0.3,False,True,False,False,,,256.0,7,True,False,False,False,,,0.001,,minmax,4,AdamW,attention,False,5e-07,True,"[256, 384, 512, 640]","[1, 2, 3, 4]","[False, True, False, False]",0.3,"[True, False, False, False]"
40,0.08558558558558559,PRUNED,2025-10-09 05:42:35.513671,2025-10-09 05:43:54.748789,0 days 00:01:19.235118,elu,64,9.0,,decreasing,2,,pow2,1.0,,0.2,True,True,True,,,,512.0,5,False,True,True,,,,0.0002,,L2,3,RMSprop,max,True,1e-07,True,"[896, 768, 640]","[1, 2, 4]","[True, True, True]",0.2,"[False, True, True]"
41,0.46074376783600474,COMPLETE,2025-10-09 05:43:54.749790,2025-10-09 05:44:32.132093,0 days 00:00:37.382303,gelu,96,1.0,,increasing,2,1.0,linear,,2.0,0.1,False,True,False,,,,,2,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,False,"[96, 128, 192]","[1, 3, 5]","[False, True, False]",0.1,"[False, True, False]"
42,0.4588530944551421,COMPLETE,2025-10-09 05:44:32.134101,2025-10-09 05:45:27.145083,0 days 00:00:55.010982,relu,96,1.0,,increasing,2,1.0,linear,,2.0,0.1,False,True,False,,,,256.0,9,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,False,"[96, 128, 192]","[1, 3, 5]","[False, True, False]",0.1,"[False, True, False]"
43,0.4635413859629833,COMPLETE,2025-10-09 05:45:27.147677,2025-10-09 05:45:58.219712,0 days 00:00:31.072035,prelu,96,0.0,,increasing,2,1.0,linear,,2.0,0.0,False,True,,,,,128.0,3,False,True,,,,,0.0005,,minmax,2,AdamW,last,True,1e-07,False,"[64, 96]","[1, 3]","[False, True]",0.0,"[False, True]"
44,0.178030303030303,PRUNED,2025-10-09 05:45:58.221713,2025-10-09 05:46:06.544919,0 days 00:00:08.323206,prelu,96,0.0,,increasing,2,1.0,linear,,2.0,0.0,False,True,,,,,128.0,3,False,True,,,,,1e-05,,minmax,2,AdamW,last,True,1e-05,False,"[64, 96]","[1, 3]","[False, True]",0.0,"[False, True]"
45,0.4422890894247306,COMPLETE,2025-10-09 05:46:06.545919,2025-10-09 05:46:57.610529,0 days 00:00:51.064610,prelu,32,0.0,,increasing,2,1.0,linear,,1.0,0.0,False,,,,,,128.0,3,False,,,,,,0.0005,,minmax,1,AdamW,last,True,1e-07,False,[64],[1],[False],0.0,[False]
46,0.21759048895761182,COMPLETE,2025-10-09 05:46:57.612999,2025-10-09 05:47:42.339160,0 days 00:00:44.726161,prelu,16,1.0,,increasing,2,1.0,linear,,2.0,0.0,False,False,,,,,128.0,3,False,True,,,,,0.002,,minmax,2,Adam,max,True,1e-07,False,"[96, 128]","[1, 3]","[False, False]",0.0,"[False, True]"
47,0.4842567338243289,COMPLETE,2025-10-09 05:47:42.341172,2025-10-09 05:48:10.267692,0 days 00:00:27.926520,leakyrelu,96,0.0,,decreasing,2,1.0,linear,,1.0,0.1,False,,,,,,,3,True,,,,,,0.0005,,L2,1,RMSprop,last,True,2e-06,False,[64],[1],[False],0.1,[True]
48,0.178030303030303,PRUNED,2025-10-09 05:48:10.269706,2025-10-09 05:48:19.259515,0 days 00:00:08.989809,leakyrelu,128,4.0,,decreasing,2,1.0,linear,,1.0,0.0,True,,,,,,128.0,3,True,,,,,,0.0002,,L2,1,RMSprop,mean,False,2e-06,False,[256],[1],[True],0.0,[True]
49,0.21875,PRUNED,2025-10-09 05:48:19.260599,2025-10-09 05:48:27.488998,0 days 00:00:08.228399,leakyrelu,96,0.0,,decreasing,3,1.0,linear,,1.0,0.1,False,,,,,,,3,True,,,,,,0.001,,L2,1,RMSprop,last,True,2e-06,False,[64],[1],[False],0.1,[True]
