number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
14,0.21875,PRUNED,2025-10-09 01:56:46.395190,2025-10-09 01:56:52.334236,0 days 00:00:05.939046,prelu,32,4.0,,decreasing,2,,pow2,2.0,,0.0,False,False,,,,,,5,True,True,,,,,1e-05,0.30000000000000004,minmax,2,SGD,last,True,5e-07,True,"[256, 192]","[2, 4]","[False, False]",0.0,"[True, True]"
15,0.3014832278201733,COMPLETE,2025-10-09 01:56:52.335253,2025-10-09 01:57:09.905355,0 days 00:00:17.570102,relu,64,,4.0,uniform,1,2.0,linear,,2.0,0.1,True,False,True,True,False,,256.0,9,False,True,True,False,True,,0.0002,0.0,minmax,5,SGD,max,True,1e-06,False,"[256, 256, 256, 256, 256]","[2, 4, 6, 8, 10]","[True, False, True, True, False]",0.1,"[False, True, True, False, True]"
16,0.21875,PRUNED,2025-10-09 01:57:09.911915,2025-10-09 01:57:25.090053,0 days 00:00:15.178138,prelu,16,4.0,,increasing,3,,pow2,2.0,,0.0,False,True,False,,,,,3,True,False,False,,,,0.002,,minmax,3,RMSprop,max,True,1e-05,False,"[256, 384, 512]","[2, 4, 8]","[False, True, False]",0.0,"[True, False, False]"
17,0.21875,PRUNED,2025-10-09 01:57:25.090053,2025-10-09 01:57:30.428657,0 days 00:00:05.338604,prelu,64,,0.0,uniform,2,1.0,linear,,3.0,0.1,True,False,True,False,,,,3,False,True,True,True,,,0.001,,minmax,4,Adam,last,True,1e-07,False,"[64, 64, 64, 64]","[1, 4, 7, 10]","[True, False, True, False]",0.1,"[False, True, True, True]"
18,0.43738484530056404,COMPLETE,2025-10-09 01:57:30.428657,2025-10-09 01:57:53.754530,0 days 00:00:23.325873,elu,16,2.0,,increasing,1,3.0,linear,,1.0,0.0,True,False,,,,,,9,False,False,,,,,0.0005,,L2,2,AdamW,mean,False,0.0,True,"[128, 192]","[3, 4]","[True, False]",0.0,"[False, False]"
19,0.3605956919174085,COMPLETE,2025-10-09 01:57:53.756541,2025-10-09 01:58:12.664012,0 days 00:00:18.907471,elu,32,2.0,,increasing,2,3.0,linear,,1.0,0.0,True,,,,,,128.0,5,False,,,,,,0.0005,,L2,1,AdamW,mean,False,0.0,True,[128],[3],[True],0.0,[False]
20,0.21759048895761182,COMPLETE,2025-10-09 01:58:12.664012,2025-10-09 01:58:21.854722,0 days 00:00:09.190710,elu,128,2.0,,increasing,3,2.0,linear,,1.0,0.0,True,False,,,,,512.0,2,False,True,,,,,0.001,,L2,2,AdamW,mean,False,0.0,True,"[128, 192]","[2, 3]","[True, False]",0.0,"[False, True]"
21,0.38852465252465257,COMPLETE,2025-10-09 01:58:21.856727,2025-10-09 01:58:39.445534,0 days 00:00:17.588807,elu,32,2.0,,increasing,2,3.0,linear,,1.0,0.0,True,,,,,,128.0,5,False,,,,,,0.0005,,L2,1,AdamW,mean,False,0.0,True,[128],[3],[True],0.0,[False]
22,0.21875,PRUNED,2025-10-09 01:58:39.445534,2025-10-09 01:58:43.730540,0 days 00:00:04.285006,elu,32,0.0,,increasing,2,3.0,linear,,1.0,0.0,True,,,,,,128.0,5,False,,,,,,0.0005,,L2,1,AdamW,mean,False,0.0,True,[64],[3],[True],0.0,[False]
23,0.4068062814998077,COMPLETE,2025-10-09 01:58:43.732328,2025-10-09 01:59:04.893243,0 days 00:00:21.160915,elu,32,3.0,,increasing,2,3.0,linear,,2.0,0.0,True,True,,,,,128.0,5,False,False,,,,,0.0005,,L2,2,AdamW,mean,False,0.0,True,"[192, 256]","[3, 5]","[True, True]",0.0,"[False, False]"
24,0.21761658031088082,PRUNED,2025-10-09 01:59:04.893243,2025-10-09 01:59:11.148330,0 days 00:00:06.255087,silu,32,3.0,,increasing,2,3.0,linear,,2.0,0.0,True,True,,,,,256.0,5,False,False,,,,,0.0005,,L2,2,AdamW,mean,False,1e-06,True,"[192, 256]","[3, 5]","[True, True]",0.0,"[False, False]"
25,0.21759048895761182,COMPLETE,2025-10-09 01:59:11.148330,2025-10-09 01:59:23.729674,0 days 00:00:12.581344,relu,64,3.0,,increasing,1,2.0,linear,,2.0,0.1,True,True,False,,,,128.0,9,False,False,False,,,,0.002,,L2,3,AdamW,mean,False,0.0,True,"[192, 256, 384]","[2, 4, 6]","[True, True, False]",0.1,"[False, False, False]"
26,0.42692826679601986,COMPLETE,2025-10-09 01:59:23.736093,2025-10-09 01:59:58.907691,0 days 00:00:35.171598,gelu,16,5.0,,increasing,2,3.0,linear,,2.0,0.0,True,True,,,,,,3,False,False,,,,,0.0002,,L2,2,AdamW,max,False,0.0,True,"[384, 512]","[3, 5]","[True, True]",0.0,"[False, False]"
27,0.21759048895761182,COMPLETE,2025-10-09 01:59:58.909732,2025-10-09 02:01:23.322129,0 days 00:01:24.412397,gelu,16,9.0,,decreasing,3,2.0,linear,,3.0,0.1,True,True,False,,,,,3,False,False,False,,,,1e-05,,L2,3,AdamW,max,False,2e-06,True,"[896, 768, 640]","[2, 5, 8]","[True, True, False]",0.1,"[False, False, False]"
28,0.13989924327940131,PRUNED,2025-10-09 02:01:23.322129,2025-10-09 02:01:32.779603,0 days 00:00:09.457474,gelu,16,6.0,,increasing,1,2.0,linear,,2.0,0.0,True,True,,,,,,3,False,True,,,,,0.0002,,L2,2,Adam,max,False,0.0,True,"[512, 640]","[2, 4]","[True, True]",0.0,"[False, True]"
29,0.4113454976578009,COMPLETE,2025-10-09 02:01:32.780604,2025-10-09 02:02:35.109868,0 days 00:01:02.329264,gelu,16,5.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,,,,,3,False,False,False,,,,0.0002,,L2,3,RMSprop,max,False,0.0,True,"[384, 512, 640]","[3, 5, 7]","[True, False, False]",0.1,"[False, False, False]"
30,0.2224089635854342,PRUNED,2025-10-09 02:02:35.113041,2025-10-09 02:02:57.126930,0 days 00:00:22.013889,gelu,16,5.0,,increasing,3,3.0,linear,,1.0,0.2,True,False,False,,,,64.0,3,False,False,False,,,,0.0002,,L2,3,RMSprop,max,False,0.0,True,"[384, 512, 640]","[3, 4, 5]","[True, False, False]",0.2,"[False, False, False]"
31,0.41492765914078705,COMPLETE,2025-10-09 02:02:57.126930,2025-10-09 02:03:49.219657,0 days 00:00:52.092727,gelu,16,5.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,,,,,3,False,False,False,,,,0.0002,,L2,3,RMSprop,max,False,0.0,True,"[384, 512, 640]","[3, 5, 7]","[True, False, False]",0.1,"[False, False, False]"
32,0.43428153206834114,COMPLETE,2025-10-09 02:03:49.220662,2025-10-09 02:05:02.516372,0 days 00:01:13.295710,gelu,16,5.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,,,,,3,False,False,False,,,,0.0002,,L2,3,RMSprop,max,False,0.0,True,"[384, 512, 640]","[3, 5, 7]","[True, False, False]",0.1,"[False, False, False]"
