number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
17,0.4108256155140186,COMPLETE,2025-10-01 12:39:07.562233,2025-10-01 12:39:35.398552,0 days 00:00:27.836319,elu,False,96,True,,3.0,uniform,2,3.0,linear,,2.0,0.25,True,,,,,512.0,2,True,,,,,0.0001,,L2,1,Adam,attention,False,1e-05,False,[192],[3],[True],0.25,[True]
18,0.4126505375925325,COMPLETE,2025-10-01 12:39:35.401085,2025-10-01 12:40:10.787386,0 days 00:00:35.386301,relu,False,16,True,,2.0,uniform,1,2.0,linear,,3.0,0.0,True,False,,,,64.0,5,True,False,,,,0.001,,L2,2,Adam,mean,False,1e-06,False,"[128, 128]","[2, 5]","[True, False]",0.0,"[True, False]"
19,0.40379000993650593,COMPLETE,2025-10-01 12:40:10.788387,2025-10-01 12:41:09.103697,0 days 00:00:58.315310,gelu,True,64,True,,5.0,uniform,2,2.0,linear,,2.0,0.2,True,False,False,False,,64.0,2,True,True,False,True,,0.001,0.9,L2,4,SGD,last,False,0.0,True,"[384, 384, 384, 384]","[2, 4, 6, 8]","[True, False, False, False]",0.2,"[True, True, False, True]"
20,0.21640488656195464,PRUNED,2025-10-01 12:41:09.105698,2025-10-01 12:41:19.133081,0 days 00:00:10.027383,silu,False,128,True,,2.0,uniform,2,1.0,linear,,3.0,0.15000000000000002,True,,,,,64.0,9,True,,,,,0.001,,L2,1,Adam,attention,False,2e-06,False,[128],[1],[True],0.15000000000000002,[True]
21,0.3801252097181061,COMPLETE,2025-10-01 12:41:19.134144,2025-10-01 12:41:44.708054,0 days 00:00:25.573910,tanh,False,32,True,,1.0,uniform,3,1.0,linear,,1.0,0.3,True,,,,,64.0,5,True,,,,,0.001,,L2,1,Adam,attention,False,2e-06,True,[96],[1],[True],0.3,[True]
22,0.4127511778083512,COMPLETE,2025-10-01 12:41:44.709054,2025-10-01 12:42:13.137840,0 days 00:00:28.428786,tanh,False,32,True,,1.0,uniform,3,1.0,linear,,1.0,0.25,True,,,,,64.0,5,True,,,,,0.001,,L2,1,Adam,attention,False,2e-06,True,[96],[1],[True],0.25,[True]
23,0.40613316602088095,COMPLETE,2025-10-01 12:42:13.139852,2025-10-01 12:42:54.377430,0 days 00:00:41.237578,tanh,False,32,True,,0.0,uniform,2,3.0,linear,,1.0,0.25,True,False,,,,64.0,5,True,True,,,,0.001,,L2,2,Adam,attention,False,2e-06,True,"[64, 64]","[3, 4]","[True, False]",0.25,"[True, True]"
24,0.34852118760359824,COMPLETE,2025-10-01 12:42:54.378438,2025-10-01 12:43:29.167457,0 days 00:00:34.789019,tanh,False,32,True,,4.0,uniform,3,2.0,linear,,2.0,0.2,True,,,,,128.0,5,True,,,,,0.001,,L2,1,Adam,attention,False,2e-06,True,[256],[2],[True],0.2,[True]
25,0.3856578395012878,COMPLETE,2025-10-01 12:43:29.169961,2025-10-01 12:43:44.825327,0 days 00:00:15.655366,tanh,False,96,True,,1.0,uniform,2,2.0,linear,,2.0,0.3,True,True,,,,512.0,2,True,False,,,,0.0005,,L2,2,Adam,attention,False,2e-06,True,"[96, 96]","[2, 4]","[True, True]",0.3,"[True, False]"
26,0.21759048895761182,COMPLETE,2025-10-01 12:43:44.826326,2025-10-01 12:44:05.769917,0 days 00:00:20.943591,silu,True,32,True,,2.0,uniform,3,1.0,linear,,3.0,0.15000000000000002,False,,,,,64.0,5,True,,,,,1e-05,,minmax,1,Adam,attention,False,2e-06,True,[128],[1],[False],0.15000000000000002,[True]
27,0.1945036721156124,PRUNED,2025-10-01 12:44:05.771907,2025-10-01 12:44:27.212012,0 days 00:00:21.440105,tanh,False,32,True,,6.0,uniform,2,1.0,linear,,1.0,0.25,True,False,,,,64.0,5,True,True,,,,0.0001,0.2,L2,2,SGD,last,False,1e-07,True,"[512, 512]","[1, 2]","[True, False]",0.25,"[True, True]"
28,0.4270386616061228,COMPLETE,2025-10-01 12:44:27.213012,2025-10-01 12:45:46.898122,0 days 00:01:19.685110,leakyrelu,True,96,True,9.0,,increasing,3,3.0,linear,,3.0,0.2,True,,,,,64.0,2,True,,,,,0.0002,,L2,1,AdamW,mean,False,0.0,False,[896],[3],[True],0.2,[True]
29,0.178030303030303,PRUNED,2025-10-01 12:45:46.900648,2025-10-01 12:46:13.103550,0 days 00:00:26.202902,relu,False,96,False,7.0,,decreasing,1,,pow2,1.0,,0.3,False,False,,,,512.0,7,True,True,,,,0.0005,,minmax,2,Adam,attention,False,2e-06,False,"[640, 512]","[1, 2]","[False, False]",0.3,"[True, True]"
30,0.21640488656195464,PRUNED,2025-10-01 12:46:13.104555,2025-10-01 12:46:57.476731,0 days 00:00:44.372176,gelu,False,16,True,9.0,,decreasing,2,2.0,linear,,2.0,0.2,True,,,,,64.0,3,True,,,,,0.001,,L2,1,Adam,attention,False,1e-06,True,[896],[2],[True],0.2,[True]
31,0.4198272933087488,COMPLETE,2025-10-01 12:46:57.477736,2025-10-01 12:48:12.214910,0 days 00:01:14.737174,leakyrelu,True,96,True,9.0,,increasing,3,3.0,linear,,3.0,0.2,True,,,,,64.0,2,True,,,,,0.0002,,L2,1,AdamW,mean,False,0.0,False,[896],[3],[True],0.2,[True]
32,0.42748861380756464,COMPLETE,2025-10-01 12:48:12.216925,2025-10-01 12:49:06.056636,0 days 00:00:53.839711,leakyrelu,True,96,True,7.0,,increasing,3,3.0,linear,,3.0,0.2,True,,,,,64.0,2,True,,,,,0.0002,,L2,1,AdamW,mean,False,0.0,False,[640],[3],[True],0.2,[True]
