number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.35034047617755765,COMPLETE,2025-09-30 21:27:08.074483,2025-09-30 21:27:23.609660,0 days 00:00:15.535177,elu,True,128,False,,1.0,uniform,3,,pow2,1.0,,0.0,False,False,False,,,,256.0,3,True,True,False,,,,1e-05,,L2,3,RMSprop,last,False,1e-06,True,"[96, 96, 96]","[1, 2, 4]","[False, False, False]",0.0,"[True, True, False]"
1,0.3521649804971334,COMPLETE,2025-09-30 21:27:23.611662,2025-09-30 21:28:42.793224,0 days 00:01:19.181562,mish,True,32,False,5.0,,increasing,1,,pow2,2.0,,0.05,True,False,False,True,False,,256.0,5,True,False,True,True,True,,0.0005,,L2,5,Adam,last,False,1e-06,True,"[384, 512, 640, 768, 896]","[2, 4, 8, 16, 32]","[True, False, False, True, False]",0.05,"[True, False, True, True, True]"
2,0.178030303030303,PRUNED,2025-09-30 21:28:42.793224,2025-09-30 21:28:50.843584,0 days 00:00:08.050360,mish,False,32,True,0.0,,increasing,2,,pow2,1.0,,0.2,True,True,False,,,,512.0,2,True,False,True,,,,0.002,,L2,3,Adam,last,False,1e-07,False,"[64, 96, 128]","[1, 2, 4]","[True, True, False]",0.2,"[True, False, True]"
3,0.21759048895761182,COMPLETE,2025-09-30 21:28:50.845722,2025-09-30 21:29:59.717720,0 days 00:01:08.871998,elu,False,32,True,8.0,,increasing,3,,pow2,1.0,,0.3,False,True,,,,,64.0,3,True,False,,,,,0.002,,minmax,2,RMSprop,mean,False,2e-07,True,"[768, 896]","[1, 2]","[False, True]",0.3,"[True, False]"
4,0.21761658031088082,PRUNED,2025-09-30 21:29:59.719725,2025-09-30 21:30:03.153383,0 days 00:00:03.433658,gelu,True,64,False,0.0,,increasing,1,,pow2,1.0,,0.0,False,True,True,False,True,,256.0,7,True,True,True,False,False,,0.002,,minmax,5,RMSprop,max,False,2e-07,False,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]","[False, True, True, False, True]",0.0,"[True, True, True, False, False]"
5,0.29502608369595124,COMPLETE,2025-09-30 21:30:03.154386,2025-09-30 21:32:18.853583,0 days 00:02:15.699197,elu,True,128,True,8.0,,decreasing,3,3.0,linear,,1.0,0.2,True,False,True,,,,128.0,7,True,False,False,,,,0.0002,0.2,minmax,3,SGD,last,False,5e-07,True,"[768, 640, 512]","[3, 4, 5]","[True, False, True]",0.2,"[True, False, False]"
6,0.178030303030303,PRUNED,2025-09-30 21:32:18.856929,2025-09-30 21:33:19.549854,0 days 00:01:00.692925,tanh,True,96,True,4.0,,increasing,3,1.0,linear,,2.0,0.1,False,True,False,True,True,True,256.0,5,False,True,True,True,False,False,0.0002,,minmax,6,RMSprop,mean,False,1e-07,True,"[256, 384, 512, 640, 768, 896]","[1, 3, 5, 7, 9, 11]","[False, True, False, True, True, True]",0.1,"[False, True, True, True, False, False]"
7,0.178030303030303,PRUNED,2025-09-30 21:33:19.553244,2025-09-30 21:33:26.665145,0 days 00:00:07.111901,mish,True,32,False,,2.0,uniform,2,,pow2,2.0,,0.05,False,,,,,,,3,True,,,,,,0.001,,L2,1,Adam,max,True,1e-06,True,[128],[2],[False],0.05,[True]
8,0.4399939529939721,COMPLETE,2025-09-30 21:33:26.665145,2025-09-30 21:33:46.915267,0 days 00:00:20.250122,elu,False,64,False,2.0,,increasing,1,2.0,linear,,2.0,0.05,False,False,False,,,,256.0,3,True,False,False,,,,0.0001,,L2,3,Adam,attention,True,1e-07,True,"[128, 192, 256]","[2, 4, 6]","[False, False, False]",0.05,"[True, False, False]"
9,0.178030303030303,PRUNED,2025-09-30 21:33:46.917943,2025-09-30 21:35:09.437448,0 days 00:01:22.519505,gelu,True,16,True,,9.0,uniform,3,1.0,linear,,3.0,0.15000000000000002,False,,,,,,128.0,9,False,,,,,,0.0005,,minmax,1,RMSprop,max,True,0.0,False,[896],[1],[False],0.15000000000000002,[False]
