number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
27,0.1818181818181818,PRUNED,2025-10-01 02:15:59.084467,2025-10-01 02:16:01.215902,0 days 00:00:02.131435,silu,True,32,True,,2.0,uniform,2,3.0,linear,,2.0,0.2,True,False,False,True,,,512.0,7,False,True,False,False,,,0.0005,,minmax,4,RMSprop,attention,True,2e-06,True,"[128, 128, 128, 128]","[3, 5, 7, 9]","[True, False, False, True]",0.2,"[False, True, False, False]"
28,0.2457142857142857,COMPLETE,2025-10-01 02:16:01.217902,2025-10-01 02:27:22.071447,0 days 00:11:20.853545,silu,True,32,True,,7.0,uniform,3,3.0,linear,,1.0,0.1,False,True,True,,,,256.0,7,False,False,True,,,,0.0001,,minmax,3,RMSprop,mean,True,1e-07,True,"[640, 640, 640]","[3, 4, 5]","[False, True, True]",0.1,"[False, False, True]"
29,0.1818181818181818,PRUNED,2025-10-01 02:27:22.074470,2025-10-01 02:31:04.189804,0 days 00:03:42.115334,gelu,True,32,True,7.0,,decreasing,3,3.0,linear,,3.0,0.3,True,False,False,True,True,,64.0,7,False,True,False,False,False,,0.0002,,minmax,5,RMSprop,max,True,2e-06,True,"[640, 512, 384, 256, 192]","[3, 6, 9, 12, 15]","[True, False, False, True, True]",0.3,"[False, True, False, False, False]"
30,0.2457142857142857,COMPLETE,2025-10-01 02:31:04.191819,2025-10-01 02:50:27.173058,0 days 00:19:22.981239,relu,True,96,True,,6.0,uniform,2,2.0,linear,,2.0,0.0,True,False,False,True,True,False,64.0,7,False,False,False,False,False,True,0.002,,minmax,6,Adam,max,True,0.0,True,"[512, 512, 512, 512, 512, 512]","[2, 4, 6, 8, 10, 12]","[True, False, False, True, True, False]",0.0,"[False, False, False, False, False, True]"
31,0.0392156862745098,PRUNED,2025-10-01 02:50:27.175070,2025-10-01 02:53:58.766451,0 days 00:03:31.591381,leakyrelu,True,32,True,3.0,,increasing,3,3.0,linear,,3.0,0.3,True,False,False,False,True,,128.0,3,True,True,False,True,False,,1e-05,,minmax,5,AdamW,max,True,2e-06,True,"[192, 256, 384, 512, 640]","[3, 6, 9, 12, 15]","[True, False, False, False, True]",0.3,"[True, True, False, True, False]"
32,0.0392156862745098,PRUNED,2025-10-01 02:53:58.767471,2025-10-01 02:57:27.302299,0 days 00:03:28.534828,elu,False,16,False,,8.0,uniform,3,2.0,linear,,3.0,0.25,True,False,False,False,True,True,128.0,7,True,True,False,True,False,False,1e-05,0.0,minmax,6,SGD,max,True,2e-06,False,"[768, 768, 768, 768, 768, 768]","[2, 5, 8, 11, 14, 17]","[True, False, False, False, True, True]",0.25,"[True, True, False, True, False, False]"
33,0.2457142857142857,COMPLETE,2025-10-01 02:57:27.304299,2025-10-01 03:16:33.323342,0 days 00:19:06.019043,mish,True,32,True,6.0,,decreasing,3,,pow2,1.0,,0.3,True,False,False,True,True,,,7,False,True,False,False,False,,0.001,,minmax,5,AdamW,mean,True,2e-06,True,"[512, 384, 256, 192, 128]","[1, 2, 4, 8, 16]","[True, False, False, True, True]",0.3,"[False, True, False, False, False]"
34,0.2369230769230769,COMPLETE,2025-10-01 03:16:33.326419,2025-10-01 03:19:24.500390,0 days 00:02:51.173971,tanh,True,32,False,1.0,,increasing,1,1.0,linear,,3.0,0.25,True,True,False,False,,,256.0,7,True,True,False,True,,,0.002,,L2,4,RMSprop,max,True,1e-05,True,"[96, 128, 192, 256]","[1, 4, 7, 10]","[True, True, False, False]",0.25,"[True, True, False, True]"
35,0.1818181818181818,PRUNED,2025-10-01 03:19:24.502418,2025-10-01 03:20:36.277875,0 days 00:01:11.775457,leakyrelu,False,16,True,,5.0,uniform,2,3.0,linear,,3.0,0.3,True,False,,,,,,9,False,True,,,,,0.0005,0.9,L2,2,SGD,max,True,5e-07,True,"[384, 384]","[3, 6]","[True, False]",0.3,"[False, True]"
36,0.1818181818181818,PRUNED,2025-10-01 03:20:36.278876,2025-10-01 03:21:05.560597,0 days 00:00:29.281721,elu,True,32,False,5.0,,decreasing,3,,pow2,2.0,,0.25,True,True,True,True,True,,128.0,2,True,True,False,False,False,,0.0002,,minmax,5,RMSprop,last,True,1e-06,False,"[384, 256, 192, 128, 96]","[2, 4, 8, 16, 32]","[True, True, True, True, True]",0.25,"[True, True, False, False, False]"
37,0.2426373626373626,COMPLETE,2025-10-01 03:21:05.562621,2025-10-01 03:21:09.397799,0 days 00:00:03.835178,relu,True,96,True,1.0,,increasing,1,2.0,linear,,3.0,0.2,True,False,False,,,,64.0,5,False,True,False,,,,0.0001,,L2,3,AdamW,mean,False,2e-07,True,"[96, 128, 192]","[2, 5, 8]","[True, False, False]",0.2,"[False, True, False]"
38,0.2369230769230769,COMPLETE,2025-10-01 03:21:09.399818,2025-10-01 03:21:23.751387,0 days 00:00:14.351569,tanh,False,128,True,,1.0,uniform,2,,pow2,1.0,,0.2,True,True,True,True,True,False,256.0,2,False,False,True,False,True,False,0.0005,0.30000000000000004,minmax,6,SGD,max,True,1e-05,False,"[96, 96, 96, 96, 96, 96]","[1, 2, 4, 8, 16, 32]","[True, True, True, True, True, False]",0.2,"[False, False, True, False, True, False]"
39,0.2457142857142857,COMPLETE,2025-10-01 03:21:23.754445,2025-10-01 04:01:34.082375,0 days 00:40:10.327930,mish,True,64,False,3.0,,increasing,3,1.0,linear,,3.0,0.3,False,False,False,False,True,,512.0,7,True,True,False,True,False,,0.0005,,minmax,5,Adam,max,True,2e-06,True,"[192, 256, 384, 512, 640]","[1, 4, 7, 10, 13]","[False, False, False, False, True]",0.3,"[True, True, False, True, False]"
40,0.2457142857142857,COMPLETE,2025-10-01 04:01:34.084376,2025-10-01 04:15:05.884887,0 days 00:13:31.800511,silu,False,32,True,4.0,,decreasing,3,,pow2,2.0,,0.0,True,False,True,,,,,9,False,True,False,,,,0.002,,L2,3,RMSprop,max,False,0.0,True,"[256, 192, 128]","[2, 4, 8]","[True, False, True]",0.0,"[False, True, False]"
41,0.2457142857142857,COMPLETE,2025-10-01 04:15:05.886907,2025-10-01 04:15:12.321345,0 days 00:00:06.434438,leakyrelu,True,32,False,2.0,,increasing,1,,pow2,2.0,,0.2,True,True,,,,,256.0,2,True,True,,,,,0.0001,,L2,2,Adam,max,True,1e-07,False,"[128, 192]","[2, 4]","[True, True]",0.2,"[True, True]"
42,0.0392156862745098,PRUNED,2025-10-01 04:15:12.322344,2025-10-01 04:15:13.292182,0 days 00:00:00.969838,leakyrelu,True,32,False,0.0,,increasing,1,,pow2,2.0,,0.25,True,,,,,,256.0,2,True,,,,,,0.0001,,L2,1,Adam,max,True,1e-07,False,[64],[2],[True],0.25,[True]
43,0.19576719576719573,PRUNED,2025-10-01 04:15:13.293444,2025-10-01 04:15:19.127802,0 days 00:00:05.834358,leakyrelu,True,128,False,1.0,,increasing,1,,pow2,2.0,,0.2,True,True,,,,,256.0,2,True,True,,,,,0.0001,,L2,2,Adam,max,True,1e-07,False,"[96, 128]","[2, 4]","[True, True]",0.2,"[True, True]"
44,0.27551820728291315,COMPLETE,2025-10-01 04:15:19.128809,2025-10-01 04:15:27.807472,0 days 00:00:08.678663,elu,True,32,False,2.0,,increasing,1,,pow2,2.0,,0.25,False,True,,,,,256.0,2,True,True,,,,,0.001,,L2,2,Adam,attention,True,1e-07,False,"[128, 192]","[2, 4]","[False, True]",0.25,"[True, True]"
45,0.1818181818181818,PRUNED,2025-10-01 04:15:27.810560,2025-10-01 04:19:15.053726,0 days 00:03:47.243166,elu,True,32,False,4.0,,increasing,1,,pow2,2.0,,0.25,False,True,False,,,,256.0,2,True,True,True,,,,0.001,,L2,3,Adam,attention,True,2e-06,False,"[256, 384, 512]","[2, 4, 8]","[False, True, False]",0.25,"[True, True, True]"
46,0.1818181818181818,PRUNED,2025-10-01 04:19:15.055232,2025-10-01 04:21:38.414324,0 days 00:02:23.359092,elu,True,96,False,3.0,,increasing,3,,pow2,2.0,,0.3,False,True,,,,,128.0,7,True,True,,,,,0.001,0.7000000000000001,minmax,2,SGD,attention,True,2e-07,False,"[192, 256]","[2, 4]","[False, True]",0.3,"[True, True]"
47,0.1818181818181818,PRUNED,2025-10-01 04:21:38.415833,2025-10-01 04:24:50.010505,0 days 00:03:11.594672,elu,False,32,True,9.0,,decreasing,1,3.0,linear,,3.0,0.05,False,True,False,True,,,64.0,3,False,False,False,False,,,0.001,,minmax,4,RMSprop,attention,True,1e-07,False,"[896, 768, 640, 512]","[3, 6, 9, 12]","[False, True, False, True]",0.05,"[False, False, False, False]"
