number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.40593203152576396,COMPLETE,2025-09-30 22:35:55.362621,2025-09-30 22:37:34.240781,0 days 00:01:38.878160,elu,False,96,False,7.0,,increasing,1,,pow2,1.0,,0.15000000000000002,True,False,False,,,,512.0,5,False,True,True,,,,1e-05,,L2,3,RMSprop,last,True,2e-07,True,"[640, 768, 896]","[1, 2, 4]","[True, False, False]",0.15000000000000002,"[False, True, True]"
1,0.3039441235998112,COMPLETE,2025-09-30 22:37:34.242828,2025-09-30 22:40:40.781794,0 days 00:03:06.538966,mish,False,16,False,,9.0,uniform,3,2.0,linear,,3.0,0.15000000000000002,True,True,False,,,,128.0,2,True,False,True,,,,1e-05,0.1,L2,3,SGD,last,False,1e-05,False,"[896, 896, 896]","[2, 5, 8]","[True, True, False]",0.15000000000000002,"[True, False, True]"
2,0.37555443769312297,COMPLETE,2025-09-30 22:40:40.783795,2025-09-30 22:41:39.578820,0 days 00:00:58.795025,gelu,True,64,False,2.0,,increasing,1,,pow2,2.0,,0.0,True,True,True,True,False,,64.0,9,False,False,False,True,True,,1e-05,,L2,5,Adam,last,False,2e-06,False,"[128, 192, 256, 384, 512]","[2, 4, 8, 16, 32]","[True, True, True, True, False]",0.0,"[False, False, False, True, True]"
3,0.21759048895761182,COMPLETE,2025-09-30 22:41:39.580322,2025-09-30 22:47:17.639079,0 days 00:05:38.058757,elu,True,64,False,8.0,,decreasing,3,2.0,linear,,2.0,0.0,False,True,False,True,,,64.0,9,True,True,True,True,,,0.0001,,minmax,4,AdamW,max,True,5e-07,True,"[768, 640, 512, 384]","[2, 4, 6, 8]","[False, True, False, True]",0.0,"[True, True, True, True]"
4,0.178030303030303,PRUNED,2025-09-30 22:47:17.641589,2025-09-30 22:47:36.183271,0 days 00:00:18.541682,elu,False,32,True,1.0,,increasing,2,3.0,linear,,3.0,0.2,False,False,False,True,True,,256.0,5,False,False,False,True,False,,0.0001,,minmax,5,AdamW,max,True,2e-06,False,"[96, 128, 192, 256, 384]","[3, 6, 9, 12, 15]","[False, False, False, True, True]",0.2,"[False, False, False, True, False]"
5,0.21761658031088082,PRUNED,2025-09-30 22:47:36.184271,2025-09-30 22:47:49.067580,0 days 00:00:12.883309,tanh,True,16,False,4.0,,increasing,1,2.0,linear,,3.0,0.05,False,False,True,,,,,9,False,False,True,,,,0.001,,minmax,3,Adam,mean,True,1e-07,False,"[256, 384, 512]","[2, 5, 8]","[False, False, True]",0.05,"[False, False, True]"
6,0.08558558558558559,PRUNED,2025-09-30 22:47:49.068580,2025-09-30 22:47:53.370490,0 days 00:00:04.301910,tanh,True,96,False,,1.0,uniform,3,2.0,linear,,1.0,0.2,True,,,,,,512.0,9,False,,,,,,0.0001,0.1,L2,1,SGD,attention,True,2e-06,True,[96],[2],[True],0.2,[False]
7,0.21761658031088082,PRUNED,2025-09-30 22:47:53.371491,2025-09-30 22:48:34.765024,0 days 00:00:41.393533,gelu,False,96,True,5.0,,increasing,3,3.0,linear,,2.0,0.2,True,True,False,False,,,64.0,5,True,True,True,False,,,0.0002,0.8,L2,4,SGD,mean,False,2e-06,False,"[384, 512, 640, 768]","[3, 5, 7, 9]","[True, True, False, False]",0.2,"[True, True, True, False]"
8,0.4222392472439815,COMPLETE,2025-09-30 22:48:34.766023,2025-09-30 22:52:15.289845,0 days 00:03:40.523822,mish,True,96,True,5.0,,increasing,1,2.0,linear,,1.0,0.3,True,False,False,True,False,,512.0,7,False,True,False,True,False,,1e-05,,minmax,5,AdamW,last,False,1e-05,False,"[384, 512, 640, 768, 896]","[2, 3, 4, 5, 6]","[True, False, False, True, False]",0.3,"[False, True, False, True, False]"
9,0.4425914581654196,COMPLETE,2025-09-30 22:52:15.291867,2025-09-30 22:53:11.360080,0 days 00:00:56.068213,gelu,False,32,True,5.0,,increasing,2,2.0,linear,,1.0,0.05,False,,,,,,256.0,7,True,,,,,,0.0002,,minmax,1,RMSprop,last,True,5e-07,True,[384],[2],[False],0.05,[True]
10,0.21759048895761182,COMPLETE,2025-09-30 22:53:11.362605,2025-09-30 22:55:13.690460,0 days 00:02:02.327855,silu,False,32,True,9.0,,decreasing,2,,pow2,2.0,,0.05,False,,,,,,256.0,7,True,,,,,,0.0002,,minmax,1,RMSprop,attention,True,5e-07,True,[896],[2],[False],0.05,[True]
11,0.21759048895761182,COMPLETE,2025-09-30 22:55:13.692483,2025-09-30 22:58:25.643183,0 days 00:03:11.950700,leakyrelu,True,128,True,3.0,,increasing,2,1.0,linear,,1.0,0.3,False,False,True,False,False,False,512.0,7,True,True,False,False,False,True,0.0005,,minmax,6,AdamW,last,False,1e-05,True,"[192, 256, 384, 512, 640, 768]","[1, 2, 3, 4, 5, 6]","[False, False, True, False, False, False]",0.3,"[True, True, False, False, False, True]"
12,0.0894854586129754,PRUNED,2025-09-30 22:58:25.645200,2025-09-30 22:58:48.506810,0 days 00:00:22.861610,relu,True,32,True,6.0,,increasing,1,1.0,linear,,1.0,0.3,False,False,,,,,256.0,3,True,True,,,,,0.002,,minmax,2,RMSprop,last,False,0.0,False,"[512, 640]","[1, 2]","[False, False]",0.3,"[True, True]"
13,0.21759048895761182,COMPLETE,2025-09-30 22:58:48.507811,2025-09-30 23:00:13.470666,0 days 00:01:24.962855,mish,False,128,True,6.0,,decreasing,2,1.0,linear,,1.0,0.1,True,False,False,True,False,True,128.0,7,False,True,False,True,False,False,0.0002,,minmax,6,AdamW,last,False,1e-06,True,"[512, 384, 256, 192, 128, 96]","[1, 2, 3, 4, 5, 6]","[True, False, False, True, False, True]",0.1,"[False, True, False, True, False, False]"
