number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-09-30 23:26:32.729287,2025-09-30 23:26:56.568532,0 days 00:00:23.839245,gelu,False,128,True,6.0,,decreasing,1,,pow2,2.0,,0.2,False,,,,,,256.0,9,True,,,,,,0.002,,minmax,1,AdamW,mean,True,1e-05,False,[512],[2],[False],0.2,[True]
1,0.22400330780566383,COMPLETE,2025-09-30 23:26:56.570538,2025-09-30 23:28:01.477062,0 days 00:01:04.906524,silu,False,128,False,,5.0,uniform,3,2.0,linear,,3.0,0.15000000000000002,True,True,True,True,False,True,512.0,2,True,True,True,False,False,True,1e-05,,minmax,6,RMSprop,mean,True,2e-06,False,"[384, 384, 384, 384, 384, 384]","[2, 5, 8, 11, 14, 17]","[True, True, True, True, False, True]",0.15000000000000002,"[True, True, True, False, False, True]"
2,0.3218145286929777,COMPLETE,2025-09-30 23:28:01.477062,2025-09-30 23:28:19.477038,0 days 00:00:17.999976,elu,False,128,False,1.0,,increasing,3,,pow2,1.0,,0.0,True,False,,,,,512.0,7,True,False,,,,,0.0001,0.5,minmax,2,SGD,max,False,0.0,False,"[96, 128]","[1, 2]","[True, False]",0.0,"[True, False]"
3,0.4655391687422521,COMPLETE,2025-09-30 23:28:19.477038,2025-09-30 23:29:07.666451,0 days 00:00:48.189413,relu,False,16,False,0.0,,increasing,1,,pow2,1.0,,0.2,True,True,True,False,True,,512.0,7,True,True,True,False,True,,0.0002,,L2,5,AdamW,last,False,0.0,False,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]","[True, True, True, False, True]",0.2,"[True, True, True, False, True]"
4,0.21761658031088082,PRUNED,2025-09-30 23:29:07.668457,2025-09-30 23:29:19.383353,0 days 00:00:11.714896,relu,False,16,True,2.0,,increasing,2,,pow2,2.0,,0.15000000000000002,True,False,True,False,,,256.0,5,True,False,True,True,,,0.0001,,minmax,4,AdamW,mean,False,1e-06,False,"[128, 192, 256, 384]","[2, 4, 8, 16]","[True, False, True, False]",0.15000000000000002,"[True, False, True, True]"
5,0.21759048895761182,COMPLETE,2025-09-30 23:29:19.385154,2025-09-30 23:29:35.008617,0 days 00:00:15.623463,relu,False,128,False,4.0,,decreasing,2,2.0,linear,,1.0,0.3,False,,,,,,,7,False,,,,,,0.0002,,minmax,1,AdamW,attention,False,1e-05,True,[256],[2],[False],0.3,[False]
6,0.2152777777777778,PRUNED,2025-09-30 23:29:35.008617,2025-09-30 23:29:42.507714,0 days 00:00:07.499097,gelu,False,32,False,6.0,,decreasing,3,2.0,linear,,3.0,0.05,False,,,,,,512.0,3,True,,,,,,1e-05,,minmax,1,Adam,last,True,1e-06,False,[512],[2],[False],0.05,[True]
7,0.17702448210922786,PRUNED,2025-09-30 23:29:42.507714,2025-09-30 23:29:49.445645,0 days 00:00:06.937931,mish,True,128,True,,0.0,uniform,2,1.0,linear,,2.0,0.15000000000000002,True,True,True,False,True,True,,3,False,True,True,False,True,False,0.001,0.2,L2,6,SGD,max,False,5e-07,True,"[64, 64, 64, 64, 64, 64]","[1, 3, 5, 7, 9, 11]","[True, True, True, False, True, True]",0.15000000000000002,"[False, True, True, False, True, False]"
8,0.43792253064099224,COMPLETE,2025-09-30 23:29:49.445645,2025-09-30 23:31:37.580763,0 days 00:01:48.135118,relu,False,64,True,,7.0,uniform,2,,pow2,1.0,,0.2,True,False,True,False,,,128.0,3,False,True,True,False,,,0.0001,,L2,4,AdamW,attention,True,2e-06,False,"[640, 640, 640, 640]","[1, 2, 4, 8]","[True, False, True, False]",0.2,"[False, True, True, False]"
9,0.21761658031088082,PRUNED,2025-09-30 23:31:37.582766,2025-09-30 23:31:41.664085,0 days 00:00:04.081319,relu,False,96,True,4.0,,decreasing,1,2.0,linear,,1.0,0.2,True,False,True,False,,,,5,False,False,True,False,,,0.001,,minmax,4,RMSprop,attention,True,2e-07,True,"[256, 192, 128, 96]","[2, 3, 4, 5]","[True, False, True, False]",0.2,"[False, False, True, False]"
10,0.39302542945854574,COMPLETE,2025-09-30 23:31:41.664085,2025-09-30 23:32:33.999365,0 days 00:00:52.335280,tanh,True,16,False,0.0,,increasing,1,,pow2,1.0,,0.3,False,True,False,True,True,,64.0,7,True,True,False,True,True,,0.0002,,L2,5,Adam,last,False,0.0,True,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]","[False, True, False, True, True]",0.3,"[True, True, False, True, True]"
11,0.26105263157894737,PRUNED,2025-09-30 23:32:34.001369,2025-09-30 23:32:49.176715,0 days 00:00:15.175346,leakyrelu,True,64,True,,9.0,uniform,1,,pow2,1.0,,0.25,True,False,True,,,,128.0,3,False,True,True,,,,0.0005,,L2,3,AdamW,attention,True,2e-06,False,"[896, 896, 896]","[1, 2, 4]","[True, False, True]",0.25,"[False, True, True]"
12,0.21761658031088082,PRUNED,2025-09-30 23:32:49.178732,2025-09-30 23:34:08.773840,0 days 00:01:19.595108,relu,False,64,True,,8.0,uniform,2,,pow2,1.0,,0.1,True,True,False,False,True,,128.0,9,False,True,False,False,True,,0.0002,,L2,5,AdamW,last,True,1e-07,False,"[768, 768, 768, 768, 768]","[1, 2, 4, 8, 16]","[True, True, False, False, True]",0.1,"[False, True, False, False, True]"
13,0.21875,PRUNED,2025-09-30 23:34:08.773840,2025-09-30 23:34:17.215864,0 days 00:00:08.442024,relu,False,64,False,2.0,,increasing,1,,pow2,1.0,,0.25,True,True,True,,,,128.0,2,False,True,True,,,,0.0001,,L2,3,AdamW,attention,False,2e-06,False,"[128, 192, 256]","[1, 2, 4]","[True, True, True]",0.25,"[False, True, True]"
14,0.21640488656195464,PRUNED,2025-09-30 23:34:17.215864,2025-09-30 23:35:41.531573,0 days 00:01:24.315709,tanh,True,16,True,,5.0,uniform,2,,pow2,1.0,,0.2,True,False,True,False,False,,64.0,7,True,True,True,False,False,,0.0005,,L2,5,AdamW,last,False,0.0,False,"[384, 384, 384, 384, 384]","[1, 2, 4, 8, 16]","[True, False, True, False, False]",0.2,"[True, True, True, False, False]"
15,0.21759048895761182,COMPLETE,2025-09-30 23:35:41.533576,2025-09-30 23:36:04.290193,0 days 00:00:22.756617,elu,False,32,False,0.0,,increasing,1,,pow2,1.0,,0.1,True,False,False,False,,,512.0,3,False,True,False,False,,,0.002,,L2,4,AdamW,attention,True,1e-07,False,"[64, 96, 128, 192]","[1, 2, 4, 8]","[True, False, False, False]",0.1,"[False, True, False, False]"
16,0.2458592132505176,PRUNED,2025-09-30 23:36:04.292193,2025-09-30 23:36:11.739850,0 days 00:00:07.447657,leakyrelu,False,96,False,1.0,,increasing,3,,pow2,2.0,,0.25,True,True,True,False,True,,128.0,3,True,True,True,False,True,,0.0001,,L2,5,Adam,last,False,5e-07,False,"[96, 128, 192, 256, 384]","[2, 4, 8, 16, 32]","[True, True, True, False, True]",0.25,"[True, True, True, False, True]"
17,0.4412617903332832,COMPLETE,2025-09-30 23:36:11.741850,2025-09-30 23:36:33.291123,0 days 00:00:21.549273,silu,False,64,True,,2.0,uniform,2,,pow2,1.0,,0.1,True,False,True,,,,128.0,7,False,False,True,,,,0.0002,,L2,3,RMSprop,max,True,2e-07,False,"[128, 128, 128]","[1, 2, 4]","[True, False, True]",0.1,"[False, False, True]"
