number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
26,0.21759048895761182,COMPLETE,2025-10-01 14:53:17.602174,2025-10-01 14:54:44.216177,0 days 00:01:26.614003,relu,False,64,True,,6.0,uniform,2,,pow2,1.0,,0.3,False,True,True,False,,128.0,3,True,True,True,True,,0.001,,L2,4,RMSprop,last,True,1e-07,False,"[512, 512, 512, 512]","[1, 2, 4, 8]","[False, True, True, False]",0.3,"[True, True, True, True]"
27,0.18752037942789387,PRUNED,2025-10-01 14:54:44.218191,2025-10-01 14:55:09.170141,0 days 00:00:24.951950,leakyrelu,False,64,False,,5.0,uniform,3,,pow2,1.0,,0.0,True,False,False,,,,3,True,False,True,,,1e-05,0.9,L2,3,SGD,last,False,0.0,False,"[384, 384, 384]","[1, 2, 4]","[True, False, False]",0.0,"[True, False, True]"
28,0.21875,PRUNED,2025-10-01 14:55:09.171143,2025-10-01 14:55:48.998115,0 days 00:00:39.826972,tanh,True,16,False,7.0,,decreasing,3,2.0,linear,,2.0,0.25,True,False,True,False,False,512.0,2,False,False,False,True,True,0.0005,,minmax,5,Adam,max,True,1e-06,True,"[640, 512, 384, 256, 192]","[2, 4, 6, 8, 10]","[True, False, True, False, False]",0.25,"[False, False, False, True, True]"
29,0.178030303030303,PRUNED,2025-10-01 14:55:48.999131,2025-10-01 14:56:00.385609,0 days 00:00:11.386478,silu,False,32,False,4.0,,increasing,1,,pow2,1.0,,0.15000000000000002,True,True,,,,64.0,9,True,True,,,,0.0001,0.0,L2,2,SGD,attention,False,5e-07,False,"[256, 384]","[1, 2]","[True, True]",0.15000000000000002,"[True, True]"
30,0.4203829906442722,COMPLETE,2025-10-01 14:56:00.386614,2025-10-01 14:56:14.551238,0 days 00:00:14.164624,elu,False,96,False,,0.0,uniform,1,,pow2,2.0,,0.1,True,False,False,,,128.0,3,True,False,True,,,0.0001,,L2,3,AdamW,last,False,1e-05,False,"[64, 64, 64]","[2, 4, 8]","[True, False, False]",0.1,"[True, False, True]"
31,0.48646478305119256,COMPLETE,2025-10-01 14:56:14.552741,2025-10-01 14:56:42.950402,0 days 00:00:28.397661,gelu,False,64,False,,2.0,uniform,2,,pow2,1.0,,0.2,True,False,True,False,,512.0,2,True,False,True,True,,0.0005,,L2,4,Adam,last,True,2e-06,False,"[128, 128, 128, 128]","[1, 2, 4, 8]","[True, False, True, False]",0.2,"[True, False, True, True]"
32,0.21403508771929824,PRUNED,2025-10-01 14:56:42.952916,2025-10-01 14:56:59.283493,0 days 00:00:16.330577,gelu,False,64,False,,1.0,uniform,2,,pow2,1.0,,0.3,True,False,True,False,,512.0,2,True,False,True,True,,0.0005,,L2,4,Adam,last,True,5e-07,False,"[96, 96, 96, 96]","[1, 2, 4, 8]","[True, False, True, False]",0.3,"[True, False, True, True]"
33,0.4648542302796612,COMPLETE,2025-10-01 14:56:59.284496,2025-10-01 14:57:24.146937,0 days 00:00:24.862441,gelu,False,64,False,,2.0,uniform,2,,pow2,1.0,,0.25,True,False,True,False,,512.0,2,True,False,True,True,,0.0005,,L2,4,Adam,last,True,2e-06,False,"[128, 128, 128, 128]","[1, 2, 4, 8]","[True, False, True, False]",0.25,"[True, False, True, True]"
34,0.21761658031088082,PRUNED,2025-10-01 14:57:24.148948,2025-10-01 14:57:35.707315,0 days 00:00:11.558367,mish,False,128,True,,1.0,uniform,2,,pow2,1.0,,0.2,False,False,True,False,False,512.0,7,True,False,True,True,False,0.0005,,L2,5,Adam,mean,True,2e-06,False,"[96, 96, 96, 96, 96]","[1, 2, 4, 8, 16]","[False, False, True, False, False]",0.2,"[True, False, True, True, False]"
35,0.21640488656195464,PRUNED,2025-10-01 14:57:35.708317,2025-10-01 14:58:10.981867,0 days 00:00:35.273550,gelu,True,64,False,6.0,,decreasing,2,,pow2,1.0,,0.15000000000000002,True,False,True,True,,256.0,2,True,True,True,False,,0.0002,,minmax,4,AdamW,last,True,2e-06,False,"[512, 384, 256, 192]","[1, 2, 4, 8]","[True, False, True, True]",0.15000000000000002,"[True, True, True, False]"
36,0.08558558558558559,PRUNED,2025-10-01 14:58:10.982876,2025-10-01 14:58:19.901962,0 days 00:00:08.919086,mish,False,32,False,,3.0,uniform,2,,pow2,1.0,,0.05,True,False,,,,64.0,5,False,False,,,,1e-05,,L2,2,Adam,mean,False,2e-07,False,"[192, 192]","[1, 2]","[True, False]",0.05,"[False, False]"
