number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
15,0.178030303030303,PRUNED,2025-10-01 00:48:56.268851,2025-10-01 00:49:43.116915,0 days 00:00:46.848064,leakyrelu,False,32,True,9.0,,decreasing,2,2.0,linear,,2.0,0.2,False,False,,,,,,3,False,False,,,,,0.0002,,minmax,2,Adam,last,False,2e-06,True,"[896, 768]","[2, 4]","[False, False]",0.2,"[False, False]"
16,0.37342184878000023,COMPLETE,2025-10-01 00:49:43.118945,2025-10-01 00:50:19.363305,0 days 00:00:36.244360,leakyrelu,False,96,True,9.0,,decreasing,1,2.0,linear,,2.0,0.05,False,,,,,,128.0,3,False,,,,,,0.001,,minmax,1,Adam,last,False,0.0,True,[896],[2],[False],0.05,[False]
17,0.3600902065731251,COMPLETE,2025-10-01 00:50:19.365828,2025-10-01 00:53:40.146427,0 days 00:03:20.780599,leakyrelu,False,16,True,7.0,,decreasing,2,3.0,linear,,3.0,0.05,False,False,,,,,512.0,9,False,False,,,,,0.0002,,minmax,2,Adam,last,False,5e-07,True,"[640, 512]","[3, 6]","[False, False]",0.05,"[False, False]"
18,0.24169612827405298,COMPLETE,2025-10-01 00:53:40.149428,2025-10-01 00:54:19.113087,0 days 00:00:38.963659,tanh,False,16,True,8.0,,decreasing,1,2.0,linear,,2.0,0.2,False,,,,,,,3,True,,,,,,0.0002,,minmax,1,Adam,attention,False,5e-07,True,[768],[2],[False],0.2,[True]
19,0.4380426116542184,COMPLETE,2025-10-01 00:54:19.115589,2025-10-01 00:55:49.407097,0 days 00:01:30.291508,mish,False,16,True,3.0,,increasing,1,3.0,linear,,3.0,0.05,False,False,False,False,False,,,3,False,True,True,True,True,,0.0002,,minmax,5,Adam,last,False,0.0,True,"[192, 256, 384, 512, 640]","[3, 6, 9, 12, 15]","[False, False, False, False, False]",0.05,"[False, True, True, True, True]"
20,0.178030303030303,PRUNED,2025-10-01 00:55:49.410405,2025-10-01 00:56:02.394326,0 days 00:00:12.983921,mish,False,32,True,0.0,,increasing,2,3.0,linear,,3.0,0.1,False,False,False,False,False,,,2,False,True,True,True,True,,0.001,,minmax,5,AdamW,last,False,0.0,True,"[64, 96, 128, 192, 256]","[3, 6, 9, 12, 15]","[False, False, False, False, False]",0.1,"[False, True, True, True, True]"
21,0.08558558558558559,PRUNED,2025-10-01 00:56:02.395345,2025-10-01 00:56:32.516104,0 days 00:00:30.120759,mish,False,16,True,3.0,,increasing,1,3.0,linear,,3.0,0.05,False,False,False,False,False,,,3,False,True,True,True,True,,0.0002,,minmax,5,Adam,last,False,0.0,True,"[192, 256, 384, 512, 640]","[3, 6, 9, 12, 15]","[False, False, False, False, False]",0.05,"[False, True, True, True, True]"
22,0.4139000682771565,COMPLETE,2025-10-01 00:56:32.518121,2025-10-01 00:57:42.950857,0 days 00:01:10.432736,leakyrelu,False,16,True,2.0,,increasing,1,3.0,linear,,3.0,0.05,False,False,False,False,False,,,3,False,True,True,True,True,,0.0002,,minmax,5,Adam,last,False,1e-05,True,"[128, 192, 256, 384, 512]","[3, 6, 9, 12, 15]","[False, False, False, False, False]",0.05,"[False, True, True, True, True]"
23,0.21761658031088082,PRUNED,2025-10-01 00:57:42.953887,2025-10-01 00:57:55.705959,0 days 00:00:12.752072,gelu,False,16,True,4.0,,increasing,1,2.0,linear,,2.0,0.1,False,False,False,False,,,,3,False,True,True,True,,,0.0002,,minmax,4,Adam,last,False,2e-06,True,"[256, 384, 512, 640]","[2, 4, 6, 8]","[False, False, False, False]",0.1,"[False, True, True, True]"
24,0.178030303030303,PRUNED,2025-10-01 00:57:55.706971,2025-10-01 00:58:10.805301,0 days 00:00:15.098330,mish,False,16,True,6.0,,decreasing,1,3.0,linear,,3.0,0.05,False,False,,,,,,3,False,True,,,,,0.0002,,minmax,2,Adam,last,False,0.0,True,"[512, 384]","[3, 6]","[False, False]",0.05,"[False, True]"
