number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
22,0.4019209243291046,COMPLETE,2025-10-01 00:13:18.113616,2025-10-01 00:13:40.751277,0 days 00:00:22.637661,mish,False,32,True,0.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[64],[2],[False],0.3,[True]
23,0.3954767771001359,COMPLETE,2025-10-01 00:13:40.754278,2025-10-01 00:14:23.237574,0 days 00:00:42.483296,mish,False,32,True,4.0,,decreasing,2,,pow2,2.0,,0.3,False,True,,,,,64.0,9,True,False,,,,,0.001,,L2,2,Adam,last,False,1e-07,True,"[256, 192]","[2, 4]","[False, True]",0.3,"[True, False]"
24,0.36544721081956183,COMPLETE,2025-10-01 00:14:23.240893,2025-10-01 00:14:46.644226,0 days 00:00:23.403333,mish,False,32,True,2.0,,decreasing,2,,pow2,2.0,,0.3,False,True,,,,,64.0,9,True,False,,,,,0.001,,L2,2,Adam,last,False,1e-06,True,"[128, 96]","[2, 4]","[False, True]",0.3,"[True, False]"
25,0.3803470256082231,COMPLETE,2025-10-01 00:14:46.644226,2025-10-01 00:15:49.305511,0 days 00:01:02.661285,mish,False,32,True,5.0,,decreasing,2,,pow2,2.0,,0.25,False,True,,,,,64.0,9,True,False,,,,,0.001,,L2,2,Adam,mean,False,1e-07,True,"[384, 256]","[2, 4]","[False, True]",0.25,"[True, False]"
26,0.21759048895761182,COMPLETE,2025-10-01 00:15:49.311967,2025-10-01 00:16:19.165663,0 days 00:00:29.853696,mish,False,16,True,2.0,,decreasing,3,,pow2,1.0,,0.3,False,,,,,,,3,True,,,,,,0.001,,minmax,1,Adam,attention,False,1e-07,True,[128],[1],[False],0.3,[True]
27,0.21640488656195464,PRUNED,2025-10-01 00:16:19.165663,2025-10-01 00:16:32.263504,0 days 00:00:13.097841,mish,False,64,True,1.0,,increasing,2,,pow2,2.0,,0.05,False,True,,,,,128.0,7,True,False,,,,,0.0005,,L2,2,Adam,max,False,1e-07,True,"[96, 128]","[2, 4]","[False, True]",0.05,"[True, False]"
28,0.35381350801096895,COMPLETE,2025-10-01 00:16:32.264504,2025-10-01 00:17:10.348124,0 days 00:00:38.083620,mish,False,96,True,5.0,,decreasing,3,,pow2,2.0,,0.25,False,,,,,,512.0,9,True,,,,,,0.0002,,L2,1,AdamW,last,False,5e-07,True,[384],[2],[False],0.25,[True]
29,0.21759048895761182,COMPLETE,2025-10-01 00:17:10.349120,2025-10-01 00:17:41.848375,0 days 00:00:31.499255,tanh,False,32,True,3.0,,increasing,2,,pow2,2.0,,0.3,False,True,,,,,512.0,9,True,False,,,,,0.002,,minmax,2,Adam,attention,True,1e-06,True,"[192, 256]","[2, 4]","[False, True]",0.3,"[True, False]"
30,0.3680051160862509,COMPLETE,2025-10-01 00:17:41.848375,2025-10-01 00:18:57.322971,0 days 00:01:15.474596,gelu,False,32,True,4.0,,decreasing,3,,pow2,2.0,,0.2,False,True,True,,,,64.0,9,True,False,False,,,,0.001,,L2,3,Adam,mean,False,0.0,True,"[256, 192, 128]","[2, 4, 8]","[False, True, True]",0.2,"[True, False, False]"
31,0.21640488656195464,PRUNED,2025-10-01 00:18:57.324997,2025-10-01 00:19:44.369419,0 days 00:00:47.044422,mish,False,32,True,6.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[512],[2],[False],0.3,[True]
32,0.377313558355225,COMPLETE,2025-10-01 00:19:44.370419,2025-10-01 00:20:13.588491,0 days 00:00:29.218072,mish,False,32,True,4.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[256],[2],[False],0.3,[True]
