number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
20,0.21759048895761182,COMPLETE,2025-10-08 21:30:20.270215,2025-10-08 21:30:32.684544,0 days 00:00:12.414329,relu,96,,1.0,uniform,2,,pow2,1.0,,0.0,True,False,True,False,False,,,9,False,True,False,False,True,,0.002,,L2,5,AdamW,mean,False,0.0,True,"[96, 96, 96, 96, 96]","[1, 2, 4, 8, 16]","[True, False, True, False, False]",0.0,"[False, True, False, False, True]"
21,0.21875,PRUNED,2025-10-08 21:30:32.686550,2025-10-08 21:30:58.583973,0 days 00:00:25.897423,silu,16,,7.0,uniform,3,,pow2,1.0,,0.1,True,False,False,,,,64.0,3,False,True,True,,,,0.0001,,L2,3,RMSprop,max,False,1e-07,True,"[640, 640, 640]","[1, 2, 4]","[True, False, False]",0.1,"[False, True, True]"
22,0.4260928424714275,COMPLETE,2025-10-08 21:30:58.585973,2025-10-08 21:32:45.093165,0 days 00:01:46.507192,silu,16,,7.0,uniform,3,,pow2,1.0,,0.1,True,False,False,,,,64.0,3,False,True,True,,,,0.0001,,L2,3,RMSprop,max,False,1e-07,True,"[640, 640, 640]","[1, 2, 4]","[True, False, False]",0.1,"[False, True, True]"
23,0.428285022396176,COMPLETE,2025-10-08 21:32:45.096405,2025-10-08 21:34:46.629098,0 days 00:02:01.532693,prelu,16,,8.0,uniform,2,,pow2,1.0,,0.2,True,False,False,True,,,64.0,3,False,True,True,False,,,0.0001,,L2,4,RMSprop,max,False,1e-07,True,"[768, 768, 768, 768]","[1, 2, 4, 8]","[True, False, False, True]",0.2,"[False, True, True, False]"
24,0.21761658031088082,PRUNED,2025-10-08 21:34:46.630099,2025-10-08 21:35:04.744117,0 days 00:00:18.114018,silu,16,,8.0,uniform,3,,pow2,2.0,,0.0,True,False,False,,,,64.0,3,False,True,True,,,,0.0001,,L2,3,RMSprop,max,False,1e-06,True,"[768, 768, 768]","[2, 4, 8]","[True, False, False]",0.0,"[False, True, True]"
25,0.08616780045351474,PRUNED,2025-10-08 21:35:04.745120,2025-10-08 21:35:08.817938,0 days 00:00:04.072818,leakyrelu,128,,5.0,uniform,2,,pow2,1.0,,0.1,True,,,,,,128.0,3,False,,,,,,1e-05,,L2,1,RMSprop,max,False,1e-07,True,[384],[1],[True],0.1,[False]
26,0.178030303030303,PRUNED,2025-10-08 21:35:08.818942,2025-10-08 21:35:36.001365,0 days 00:00:27.182423,silu,16,,7.0,uniform,3,1.0,linear,,2.0,0.2,False,False,,,,,256.0,5,True,True,,,,,0.0002,0.6000000000000001,minmax,2,SGD,last,True,0.0,False,"[640, 640]","[1, 3]","[False, False]",0.2,"[True, True]"
27,0.21759048895761182,COMPLETE,2025-10-08 21:35:36.001365,2025-10-08 21:37:22.855544,0 days 00:01:46.854179,leakyrelu,16,,9.0,uniform,2,,pow2,2.0,,0.1,True,False,False,False,,,64.0,3,False,True,True,True,,,0.001,,L2,4,Adam,attention,False,1e-05,True,"[896, 896, 896, 896]","[2, 4, 8, 16]","[True, False, False, False]",0.1,"[False, True, True, True]"
28,0.178030303030303,PRUNED,2025-10-08 21:37:22.858558,2025-10-08 21:37:49.867025,0 days 00:00:27.008467,prelu,16,7.0,,decreasing,3,2.0,linear,,3.0,0.0,False,True,False,True,True,,64.0,3,True,False,True,True,False,,0.002,,L2,5,AdamW,last,False,2e-07,True,"[640, 512, 384, 256, 192]","[2, 5, 8, 11, 14]","[False, True, False, True, True]",0.0,"[True, False, True, True, False]"
29,0.08558558558558559,PRUNED,2025-10-08 21:37:49.867025,2025-10-08 21:37:53.707519,0 days 00:00:03.840494,relu,128,0.0,,increasing,2,3.0,linear,,2.0,0.2,True,False,True,,,,256.0,3,False,True,False,,,,0.002,0.2,L2,3,SGD,mean,False,2e-06,True,"[64, 96, 128]","[3, 5, 7]","[True, False, True]",0.2,"[False, True, False]"
