number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
15,0.47774793515403663,COMPLETE,2025-10-01 11:01:27.471679,2025-10-01 11:01:54.656600,0 days 00:00:27.184921,gelu,False,96,False,5.0,,decreasing,1,2.0,linear,,2.0,0.25,True,False,True,False,,,9,False,True,False,False,,0.0005,,minmax,4,Adam,last,True,1e-05,True,"[384, 256, 192, 128]","[2, 4, 6, 8]","[True, False, True, False]",0.25,"[False, True, False, False]"
16,0.21875,PRUNED,2025-10-01 11:01:54.658611,2025-10-01 11:02:00.289914,0 days 00:00:05.631303,relu,True,96,False,5.0,,decreasing,1,3.0,linear,,2.0,0.25,True,False,True,False,,,9,False,True,False,False,,0.0005,,minmax,4,RMSprop,last,True,1e-05,True,"[384, 256, 192, 128]","[3, 5, 7, 9]","[True, False, True, False]",0.25,"[False, True, False, False]"
17,0.21875,PRUNED,2025-10-01 11:02:00.289914,2025-10-01 11:02:05.990694,0 days 00:00:05.700780,elu,False,96,False,6.0,,decreasing,1,2.0,linear,,2.0,0.05,True,False,True,False,,,3,True,True,False,False,,0.0005,,minmax,4,AdamW,attention,True,1e-05,True,"[512, 384, 256, 192]","[2, 4, 6, 8]","[True, False, True, False]",0.05,"[True, True, False, False]"
18,0.178030303030303,PRUNED,2025-10-01 11:02:05.990694,2025-10-01 11:02:10.225995,0 days 00:00:04.235301,mish,True,96,False,4.0,,decreasing,1,,pow2,2.0,,0.15000000000000002,False,False,True,,,,7,False,True,False,,,0.0001,,minmax,3,Adam,max,False,2e-07,False,"[256, 192, 128]","[2, 4, 8]","[False, False, True]",0.15000000000000002,"[False, True, False]"
19,0.178030303030303,PRUNED,2025-10-01 11:02:10.225995,2025-10-01 11:02:24.377828,0 days 00:00:14.151833,tanh,False,96,False,7.0,,decreasing,1,2.0,linear,,2.0,0.25,True,False,False,False,,256.0,5,True,True,True,False,,0.0005,,minmax,4,RMSprop,last,True,1e-06,True,"[640, 512, 384, 256]","[2, 4, 6, 8]","[True, False, False, False]",0.25,"[True, True, True, False]"
20,0.29525412490121433,COMPLETE,2025-10-01 11:02:24.377828,2025-10-01 11:02:44.841091,0 days 00:00:20.463263,gelu,False,64,False,4.0,,decreasing,2,3.0,linear,,2.0,0.05,True,False,True,False,,,2,False,True,False,False,,0.0001,,minmax,4,Adam,last,True,5e-07,True,"[256, 192, 128, 96]","[3, 5, 7, 9]","[True, False, True, False]",0.05,"[False, True, False, False]"
21,0.4234997917821635,COMPLETE,2025-10-01 11:02:44.841091,2025-10-01 11:03:26.833837,0 days 00:00:41.992746,gelu,False,16,True,,6.0,uniform,2,1.0,linear,,3.0,0.3,True,,,,,64.0,9,False,,,,,0.002,,L2,1,Adam,last,True,2e-06,True,[512],[1],[True],0.3,[False]
22,0.178030303030303,PRUNED,2025-10-01 11:03:26.833837,2025-10-01 11:03:50.622703,0 days 00:00:23.788866,gelu,False,16,False,,7.0,uniform,2,1.0,linear,,3.0,0.25,True,False,,,,,9,False,True,,,,0.002,,minmax,2,Adam,last,True,1e-05,True,"[640, 640]","[1, 4]","[True, False]",0.25,"[False, True]"
23,0.4846700207642958,COMPLETE,2025-10-01 11:03:50.622703,2025-10-01 11:04:21.695889,0 days 00:00:31.073186,gelu,False,16,True,3.0,,increasing,3,2.0,linear,,3.0,0.3,True,,,,,64.0,9,False,,,,,0.0005,,L2,1,Adam,last,True,0.0,True,[192],[2],[True],0.3,[False]
24,0.46548308641353464,COMPLETE,2025-10-01 11:04:21.695889,2025-10-01 11:04:39.040436,0 days 00:00:17.344547,gelu,False,96,False,3.0,,increasing,3,2.0,linear,,3.0,0.2,True,True,,,,,9,False,False,,,,0.0005,,minmax,2,Adam,last,True,0.0,True,"[192, 256]","[2, 5]","[True, True]",0.2,"[False, False]"
