number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
25,0.24991332068439576,COMPLETE,2025-11-24 17:14:50.780353,2025-11-24 17:16:22.125895,0 days 00:01:31.345542,"[256, 192]",leakyrelu,32,128,0.0,2e-05,,minmax,prenorm,8,2,Adam,max,sinusoidal,0.0
26,0.25102904940613235,COMPLETE,2025-11-24 17:16:22.128093,2025-11-24 17:18:26.589417,0 days 00:02:04.461324,"[256, 192, 128]",elu,32,128,0.1,2e-05,,L2,postnorm,16,3,RMSprop,max,sinusoidal,0.0
27,0.2734361981467651,COMPLETE,2025-11-24 17:18:26.591919,2025-11-24 17:20:48.450004,0 days 00:02:21.858085,"[256, 192, 128]",elu,32,128,0.1,2e-05,,L2,postnorm,16,3,RMSprop,max,sinusoidal,0.0
28,0.1761006289308176,PRUNED,2025-11-24 17:20:48.453558,2025-11-24 17:21:02.979002,0 days 00:00:14.525444,"[256, 384, 512]",elu,32,128,0.1,5e-05,,L2,postnorm,16,3,RMSprop,max,sinusoidal,1e-05
29,0.1761006289308176,PRUNED,2025-11-24 17:21:02.980029,2025-11-24 17:21:20.443457,0 days 00:00:17.463428,"[768, 768, 768]",elu,32,128,0.1,2e-05,,L2,postnorm,16,3,RMSprop,max,sinusoidal,0.0
30,0.1761006289308176,PRUNED,2025-11-24 17:21:20.444476,2025-11-24 17:22:10.118647,0 days 00:00:49.674171,"[384, 256, 192]",elu,32,128,0.1,1e-05,,L2,postnorm,16,3,RMSprop,max,sinusoidal,1e-07
31,0.18238993710691823,PRUNED,2025-11-24 17:22:10.119647,2025-11-24 17:23:22.119565,0 days 00:01:11.999918,"[256, 192, 128]",elu,32,128,0.1,2e-05,,L2,postnorm,16,3,RMSprop,max,sinusoidal,0.0
32,0.1761006289308176,PRUNED,2025-11-24 17:23:22.122169,2025-11-24 17:23:55.711800,0 days 00:00:33.589631,"[384, 256, 192, 128]",elu,32,128,0.1,2e-05,,L2,postnorm,16,4,RMSprop,max,sinusoidal,0.0
33,0.381961062784267,COMPLETE,2025-11-24 17:23:55.712806,2025-11-24 17:26:55.113243,0 days 00:02:59.400437,"[192, 128]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,sinusoidal,0.0
34,0.36552919356727565,COMPLETE,2025-11-24 17:26:55.116397,2025-11-24 17:29:36.236445,0 days 00:02:41.120048,"[192, 128]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,sinusoidal,0.0
35,0.1761006289308176,PRUNED,2025-11-24 17:29:36.239445,2025-11-24 17:30:13.828655,0 days 00:00:37.589210,"[192, 128]",mish,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,learned,0.0
36,0.36003286317553507,COMPLETE,2025-11-24 17:30:13.830160,2025-11-24 17:32:24.995160,0 days 00:02:11.165000,"[384, 384]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,sinusoidal,1e-07
37,0.1761006289308176,PRUNED,2025-11-24 17:32:24.998213,2025-11-24 17:32:43.373220,0 days 00:00:18.375007,"[384, 384]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,mean,sinusoidal,1e-07
38,0.3493575907073617,COMPLETE,2025-11-24 17:32:43.375398,2025-11-24 17:34:44.020506,0 days 00:02:00.645108,"[384, 384]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,learned,1e-07
39,0.21758419036095988,COMPLETE,2025-11-24 17:34:44.023549,2025-11-24 17:35:58.991661,0 days 00:01:14.968112,"[384, 384]",silu,32,128,0.0,0.0001,,L2,postnorm,2,2,AdamW,mean,learned,1e-07
40,0.08888888888888889,PRUNED,2025-11-24 17:35:58.994713,2025-11-24 17:36:11.452556,0 days 00:00:12.457843,"[256, 256]",silu,96,128,0.0,0.0001,0.9,L2,postnorm,16,2,SGD,max,learned,1e-07
41,0.34969725214908093,COMPLETE,2025-11-24 17:36:11.454583,2025-11-24 17:38:28.297942,0 days 00:02:16.843359,"[512, 512]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,learned,1e-07
42,0.1761006289308176,PRUNED,2025-11-24 17:38:28.301461,2025-11-24 17:38:52.919699,0 days 00:00:24.618238,"[512, 512]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,learned,1e-07
43,0.1761006289308176,PRUNED,2025-11-24 17:38:52.921709,2025-11-24 17:39:14.275733,0 days 00:00:21.354024,"[512, 512]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,learned,1e-07
44,0.18238993710691823,PRUNED,2025-11-24 17:39:14.276740,2025-11-24 17:39:51.792215,0 days 00:00:37.515475,"[192, 192]",silu,128,768,0.4,0.0001,,L2,postnorm,16,2,RMSprop,max,learned,1e-07
45,0.3142955118260621,COMPLETE,2025-11-24 17:39:51.793239,2025-11-24 17:41:20.094968,0 days 00:01:28.301729,"[512, 512]",silu,64,384,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,learned,1e-07
46,0.08888888888888889,PRUNED,2025-11-24 17:41:20.099474,2025-11-24 17:41:38.758637,0 days 00:00:18.659163,"[640, 640]",silu,48,128,0.0,0.0001,0.9,L2,postnorm,16,2,SGD,mean,learned,1e-07
47,0.27775333877769776,COMPLETE,2025-11-24 17:41:38.759666,2025-11-24 17:43:32.112103,0 days 00:01:53.352437,"[192, 192]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,AdamW,max,learned,1e-06
48,0.29303981106612687,COMPLETE,2025-11-24 17:43:32.115172,2025-11-24 17:45:17.714264,0 days 00:01:45.599092,"[384, 384]",silu,32,768,0.2,0.0001,,L2,postnorm,2,2,RMSprop,max,learned,1e-07
49,0.1761006289308176,PRUNED,2025-11-24 17:45:17.717265,2025-11-24 17:46:10.730287,0 days 00:00:53.013022,"[192, 192]",silu,32,128,0.0,0.0002,,L2,postnorm,16,2,RMSprop,max,learned,1e-07
