number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.2590241648181757,COMPLETE,2025-11-24 19:18:24.932266,2025-11-24 19:18:47.105102,0 days 00:00:22.172836,[384],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
1,0.21758419036095988,COMPLETE,2025-11-24 19:18:47.107967,2025-11-24 19:19:29.897756,0 days 00:00:42.789789,"[256, 256]",prelu,48,512,0.2,0.0001,0.0,minmax,postnorm,16,2,SGD,cls,learned,1e-05
2,0.21758419036095988,COMPLETE,2025-11-24 19:19:29.897756,2025-11-24 19:20:15.091727,0 days 00:00:45.193971,"[640, 512]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
3,0.21758419036095988,COMPLETE,2025-11-24 19:20:15.091727,2025-11-24 19:21:28.261351,0 days 00:01:13.169624,[640],mish,16,384,0.3,0.0005,,minmax,postnorm,16,1,Adam,mean,learned,1e-05
4,0.08888888888888889,PRUNED,2025-11-24 19:21:28.263836,2025-11-24 19:21:37.431065,0 days 00:00:09.167229,"[640, 768]",leakyrelu,64,128,0.1,0.001,,minmax,postnorm,16,2,AdamW,mean,learned,0.0
5,0.21758419036095988,COMPLETE,2025-11-24 19:21:37.432068,2025-11-24 19:22:28.060853,0 days 00:00:50.628785,"[128, 96]",leakyrelu,48,128,0.2,2e-05,,L2,prenorm,16,2,Adam,mean,sinusoidal,1e-07
6,0.08333333333333333,PRUNED,2025-11-24 19:22:28.063034,2025-11-24 19:22:51.133917,0 days 00:00:23.070883,"[64, 64, 64]",gelu,96,512,0.4,0.0001,0.0,minmax,prenorm,2,3,SGD,mean,sinusoidal,1e-05
7,0.1761006289308176,PRUNED,2025-11-24 19:22:51.133917,2025-11-24 19:23:17.828076,0 days 00:00:26.694159,"[256, 256, 256, 256]",gelu,32,768,0.0,1e-05,,minmax,postnorm,4,4,RMSprop,cls,sinusoidal,1e-06
8,0.21758419036095988,COMPLETE,2025-11-24 19:23:17.829079,2025-11-24 19:23:46.379695,0 days 00:00:28.550616,[64],leakyrelu,64,384,0.0,2e-05,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-05
9,0.08333333333333333,PRUNED,2025-11-24 19:23:46.381010,2025-11-24 19:24:16.105674,0 days 00:00:29.724664,"[640, 640]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
10,0.1761006289308176,PRUNED,2025-11-24 19:24:16.105674,2025-11-24 19:24:21.759462,0 days 00:00:05.653788,[256],hardswish,128,384,0.3,1e-05,,minmax,prenorm,8,1,AdamW,max,sinusoidal,1e-06
11,0.21758419036095988,COMPLETE,2025-11-24 19:24:21.760466,2025-11-24 19:24:52.730357,0 days 00:00:30.969891,"[192, 192, 192]",prelu,128,512,0.2,0.0002,0.0,minmax,postnorm,4,3,SGD,cls,learned,1e-06
12,0.08888888888888889,PRUNED,2025-11-24 19:24:52.732377,2025-11-24 19:24:56.937038,0 days 00:00:04.204661,[256],elu,128,512,0.3,1e-05,0.8,minmax,postnorm,8,1,SGD,max,learned,1e-07
13,0.08333333333333333,PRUNED,2025-11-24 19:24:56.937038,2025-11-24 19:25:51.842727,0 days 00:00:54.905689,"[768, 768, 768]",hardswish,32,768,0.4,0.0001,,minmax,postnorm,4,3,AdamW,cls,learned,1e-06
14,0.21758419036095988,COMPLETE,2025-11-24 19:25:51.843732,2025-11-24 19:26:14.215663,0 days 00:00:22.371931,[384],prelu,96,256,0.1,0.0002,0.9,minmax,postnorm,16,1,SGD,max,sinusoidal,1e-05
15,0.1761006289308176,PRUNED,2025-11-24 19:26:14.218700,2025-11-24 19:26:38.482573,0 days 00:00:24.263873,"[384, 256]",hardswish,16,384,0.2,0.001,,minmax,postnorm,4,2,AdamW,cls,learned,1e-06
16,0.21758419036095988,COMPLETE,2025-11-24 19:26:38.486197,2025-11-24 19:27:49.740112,0 days 00:01:11.253915,"[96, 96, 96, 96]",prelu,48,512,0.3,5e-05,0.7,minmax,postnorm,8,4,SGD,max,learned,0.0
17,0.2849582298129288,COMPLETE,2025-11-24 19:27:49.742245,2025-11-24 19:28:13.820989,0 days 00:00:24.078744,[512],relu,128,384,0.2,0.0005,,minmax,postnorm,2,1,Adam,cls,sinusoidal,1e-07
18,0.1761006289308176,PRUNED,2025-11-24 19:28:13.824411,2025-11-24 19:28:21.767830,0 days 00:00:07.943419,[128],relu,128,384,0.3,0.0005,,L2,prenorm,2,1,Adam,cls,sinusoidal,1e-07
19,0.1761006289308176,PRUNED,2025-11-24 19:28:21.767830,2025-11-24 19:28:30.134236,0 days 00:00:08.366406,[768],relu,128,384,0.1,0.0005,,minmax,postnorm,2,1,Adam,max,sinusoidal,1e-07
20,0.1761006289308176,PRUNED,2025-11-24 19:28:30.135289,2025-11-24 19:28:34.326468,0 days 00:00:04.191179,[128],mish,128,384,0.4,1e-05,,minmax,postnorm,2,1,Adam,max,sinusoidal,1e-07
21,0.21758419036095988,COMPLETE,2025-11-24 19:28:34.327472,2025-11-24 19:28:58.988033,0 days 00:00:24.660561,"[512, 512]",silu,128,512,0.2,0.0005,,minmax,postnorm,4,2,Adam,cls,sinusoidal,1e-06
22,0.1761006289308176,PRUNED,2025-11-24 19:28:58.992851,2025-11-24 19:29:20.062005,0 days 00:00:21.069154,"[384, 384]",elu,48,384,0.2,0.0001,,minmax,postnorm,2,2,AdamW,cls,sinusoidal,1e-07
23,0.08888888888888889,PRUNED,2025-11-24 19:29:20.063664,2025-11-24 19:29:24.996371,0 days 00:00:04.932707,[128],relu,128,768,0.2,0.0001,0.0,minmax,postnorm,16,1,SGD,cls,learned,1e-05
24,0.21758419036095988,COMPLETE,2025-11-24 19:29:24.996371,2025-11-24 19:30:10.381372,0 days 00:00:45.385001,"[384, 384, 384]",prelu,64,512,0.2,0.0005,0.8,minmax,postnorm,16,3,SGD,cls,sinusoidal,1e-06
25,0.21758419036095988,COMPLETE,2025-11-24 19:30:10.383389,2025-11-24 19:31:11.610248,0 days 00:01:01.226859,"[256, 256]",hardswish,32,256,0.3,1e-05,,minmax,postnorm,2,2,Adam,cls,sinusoidal,1e-05
26,0.21758419036095988,COMPLETE,2025-11-24 19:31:11.611964,2025-11-24 19:31:32.663599,0 days 00:00:21.051635,[512],prelu,96,384,0.2,5e-05,,L2,prenorm,4,1,AdamW,cls,learned,1e-07
27,0.1761006289308176,PRUNED,2025-11-24 19:31:32.670682,2025-11-24 19:32:05.305088,0 days 00:00:32.634406,[768],relu,16,384,0.2,2e-05,,minmax,postnorm,8,1,RMSprop,max,sinusoidal,0.0
28,0.21758419036095988,COMPLETE,2025-11-24 19:32:05.306843,2025-11-24 19:32:54.535886,0 days 00:00:49.229043,"[64, 96]",hardswish,48,512,0.3,0.001,,minmax,postnorm,2,2,Adam,cls,learned,1e-05
