number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
26,0.38655404229016943,COMPLETE,2025-11-24 23:05:18.010851,2025-11-24 23:06:22.074361,0 days 00:01:04.063510,[512],relu,96,256,0.0,0.0001,,L2,prenorm,2,1,Adam,mean,sinusoidal,1e-06
27,0.24720310945356316,COMPLETE,2025-11-24 23:06:22.076364,2025-11-24 23:07:03.783652,0 days 00:00:41.707288,"[192, 128]",elu,128,512,0.1,0.0005,,L2,postnorm,2,2,Adam,max,sinusoidal,1e-06
28,0.2658920602845836,PRUNED,2025-11-24 23:07:03.786680,2025-11-24 23:07:42.075028,0 days 00:00:38.288348,"[96, 128, 192]",elu,64,256,0.3,0.0002,,L2,postnorm,4,3,RMSprop,mean,learned,1e-05
29,0.08888888888888889,PRUNED,2025-11-24 23:07:42.076028,2025-11-24 23:07:51.448095,0 days 00:00:09.372067,[512],hardswish,128,384,0.3,1e-05,0.9,minmax,postnorm,4,1,SGD,cls,sinusoidal,1e-06
30,0.08888888888888889,PRUNED,2025-11-24 23:07:51.455111,2025-11-24 23:08:02.294285,0 days 00:00:10.839174,[384],relu,48,256,0.0,2e-05,,L2,postnorm,8,1,Adam,max,sinusoidal,1e-07
31,0.36416175700566433,COMPLETE,2025-11-24 23:08:02.295288,2025-11-24 23:10:49.621182,0 days 00:02:47.325894,"[512, 384]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
32,0.21839080459770113,PRUNED,2025-11-24 23:10:49.624193,2025-11-24 23:11:07.433707,0 days 00:00:17.809514,"[256, 192]",prelu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
33,0.4249743969851784,COMPLETE,2025-11-24 23:11:07.434712,2025-11-24 23:14:16.091597,0 days 00:03:08.656885,"[768, 640]",silu,48,512,0.0,0.0001,,L2,postnorm,16,2,AdamW,mean,learned,1e-05
34,0.21758419036095988,COMPLETE,2025-11-24 23:14:16.098189,2025-11-24 23:16:14.511085,0 days 00:01:58.412896,"[768, 640]",mish,48,512,0.0,0.0001,,minmax,postnorm,16,2,AdamW,mean,learned,1e-05
35,0.1761006289308176,PRUNED,2025-11-24 23:16:14.514096,2025-11-24 23:16:26.660204,0 days 00:00:12.146108,"[192, 128]",silu,48,512,0.0,0.0001,0.8,L2,postnorm,2,2,SGD,mean,learned,1e-05
36,0.4210086838078869,COMPLETE,2025-11-24 23:16:26.662297,2025-11-24 23:18:55.240747,0 days 00:02:28.578450,"[512, 384]",elu,48,512,0.0,0.0001,,L2,postnorm,16,2,Adam,mean,learned,1e-05
37,0.21839080459770113,PRUNED,2025-11-24 23:18:55.243765,2025-11-24 23:19:30.552976,0 days 00:00:35.309211,"[192, 192, 192]",gelu,16,512,0.3,0.001,,minmax,postnorm,4,3,AdamW,mean,learned,1e-05
38,0.1761006289308176,PRUNED,2025-11-24 23:19:30.553978,2025-11-24 23:19:41.705111,0 days 00:00:11.151133,[256],hardswish,64,384,0.1,0.0001,,L2,prenorm,16,1,RMSprop,cls,learned,1e-05
39,0.08333333333333333,PRUNED,2025-11-24 23:19:41.706112,2025-11-24 23:20:15.927259,0 days 00:00:34.221147,"[96, 128]",leakyrelu,48,512,0.0,1e-05,,minmax,postnorm,2,2,Adam,mean,sinusoidal,1e-06
40,0.21839080459770113,PRUNED,2025-11-24 23:20:15.928263,2025-11-24 23:21:09.784130,0 days 00:00:53.855867,"[640, 640, 640, 640]",prelu,96,768,0.4,0.0005,,L2,postnorm,2,4,RMSprop,mean,learned,1e-05
41,0.40706660881854545,COMPLETE,2025-11-24 23:21:09.784130,2025-11-24 23:23:19.145026,0 days 00:02:09.360896,"[512, 384]",elu,48,512,0.0,0.0001,,L2,postnorm,16,2,Adam,mean,learned,1e-05
42,0.41688185626843755,COMPLETE,2025-11-24 23:23:19.148079,2025-11-24 23:26:19.103178,0 days 00:02:59.955099,"[768, 640]",elu,48,512,0.0,0.0001,,L2,postnorm,16,2,Adam,mean,learned,1e-05
43,0.42469336176312555,COMPLETE,2025-11-24 23:26:19.105183,2025-11-24 23:28:53.440896,0 days 00:02:34.335713,"[384, 256]",elu,48,512,0.0,0.0001,,L2,postnorm,16,2,Adam,mean,learned,1e-05
44,0.1761006289308176,PRUNED,2025-11-24 23:28:53.448753,2025-11-24 23:29:22.587797,0 days 00:00:29.139044,"[384, 256]",relu,32,512,0.0,0.0001,,L2,prenorm,16,2,Adam,mean,learned,1e-05
45,0.08888888888888889,PRUNED,2025-11-24 23:29:22.588800,2025-11-24 23:30:08.435036,0 days 00:00:45.846236,"[256, 192, 128]",gelu,48,256,0.0,2e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-07
46,0.21839080459770113,PRUNED,2025-11-24 23:30:08.437042,2025-11-24 23:30:27.902648,0 days 00:00:19.465606,"[640, 512]",elu,48,384,0.0,0.0001,0.8,L2,postnorm,8,2,SGD,mean,sinusoidal,1e-05
47,0.08888888888888889,PRUNED,2025-11-24 23:30:27.902648,2025-11-24 23:30:38.140354,0 days 00:00:10.237706,[128],silu,48,512,0.0,0.0005,,minmax,postnorm,4,1,RMSprop,cls,learned,1e-05
48,0.08888888888888889,PRUNED,2025-11-24 23:30:38.141356,2025-11-24 23:31:21.043829,0 days 00:00:42.902473,"[640, 512]",leakyrelu,64,256,0.1,0.001,,L2,postnorm,16,2,Adam,max,learned,1e-06
49,0.21839080459770113,PRUNED,2025-11-24 23:31:21.044832,2025-11-24 23:31:42.456963,0 days 00:00:21.412131,"[192, 256, 384]",mish,32,256,0.4,0.0002,,L2,prenorm,4,3,AdamW,mean,sinusoidal,1e-05
