number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
26,0.1761006289308176,PRUNED,2025-11-24 13:08:13.382050,2025-11-24 13:08:24.605943,0 days 00:00:11.223893,"[512, 640]",silu,48,512,0.1,1e-05,,minmax,postnorm,8,2,RMSprop,max,learned,1e-05
27,0.1761006289308176,PRUNED,2025-11-24 13:08:24.607768,2025-11-24 13:08:28.345433,0 days 00:00:03.737665,[768],silu,96,384,0.1,0.001,,L2,postnorm,2,1,RMSprop,max,learned,1e-05
28,0.1761006289308176,PRUNED,2025-11-24 13:08:28.346436,2025-11-24 13:08:46.503985,0 days 00:00:18.157549,"[640, 512, 384]",gelu,128,512,0.1,0.0002,,L2,postnorm,16,3,RMSprop,cls,learned,0.0
29,0.18238993710691823,PRUNED,2025-11-24 13:08:46.503985,2025-11-24 13:09:19.956741,0 days 00:00:33.452756,"[768, 768]",prelu,96,768,0.2,0.0001,,L2,postnorm,16,2,Adam,max,learned,1e-06
30,0.5002375058738523,COMPLETE,2025-11-24 13:09:19.956741,2025-11-24 13:11:15.769126,0 days 00:01:55.812385,[384],relu,16,512,0.0,0.0005,,L2,postnorm,8,1,AdamW,max,learned,0.0
31,0.1761006289308176,PRUNED,2025-11-24 13:11:15.772127,2025-11-24 13:11:40.447164,0 days 00:00:24.675037,[384],relu,16,512,0.0,0.0005,,L2,postnorm,8,1,AdamW,max,learned,0.0
32,0.18238993710691823,PRUNED,2025-11-24 13:11:40.448393,2025-11-24 13:12:30.648261,0 days 00:00:50.199868,[768],relu,16,512,0.0,0.0005,,L2,postnorm,8,1,AdamW,max,learned,0.0
33,0.3821959379852657,COMPLETE,2025-11-24 13:12:30.649260,2025-11-24 13:14:30.988421,0 days 00:02:00.339161,[640],mish,16,128,0.0,5e-05,,L2,postnorm,8,1,AdamW,max,learned,0.0
34,0.4101974987027007,COMPLETE,2025-11-24 13:14:30.991110,2025-11-24 13:17:27.066752,0 days 00:02:56.075642,"[512, 640]",mish,16,128,0.0,5e-05,,L2,prenorm,2,2,AdamW,max,sinusoidal,0.0
35,0.1761006289308176,PRUNED,2025-11-24 13:17:27.069759,2025-11-24 13:17:58.858737,0 days 00:00:31.788978,"[512, 640]",mish,16,128,0.0,5e-05,,minmax,prenorm,2,2,AdamW,mean,sinusoidal,0.0
36,0.303253762190198,COMPLETE,2025-11-24 13:17:58.859740,2025-11-24 13:18:43.042814,0 days 00:00:44.183074,"[384, 512]",mish,64,128,0.0,5e-05,,L2,prenorm,2,2,AdamW,max,sinusoidal,0.0
37,0.1761006289308176,PRUNED,2025-11-24 13:18:43.044820,2025-11-24 13:18:58.804269,0 days 00:00:15.759449,"[512, 640]",mish,96,128,0.0,5e-05,,minmax,prenorm,2,2,AdamW,cls,sinusoidal,0.0
38,0.23952400696950954,COMPLETE,2025-11-24 13:18:58.804269,2025-11-24 13:19:22.503165,0 days 00:00:23.698896,"[384, 384]",mish,128,128,0.0,5e-05,,L2,prenorm,2,2,AdamW,mean,sinusoidal,0.0
39,0.2936431124084916,COMPLETE,2025-11-24 13:19:22.505259,2025-11-24 13:19:57.059524,0 days 00:00:34.554265,[256],mish,48,128,0.0,5e-05,,L2,prenorm,4,1,AdamW,max,sinusoidal,0.0
40,0.2144927536231884,PRUNED,2025-11-24 13:19:57.061530,2025-11-24 13:20:20.539181,0 days 00:00:23.477651,"[192, 256]",mish,16,128,0.0,2e-05,,minmax,prenorm,2,2,AdamW,max,sinusoidal,0.0
41,0.1761006289308176,PRUNED,2025-11-24 13:20:20.539181,2025-11-24 13:20:29.452035,0 days 00:00:08.912854,[640],hardswish,16,128,0.3,0.0005,0.0,L2,prenorm,8,1,SGD,max,learned,0.0
42,0.1761006289308176,PRUNED,2025-11-24 13:20:29.452035,2025-11-24 13:20:49.751534,0 days 00:00:20.299499,[640],gelu,16,256,0.0,0.0001,,L2,postnorm,4,1,AdamW,max,sinusoidal,0.0
43,0.1761006289308176,PRUNED,2025-11-24 13:20:49.751534,2025-11-24 13:21:08.771709,0 days 00:00:19.020175,[384],prelu,16,128,0.0,5e-05,,L2,postnorm,8,1,Adam,max,learned,1e-07
44,0.44848999446702403,COMPLETE,2025-11-24 13:21:08.771709,2025-11-24 13:22:45.524324,0 days 00:01:36.752615,[64],elu,16,384,0.2,0.0005,,L2,prenorm,8,1,AdamW,mean,sinusoidal,0.0
45,0.48331011822915937,COMPLETE,2025-11-24 13:22:45.527615,2025-11-24 13:24:25.576818,0 days 00:01:40.049203,[64],elu,16,384,0.2,0.0005,,L2,prenorm,8,1,AdamW,mean,sinusoidal,0.0
46,0.49399845863465186,COMPLETE,2025-11-24 13:24:25.578825,2025-11-24 13:26:35.125637,0 days 00:02:09.546812,[64],elu,16,384,0.2,0.0005,,L2,prenorm,4,1,AdamW,mean,sinusoidal,0.0
47,0.1761006289308176,PRUNED,2025-11-24 13:26:35.132176,2025-11-24 13:27:07.303541,0 days 00:00:32.171365,"[128, 96, 64]",elu,32,384,0.2,0.0005,,L2,prenorm,4,3,AdamW,mean,sinusoidal,0.0
48,0.1761006289308176,PRUNED,2025-11-24 13:27:07.303541,2025-11-24 13:27:22.678248,0 days 00:00:15.374707,"[64, 96, 128, 192]",elu,48,384,0.2,0.0005,,L2,prenorm,4,4,AdamW,mean,sinusoidal,0.0
49,0.44201634593371997,COMPLETE,2025-11-24 13:27:22.679251,2025-11-24 13:28:52.924792,0 days 00:01:30.245541,[64],elu,16,384,0.2,0.0005,,L2,prenorm,4,1,AdamW,mean,sinusoidal,0.0
