number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 13:12:33.961919,2025-11-05 13:13:19.798809,0 days 00:00:45.836890,mish,64,768,0.0,0.001,512,,minmax,postnorm,8,3,RMSprop,mean,learned,1e-06
1,0.36033298845869166,COMPLETE,2025-11-05 13:13:19.800810,2025-11-05 13:15:20.918890,0 days 00:02:01.118080,hardswish,16,384,0.1,2e-05,768,,minmax,postnorm,4,3,AdamW,mean,sinusoidal,1e-05
2,0.3218410955021542,COMPLETE,2025-11-05 13:15:20.920891,2025-11-05 13:15:59.890409,0 days 00:00:38.969518,gelu,64,384,0.4,5e-05,128,,minmax,prenorm,16,2,AdamW,max,sinusoidal,1e-05
3,0.25718836272375306,COMPLETE,2025-11-05 13:15:59.891913,2025-11-05 13:17:58.473289,0 days 00:01:58.581376,relu,16,512,0.4,2e-05,128,,L2,postnorm,16,4,Adam,max,sinusoidal,1e-07
4,0.21759048895761182,COMPLETE,2025-11-05 13:17:58.475290,2025-11-05 13:18:25.221011,0 days 00:00:26.745721,silu,128,256,0.1,0.001,128,,minmax,postnorm,2,4,Adam,cls,learned,0.0
5,0.21759048895761182,COMPLETE,2025-11-05 13:18:25.222514,2025-11-05 13:18:53.867313,0 days 00:00:28.644799,silu,96,384,0.30000000000000004,0.0005,512,,minmax,prenorm,8,2,RMSprop,mean,sinusoidal,1e-06
6,0.0894854586129754,PRUNED,2025-11-05 13:18:53.869318,2025-11-05 13:19:20.003319,0 days 00:00:26.134001,prelu,32,768,0.30000000000000004,0.0001,768,,minmax,postnorm,16,1,RMSprop,cls,sinusoidal,1e-07
7,0.21759048895761182,COMPLETE,2025-11-05 13:19:20.004325,2025-11-05 13:20:04.599891,0 days 00:00:44.595566,silu,96,768,0.0,0.0002,512,,minmax,postnorm,8,4,Adam,mean,sinusoidal,0.0
8,0.3738942716474248,COMPLETE,2025-11-05 13:20:04.599891,2025-11-05 13:20:48.446488,0 days 00:00:43.846597,hardswish,32,256,0.1,0.0001,512,,minmax,prenorm,8,2,AdamW,max,learned,0.0
9,0.178030303030303,PRUNED,2025-11-05 13:20:48.448492,2025-11-05 13:21:06.359322,0 days 00:00:17.910830,gelu,32,256,0.0,1e-05,384,,minmax,postnorm,2,3,Adam,max,sinusoidal,1e-07
10,0.21761658031088082,PRUNED,2025-11-05 13:21:06.361325,2025-11-05 13:21:11.986280,0 days 00:00:05.624955,hardswish,32,256,0.2,0.0001,256,0.30000000000000004,L2,prenorm,4,1,SGD,max,learned,0.0
11,0.21640488656195464,PRUNED,2025-11-05 13:21:11.986280,2025-11-05 13:21:55.989122,0 days 00:00:44.002842,hardswish,16,384,0.1,2e-05,768,,L2,prenorm,4,2,AdamW,mean,learned,1e-05
12,0.3703479980547329,COMPLETE,2025-11-05 13:21:55.990168,2025-11-05 13:24:11.295088,0 days 00:02:15.304920,hardswish,16,512,0.1,0.0001,768,,minmax,prenorm,4,3,AdamW,max,learned,1e-05
13,0.08558558558558559,PRUNED,2025-11-05 13:24:11.297090,2025-11-05 13:24:20.098255,0 days 00:00:08.801165,elu,128,512,0.2,0.0001,384,,minmax,prenorm,8,2,AdamW,max,learned,1e-05
14,0.21640488656195464,PRUNED,2025-11-05 13:24:20.099256,2025-11-05 13:24:56.629999,0 days 00:00:36.530743,hardswish,32,512,0.1,0.0001,256,,L2,prenorm,4,3,AdamW,max,learned,0.0
15,0.33612633381803964,COMPLETE,2025-11-05 13:24:56.629999,2025-11-05 13:25:54.973400,0 days 00:00:58.343401,leakyrelu,16,512,0.2,0.0001,768,0.9,minmax,prenorm,4,1,SGD,max,learned,1e-05
16,0.2663045274062238,COMPLETE,2025-11-05 13:25:54.975404,2025-11-05 13:26:54.052066,0 days 00:00:59.076662,hardswish,32,256,0.1,0.0002,512,,minmax,prenorm,8,3,AdamW,max,learned,0.0
