number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
26,0.32606047689980117,COMPLETE,2025-11-05 14:53:44.488383,2025-11-05 14:54:26.243293,0 days 00:00:41.754910,hardswish,64,512,0.4,0.001,256,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
27,0.178030303030303,PRUNED,2025-11-05 14:54:26.244803,2025-11-05 14:54:50.523435,0 days 00:00:24.278632,mish,16,512,0.4,0.001,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
28,0.178030303030303,PRUNED,2025-11-05 14:54:50.524452,2025-11-05 14:55:16.261957,0 days 00:00:25.737505,hardswish,16,512,0.30000000000000004,0.001,384,,L2,prenorm,2,2,AdamW,mean,sinusoidal,1e-07
29,0.21759048895761182,COMPLETE,2025-11-05 14:55:16.263460,2025-11-05 14:55:43.064135,0 days 00:00:26.800675,prelu,128,768,0.0,0.001,128,,L2,prenorm,16,1,Adam,cls,sinusoidal,0.0
30,0.178030303030303,PRUNED,2025-11-05 14:55:43.066253,2025-11-05 14:56:44.200833,0 days 00:01:01.134580,hardswish,16,768,0.0,0.001,384,,L2,prenorm,2,3,RMSprop,cls,sinusoidal,0.0
31,0.178030303030303,PRUNED,2025-11-05 14:56:44.202248,2025-11-05 14:57:43.938684,0 days 00:00:59.736436,hardswish,16,512,0.4,0.001,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
32,0.178030303030303,PRUNED,2025-11-05 14:57:43.939684,2025-11-05 14:58:14.483944,0 days 00:00:30.544260,hardswish,16,512,0.4,0.001,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
33,0.178030303030303,PRUNED,2025-11-05 14:58:14.484945,2025-11-05 14:58:41.135295,0 days 00:00:26.650350,hardswish,16,512,0.4,0.001,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
34,0.38955334869982644,COMPLETE,2025-11-05 14:58:41.136297,2025-11-05 15:00:11.024020,0 days 00:01:29.887723,hardswish,16,512,0.4,0.0001,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
35,0.178030303030303,PRUNED,2025-11-05 15:00:11.026518,2025-11-05 15:00:19.680913,0 days 00:00:08.654395,elu,64,512,0.30000000000000004,0.0001,256,,L2,prenorm,4,1,Adam,mean,sinusoidal,1e-06
36,0.1854945054945055,PRUNED,2025-11-05 15:00:19.680913,2025-11-05 15:00:25.517712,0 days 00:00:05.836799,silu,128,512,0.4,0.0001,128,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
37,0.178030303030303,PRUNED,2025-11-05 15:00:25.518713,2025-11-05 15:00:45.995477,0 days 00:00:20.476764,hardswish,96,768,0.4,0.0002,768,,L2,prenorm,16,1,Adam,mean,sinusoidal,1e-06
38,0.21759048895761182,COMPLETE,2025-11-05 15:00:45.996482,2025-11-05 15:02:13.897325,0 days 00:01:27.900843,gelu,16,512,0.30000000000000004,5e-05,384,,minmax,prenorm,2,3,Adam,cls,sinusoidal,1e-07
39,0.21759048895761182,COMPLETE,2025-11-05 15:02:13.898395,2025-11-05 15:03:16.548038,0 days 00:01:02.649643,hardswish,32,256,0.4,0.0001,384,,L2,prenorm,16,2,AdamW,mean,sinusoidal,0.0
40,0.178030303030303,PRUNED,2025-11-05 15:03:16.550174,2025-11-05 15:03:24.887493,0 days 00:00:08.337319,prelu,128,512,0.1,0.0002,256,,minmax,prenorm,4,1,RMSprop,mean,sinusoidal,1e-06
41,0.38658269359727343,COMPLETE,2025-11-05 15:03:24.888504,2025-11-05 15:04:51.121616,0 days 00:01:26.233112,hardswish,16,512,0.4,0.0005,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
42,0.178030303030303,PRUNED,2025-11-05 15:04:51.124119,2025-11-05 15:05:53.767214,0 days 00:01:02.643095,hardswish,16,512,0.4,0.0005,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
43,0.178030303030303,PRUNED,2025-11-05 15:05:53.769226,2025-11-05 15:06:27.709431,0 days 00:00:33.940205,mish,16,512,0.4,0.0005,384,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
44,0.4292911143699258,COMPLETE,2025-11-05 15:06:27.710431,2025-11-05 15:08:19.103087,0 days 00:01:51.392656,hardswish,16,256,0.4,0.0005,512,,L2,prenorm,2,2,Adam,mean,sinusoidal,1e-06
45,0.21759048895761182,COMPLETE,2025-11-05 15:08:19.105233,2025-11-05 15:09:07.149629,0 days 00:00:48.044396,gelu,32,256,0.30000000000000004,0.0005,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,1e-06
46,0.21875,PRUNED,2025-11-05 15:09:07.151671,2025-11-05 15:09:24.124421,0 days 00:00:16.972750,hardswish,16,256,0.4,1e-05,512,,L2,prenorm,2,1,Adam,mean,sinusoidal,1e-05
47,0.178030303030303,PRUNED,2025-11-05 15:09:24.125427,2025-11-05 15:10:21.281163,0 days 00:00:57.155736,relu,64,256,0.30000000000000004,0.0001,512,,minmax,prenorm,16,3,Adam,mean,sinusoidal,1e-06
48,0.21759048895761182,COMPLETE,2025-11-05 15:10:21.282163,2025-11-05 15:11:28.642029,0 days 00:01:07.359866,elu,16,256,0.4,0.0005,512,0.1,L2,postnorm,2,2,SGD,mean,sinusoidal,1e-07
49,0.178030303030303,PRUNED,2025-11-05 15:11:28.644031,2025-11-05 15:11:38.168070,0 days 00:00:09.524039,leakyrelu,96,768,0.4,5e-05,128,,L2,prenorm,4,2,AdamW,max,sinusoidal,1e-06
