number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
27,0.21759048895761182,COMPLETE,2025-11-05 02:26:27.121816,2025-11-05 02:26:38.380306,0 days 00:00:11.258490,silu,96,256,0.0,2e-05,512,,minmax,postnorm,16,1,Adam,max,learned,1e-05
28,0.21759048895761182,COMPLETE,2025-11-05 02:26:38.381306,2025-11-05 02:26:52.599850,0 days 00:00:14.218544,gelu,96,768,0.1,0.0002,512,0.0,L2,postnorm,2,2,SGD,mean,learned,1e-06
29,0.21759048895761182,COMPLETE,2025-11-05 02:26:52.600850,2025-11-05 02:28:04.393002,0 days 00:01:11.792152,elu,16,384,0.30000000000000004,0.001,256,0.9,minmax,postnorm,8,3,SGD,max,sinusoidal,1e-07
30,0.21759048895761182,COMPLETE,2025-11-05 02:28:04.394525,2025-11-05 02:28:57.715370,0 days 00:00:53.320845,hardswish,32,768,0.4,0.0001,384,,minmax,postnorm,4,4,AdamW,cls,learned,0.0
31,0.36428694291773905,COMPLETE,2025-11-05 02:28:57.717474,2025-11-05 02:29:17.202314,0 days 00:00:19.484840,gelu,96,384,0.1,5e-05,512,,minmax,postnorm,4,2,AdamW,max,learned,0.0
32,0.21761658031088082,PRUNED,2025-11-05 02:29:17.203818,2025-11-05 02:29:23.473911,0 days 00:00:06.270093,gelu,96,384,0.1,5e-05,512,,minmax,postnorm,4,2,AdamW,max,learned,0.0
33,0.33446788273967143,COMPLETE,2025-11-05 02:29:23.474414,2025-11-05 02:29:58.674998,0 days 00:00:35.200584,gelu,64,384,0.2,5e-05,512,,minmax,postnorm,4,2,AdamW,max,learned,0.0
34,0.3555847822482609,COMPLETE,2025-11-05 02:29:58.677421,2025-11-05 02:30:24.298371,0 days 00:00:25.620950,gelu,64,384,0.2,5e-05,512,,minmax,postnorm,4,2,AdamW,max,learned,0.0
35,0.22204510837659763,COMPLETE,2025-11-05 02:30:24.300372,2025-11-05 02:30:53.812110,0 days 00:00:29.511738,relu,64,384,0.2,5e-05,512,,minmax,postnorm,4,3,AdamW,max,sinusoidal,0.0
36,0.24762314780269637,COMPLETE,2025-11-05 02:30:53.813614,2025-11-05 02:31:16.918886,0 days 00:00:23.105272,gelu,64,384,0.2,5e-05,512,,minmax,prenorm,4,2,AdamW,max,learned,0.0
37,0.21759048895761182,COMPLETE,2025-11-05 02:31:16.920886,2025-11-05 02:31:41.055254,0 days 00:00:24.134368,elu,64,768,0.2,2e-05,768,,minmax,postnorm,4,2,Adam,cls,learned,0.0
38,0.247965247519675,COMPLETE,2025-11-05 02:31:41.057382,2025-11-05 02:32:09.974844,0 days 00:00:28.917462,mish,64,512,0.30000000000000004,5e-05,128,,minmax,prenorm,4,3,RMSprop,max,sinusoidal,0.0
39,0.21761658031088082,PRUNED,2025-11-05 02:32:09.976846,2025-11-05 02:32:24.413907,0 days 00:00:14.437061,gelu,64,384,0.0,5e-05,512,,minmax,postnorm,16,4,AdamW,mean,learned,1e-06
40,0.3182863155247189,COMPLETE,2025-11-05 02:32:24.414411,2025-11-05 02:32:49.329219,0 days 00:00:24.914808,leakyrelu,64,384,0.2,1e-05,512,,minmax,postnorm,4,2,RMSprop,max,learned,0.0
41,0.17702448210922786,PRUNED,2025-11-05 02:32:49.331220,2025-11-05 02:32:53.859025,0 days 00:00:04.527805,leakyrelu,64,384,0.2,1e-05,512,,minmax,postnorm,4,2,RMSprop,max,learned,0.0
42,0.33402353585865613,COMPLETE,2025-11-05 02:32:53.860029,2025-11-05 02:33:24.536109,0 days 00:00:30.676080,leakyrelu,64,384,0.2,1e-05,512,,minmax,postnorm,4,2,RMSprop,max,learned,0.0
43,0.0894854586129754,PRUNED,2025-11-05 02:33:24.538109,2025-11-05 02:33:40.189935,0 days 00:00:15.651826,leakyrelu,64,384,0.2,1e-05,512,,minmax,postnorm,4,2,RMSprop,max,learned,0.0
44,0.24820181200416805,COMPLETE,2025-11-05 02:33:40.190935,2025-11-05 02:34:37.901220,0 days 00:00:57.710285,hardswish,16,512,0.2,1e-05,512,,minmax,postnorm,4,2,RMSprop,cls,learned,0.0
45,0.08558558558558559,PRUNED,2025-11-05 02:34:37.902229,2025-11-05 02:34:46.310867,0 days 00:00:08.408638,prelu,64,384,0.30000000000000004,5e-05,768,0.4,minmax,prenorm,8,2,SGD,max,sinusoidal,1e-06
46,0.178030303030303,PRUNED,2025-11-05 02:34:46.311867,2025-11-05 02:35:05.529773,0 days 00:00:19.217906,relu,64,256,0.1,0.0001,512,,minmax,postnorm,16,3,RMSprop,max,learned,1e-05
47,0.10005668934240364,PRUNED,2025-11-05 02:35:05.529773,2025-11-05 02:35:12.852626,0 days 00:00:07.322853,silu,64,384,0.2,2e-05,384,,minmax,postnorm,4,2,AdamW,max,learned,0.0
48,0.0894854586129754,PRUNED,2025-11-05 02:35:12.854128,2025-11-05 02:35:38.662167,0 days 00:00:25.808039,leakyrelu,16,384,0.1,1e-05,512,,minmax,postnorm,8,1,AdamW,max,learned,1e-06
49,0.178030303030303,PRUNED,2025-11-05 02:35:38.663168,2025-11-05 02:35:46.498503,0 days 00:00:07.835335,gelu,128,512,0.2,5e-05,128,,minmax,prenorm,4,1,Adam,cls,sinusoidal,0.0
