number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.2772263858644764,COMPLETE,2025-11-05 11:42:36.086349,2025-11-05 11:43:52.125792,0 days 00:01:16.039443,gelu,16,512,0.2,1e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
1,0.2930452903851078,COMPLETE,2025-11-05 11:43:52.127981,2025-11-05 11:44:33.408150,0 days 00:00:41.280169,leakyrelu,96,768,0.2,0.0005,512,0.8,minmax,prenorm,4,4,SGD,max,sinusoidal,1e-06
2,0.3577082104452982,COMPLETE,2025-11-05 11:44:33.410179,2025-11-05 11:45:36.435385,0 days 00:01:03.025206,silu,32,512,0.0,2e-05,512,,L2,postnorm,4,3,Adam,max,sinusoidal,1e-06
3,0.178030303030303,PRUNED,2025-11-05 11:45:36.437385,2025-11-05 11:45:46.020130,0 days 00:00:09.582745,elu,32,384,0.4,5e-05,512,0.2,minmax,postnorm,8,1,SGD,mean,learned,0.0
4,0.27287507254301213,COMPLETE,2025-11-05 11:45:46.023676,2025-11-05 11:46:51.292301,0 days 00:01:05.268625,mish,32,512,0.0,0.0005,384,,minmax,prenorm,16,3,Adam,mean,sinusoidal,1e-05
5,0.178030303030303,PRUNED,2025-11-05 11:46:51.294301,2025-11-05 11:46:58.714394,0 days 00:00:07.420093,elu,128,768,0.1,2e-05,128,,L2,prenorm,4,1,RMSprop,max,sinusoidal,0.0
6,0.178030303030303,PRUNED,2025-11-05 11:46:58.715656,2025-11-05 11:47:24.333328,0 days 00:00:25.617672,prelu,64,512,0.2,5e-05,768,,L2,prenorm,8,4,Adam,cls,learned,1e-05
7,0.2512980322586202,COMPLETE,2025-11-05 11:47:24.334331,2025-11-05 11:49:15.416397,0 days 00:01:51.082066,elu,16,256,0.4,0.0001,128,,L2,postnorm,4,4,RMSprop,max,learned,1e-05
8,0.178030303030303,PRUNED,2025-11-05 11:49:15.418397,2025-11-05 11:49:34.816126,0 days 00:00:19.397729,leakyrelu,128,768,0.0,5e-05,256,,minmax,postnorm,2,4,RMSprop,mean,learned,1e-06
9,0.22672864347620114,COMPLETE,2025-11-05 11:49:34.817126,2025-11-05 11:50:12.600087,0 days 00:00:37.782961,hardswish,128,768,0.1,2e-05,384,,L2,prenorm,2,4,AdamW,cls,learned,1e-05
