number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 03:37:48.651276,2025-11-05 03:39:13.413198,0 days 00:01:24.761922,silu,64,768,0.0,5e-05,768,,minmax,prenorm,16,2,RMSprop,mean,sinusoidal,1e-06
1,0.21846195674459953,COMPLETE,2025-11-05 03:39:13.415693,2025-11-05 03:39:54.705069,0 days 00:00:41.289376,silu,64,384,0.1,1e-05,256,,minmax,postnorm,2,2,RMSprop,cls,learned,0.0
2,0.24094388474624082,COMPLETE,2025-11-05 03:39:54.707572,2025-11-05 03:40:46.900965,0 days 00:00:52.193393,mish,64,768,0.30000000000000004,5e-05,128,,L2,prenorm,2,4,AdamW,cls,learned,1e-05
3,0.27126744142764836,COMPLETE,2025-11-05 03:40:46.902965,2025-11-05 03:43:08.143369,0 days 00:02:21.240404,elu,16,256,0.2,0.0002,384,0.5,L2,postnorm,16,3,SGD,max,sinusoidal,1e-07
4,0.21759048895761182,COMPLETE,2025-11-05 03:43:08.145370,2025-11-05 03:45:10.662753,0 days 00:02:02.517383,leakyrelu,16,768,0.2,0.0005,384,,L2,prenorm,4,4,Adam,mean,learned,1e-06
5,0.21759048895761182,COMPLETE,2025-11-05 03:45:10.664753,2025-11-05 03:46:04.995331,0 days 00:00:54.330578,elu,16,512,0.4,2e-05,256,,L2,postnorm,8,1,AdamW,mean,learned,0.0
6,0.25193700825177506,COMPLETE,2025-11-05 03:46:04.997834,2025-11-05 03:46:45.450100,0 days 00:00:40.452266,mish,32,768,0.2,0.0002,256,0.4,minmax,prenorm,4,1,SGD,max,learned,1e-05
7,0.4387536939273224,COMPLETE,2025-11-05 03:46:45.452101,2025-11-05 03:49:50.422532,0 days 00:03:04.970431,leakyrelu,16,256,0.0,0.001,128,,L2,prenorm,8,4,AdamW,cls,learned,1e-07
8,0.21875,PRUNED,2025-11-05 03:49:50.424533,2025-11-05 03:50:15.041740,0 days 00:00:24.617207,relu,16,768,0.0,2e-05,256,,minmax,postnorm,2,2,Adam,mean,learned,1e-06
9,0.178030303030303,PRUNED,2025-11-05 03:50:15.042740,2025-11-05 03:50:35.013970,0 days 00:00:19.971230,relu,96,256,0.0,0.001,512,,minmax,postnorm,2,3,AdamW,max,learned,1e-06
10,0.17702448210922786,PRUNED,2025-11-05 03:50:35.014971,2025-11-05 03:50:47.665932,0 days 00:00:12.650961,gelu,128,256,0.1,0.001,128,,L2,prenorm,8,4,AdamW,cls,sinusoidal,1e-07
11,0.178030303030303,PRUNED,2025-11-05 03:50:47.666958,2025-11-05 03:51:29.532870,0 days 00:00:41.865912,hardswish,16,256,0.4,0.0002,384,0.9,L2,postnorm,16,3,SGD,max,sinusoidal,1e-07
12,0.178030303030303,PRUNED,2025-11-05 03:51:29.533875,2025-11-05 03:52:08.484362,0 days 00:00:38.950487,elu,16,256,0.1,0.0001,384,0.1,L2,postnorm,16,3,SGD,max,sinusoidal,1e-07
13,0.21640488656195464,PRUNED,2025-11-05 03:52:08.486362,2025-11-05 03:52:42.946116,0 days 00:00:34.459754,leakyrelu,128,256,0.30000000000000004,0.0002,128,0.7000000000000001,L2,prenorm,8,4,SGD,cls,sinusoidal,1e-07
14,0.21759048895761182,COMPLETE,2025-11-05 03:52:42.947122,2025-11-05 03:54:17.624924,0 days 00:01:34.677802,prelu,32,512,0.30000000000000004,0.001,512,,L2,prenorm,16,3,AdamW,max,sinusoidal,1e-07
15,0.21875,PRUNED,2025-11-05 03:54:17.625931,2025-11-05 03:54:53.530941,0 days 00:00:35.905010,elu,96,384,0.1,1e-05,768,0.4,L2,postnorm,8,4,SGD,cls,sinusoidal,1e-07
16,0.178030303030303,PRUNED,2025-11-05 03:54:53.531949,2025-11-05 03:55:26.470860,0 days 00:00:32.938911,leakyrelu,16,256,0.2,0.0001,384,,L2,postnorm,8,3,RMSprop,max,learned,1e-07
17,0.178030303030303,PRUNED,2025-11-05 03:55:26.471861,2025-11-05 03:56:13.211621,0 days 00:00:46.739760,prelu,16,256,0.0,0.0005,128,,L2,prenorm,16,4,Adam,cls,sinusoidal,1e-07
18,0.19144045852608302,PRUNED,2025-11-05 03:56:13.212622,2025-11-05 03:57:12.784163,0 days 00:00:59.571541,gelu,16,256,0.30000000000000004,0.0002,384,0.0,L2,postnorm,4,3,SGD,max,learned,1e-05
19,0.4380047977205154,COMPLETE,2025-11-05 03:57:12.785168,2025-11-05 03:57:54.126318,0 days 00:00:41.341150,hardswish,96,512,0.1,0.001,128,,L2,prenorm,8,2,AdamW,cls,sinusoidal,0.0
20,0.4212878746038029,COMPLETE,2025-11-05 03:57:54.128821,2025-11-05 03:58:38.199715,0 days 00:00:44.070894,hardswish,96,512,0.1,0.001,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
21,0.21640488656195464,PRUNED,2025-11-05 03:58:38.201734,2025-11-05 03:59:00.450280,0 days 00:00:22.248546,hardswish,96,512,0.1,0.001,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
22,0.178030303030303,PRUNED,2025-11-05 03:59:00.451281,2025-11-05 03:59:09.021790,0 days 00:00:08.570509,hardswish,96,512,0.0,0.001,128,,L2,prenorm,8,1,AdamW,cls,learned,0.0
23,0.4157268616429765,COMPLETE,2025-11-05 03:59:09.022790,2025-11-05 03:59:43.826743,0 days 00:00:34.803953,hardswish,96,512,0.1,0.001,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
24,0.178030303030303,PRUNED,2025-11-05 03:59:43.829245,2025-11-05 03:59:55.033262,0 days 00:00:11.204017,hardswish,96,512,0.0,0.001,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
25,0.178030303030303,PRUNED,2025-11-05 03:59:55.034262,2025-11-05 04:00:14.642988,0 days 00:00:19.608726,leakyrelu,96,512,0.1,0.001,128,,L2,prenorm,8,1,AdamW,cls,learned,0.0
26,0.21759048895761182,COMPLETE,2025-11-05 04:00:14.643988,2025-11-05 04:00:44.210971,0 days 00:00:29.566983,hardswish,96,512,0.1,0.001,128,,minmax,prenorm,8,2,AdamW,cls,sinusoidal,0.0
27,0.178030303030303,PRUNED,2025-11-05 04:00:44.212972,2025-11-05 04:01:06.724732,0 days 00:00:22.511760,hardswish,32,384,0.0,0.001,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
28,0.21759048895761182,COMPLETE,2025-11-05 04:01:06.725751,2025-11-05 04:01:43.935301,0 days 00:00:37.209550,leakyrelu,128,512,0.1,0.001,768,,L2,prenorm,8,1,AdamW,cls,sinusoidal,0.0
29,0.178030303030303,PRUNED,2025-11-05 04:01:43.937302,2025-11-05 04:02:01.177631,0 days 00:00:17.240329,silu,64,512,0.0,5e-05,512,,minmax,prenorm,8,2,RMSprop,mean,sinusoidal,1e-05
30,0.08558558558558559,PRUNED,2025-11-05 04:02:01.179135,2025-11-05 04:02:19.917109,0 days 00:00:18.737974,hardswish,96,384,0.0,2e-05,768,,L2,prenorm,4,2,AdamW,cls,learned,1e-06
31,0.39351851851851855,PRUNED,2025-11-05 04:02:19.919623,2025-11-05 04:02:50.921309,0 days 00:00:31.001686,hardswish,96,512,0.1,0.001,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
32,0.40728291316526616,PRUNED,2025-11-05 04:02:50.922310,2025-11-05 04:03:18.546288,0 days 00:00:27.623978,hardswish,96,512,0.2,0.001,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
33,0.0894854586129754,PRUNED,2025-11-05 04:03:18.547288,2025-11-05 04:03:39.086003,0 days 00:00:20.538715,silu,96,512,0.1,1e-05,128,,L2,prenorm,8,2,AdamW,cls,learned,0.0
