number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
26,0.318941762859663,COMPLETE,2025-11-24 21:18:53.632133,2025-11-24 21:20:48.204803,0 days 00:01:54.572670,"[384, 512, 640]",silu,48,512,0.1,1e-05,,minmax,postnorm,8,3,AdamW,max,learned,1e-05
27,0.1761006289308176,PRUNED,2025-11-24 21:20:48.207723,2025-11-24 21:21:16.971519,0 days 00:00:28.763796,"[128, 192, 256]",silu,48,512,0.1,0.001,,minmax,postnorm,2,3,AdamW,max,learned,1e-05
28,0.1761006289308176,PRUNED,2025-11-24 21:21:16.971519,2025-11-24 21:21:40.405288,0 days 00:00:23.433769,"[384, 256, 192, 128]",gelu,48,512,0.1,0.0002,,minmax,postnorm,16,4,AdamW,cls,learned,1e-05
29,0.21758419036095988,COMPLETE,2025-11-24 21:21:40.405288,2025-11-24 21:23:23.027804,0 days 00:01:42.622516,"[768, 768, 768]",prelu,96,768,0.2,0.0001,,minmax,postnorm,16,3,RMSprop,max,learned,0.0
30,0.1761006289308176,PRUNED,2025-11-24 21:23:23.030930,2025-11-24 21:23:55.187174,0 days 00:00:32.156244,"[96, 128, 192]",relu,48,384,0.0,0.0005,,minmax,postnorm,8,3,RMSprop,max,learned,1e-05
31,0.08888888888888889,PRUNED,2025-11-24 21:23:55.188178,2025-11-24 21:24:07.307459,0 days 00:00:12.119281,"[512, 640]",silu,128,512,0.1,1e-05,,L2,postnorm,8,2,AdamW,max,learned,1e-05
32,0.3337472656390389,COMPLETE,2025-11-24 21:24:07.308707,2025-11-24 21:25:05.392206,0 days 00:00:58.083499,"[384, 512]",mish,96,512,0.1,5e-05,,minmax,postnorm,8,2,AdamW,max,learned,1e-05
33,0.1761006289308176,PRUNED,2025-11-24 21:25:05.399961,2025-11-24 21:25:16.831295,0 days 00:00:11.431334,"[256, 384]",mish,96,512,0.1,5e-05,,minmax,postnorm,8,2,AdamW,max,learned,0.0
34,0.1761006289308176,PRUNED,2025-11-24 21:25:16.837876,2025-11-24 21:25:40.410869,0 days 00:00:23.572993,"[192, 256, 384]",mish,96,768,0.3,5e-05,,minmax,postnorm,2,3,AdamW,max,learned,1e-05
35,0.21758419036095988,COMPLETE,2025-11-24 21:25:40.410869,2025-11-24 21:26:31.591147,0 days 00:00:51.180278,"[384, 512]",mish,96,512,0.4,5e-05,,minmax,postnorm,8,2,AdamW,mean,learned,1e-05
36,0.19845395175263228,PRUNED,2025-11-24 21:26:31.591147,2025-11-24 21:27:10.592802,0 days 00:00:39.001655,"[384, 512]",mish,96,512,0.0,5e-05,,minmax,postnorm,8,2,AdamW,max,learned,1e-06
37,0.1761006289308176,PRUNED,2025-11-24 21:27:10.593805,2025-11-24 21:27:34.656641,0 days 00:00:24.062836,"[192, 256]",hardswish,48,512,0.2,2e-05,,minmax,postnorm,4,2,RMSprop,cls,learned,1e-05
38,0.18238993710691823,PRUNED,2025-11-24 21:27:34.658648,2025-11-24 21:27:54.469231,0 days 00:00:19.810583,[384],gelu,64,384,0.1,5e-05,0.9,minmax,postnorm,2,1,SGD,mean,learned,0.0
39,0.21758419036095988,COMPLETE,2025-11-24 21:27:54.471241,2025-11-24 21:29:08.038579,0 days 00:01:13.567338,"[256, 384, 512]",prelu,48,256,0.3,0.0001,,minmax,postnorm,4,3,AdamW,max,learned,1e-05
40,0.08333333333333333,PRUNED,2025-11-24 21:29:08.040579,2025-11-24 21:29:59.158699,0 days 00:00:51.118120,"[640, 512, 384, 256]",elu,96,512,0.1,2e-05,0.0,minmax,postnorm,8,4,SGD,max,learned,1e-06
41,0.31859021296709017,COMPLETE,2025-11-24 21:29:59.159702,2025-11-24 21:33:16.326638,0 days 00:03:17.166936,"[512, 640]",silu,16,512,0.1,1e-05,,L2,postnorm,8,2,AdamW,max,learned,1e-05
42,0.2801974495616716,COMPLETE,2025-11-24 21:33:16.329651,2025-11-24 21:35:42.403451,0 days 00:02:26.073800,"[384, 512]",silu,16,512,0.1,1e-05,,L2,postnorm,8,2,AdamW,max,learned,1e-05
43,0.1761006289308176,PRUNED,2025-11-24 21:35:42.405945,2025-11-24 21:35:56.726923,0 days 00:00:14.320978,"[512, 640]",leakyrelu,128,512,0.1,1e-05,,L2,postnorm,8,2,AdamW,max,learned,1e-05
44,0.21758419036095988,COMPLETE,2025-11-24 21:35:56.727928,2025-11-24 21:37:35.271940,0 days 00:01:38.544012,[768],silu,16,512,0.1,0.001,,L2,postnorm,8,1,AdamW,mean,learned,1e-05
45,0.33741981144985395,COMPLETE,2025-11-24 21:37:35.274942,2025-11-24 21:40:12.551875,0 days 00:02:37.276933,"[256, 384, 512]",mish,32,256,0.0,1e-05,,L2,prenorm,8,3,RMSprop,max,learned,1e-05
46,0.08888888888888889,PRUNED,2025-11-24 21:40:12.554943,2025-11-24 21:40:34.497316,0 days 00:00:21.942373,"[256, 384, 512]",mish,32,256,0.0,0.0005,,minmax,prenorm,4,3,AdamW,max,sinusoidal,1e-05
47,0.1761006289308176,PRUNED,2025-11-24 21:40:34.498315,2025-11-24 21:41:00.342431,0 days 00:00:25.844116,"[256, 192, 128]",mish,32,256,0.0,1e-05,,L2,prenorm,8,3,RMSprop,max,learned,1e-07
48,0.21758419036095988,COMPLETE,2025-11-24 21:41:00.343431,2025-11-24 21:43:08.449223,0 days 00:02:08.105792,"[384, 512, 640]",mish,32,256,0.0,0.0001,0.0,L2,prenorm,16,3,SGD,cls,learned,1e-05
49,0.18238993710691823,PRUNED,2025-11-24 21:43:08.451235,2025-11-24 21:44:25.068766,0 days 00:01:16.617531,"[64, 64, 64, 64]",mish,32,256,0.0,1e-05,,minmax,prenorm,8,4,RMSprop,max,learned,1e-05
