number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.21506805543959545,COMPLETE,2025-11-24 15:40:25.143337,2025-11-24 15:42:49.937982,0 days 00:02:24.794645,"[384, 512, 640, 768]",leakyrelu,64,768,0.3,0.0001,,L2,postnorm,8,4,Adam,max,learned,0.0
1,0.41381653561268045,COMPLETE,2025-11-24 15:42:49.941000,2025-11-24 15:43:41.214850,0 days 00:00:51.273850,[256],relu,64,128,0.0,0.0005,,L2,postnorm,4,1,AdamW,mean,sinusoidal,1e-07
2,0.1761006289308176,PRUNED,2025-11-24 15:43:41.217854,2025-11-24 15:44:15.256771,0 days 00:00:34.038917,"[640, 512]",hardswish,48,768,0.1,0.0002,,L2,prenorm,4,2,Adam,cls,learned,0.0
3,0.4279448082944383,COMPLETE,2025-11-24 15:44:15.257771,2025-11-24 15:48:31.944024,0 days 00:04:16.686253,"[384, 384]",leakyrelu,16,768,0.3,0.0005,,L2,prenorm,4,2,AdamW,mean,learned,1e-06
4,0.1761006289308176,PRUNED,2025-11-24 15:48:31.946094,2025-11-24 15:48:52.258262,0 days 00:00:20.312168,"[256, 384, 512]",leakyrelu,64,128,0.1,0.001,,minmax,prenorm,16,3,AdamW,max,learned,1e-05
5,0.21758419036095988,COMPLETE,2025-11-24 15:48:52.259271,2025-11-24 15:49:41.327099,0 days 00:00:49.067828,"[128, 96, 64]",prelu,96,128,0.1,0.0002,0.0,L2,postnorm,2,3,SGD,mean,sinusoidal,1e-07
6,0.21839080459770113,PRUNED,2025-11-24 15:49:41.329624,2025-11-24 15:50:16.482435,0 days 00:00:35.152811,"[128, 192]",elu,32,256,0.0,2e-05,,minmax,postnorm,16,2,RMSprop,mean,learned,0.0
7,0.21758419036095988,COMPLETE,2025-11-24 15:50:16.483439,2025-11-24 15:51:29.562127,0 days 00:01:13.078688,"[384, 256, 192]",leakyrelu,64,128,0.2,2e-05,,minmax,postnorm,8,3,AdamW,mean,sinusoidal,0.0
8,0.21839080459770113,PRUNED,2025-11-24 15:51:29.565559,2025-11-24 15:51:40.961030,0 days 00:00:11.395471,"[256, 384]",prelu,96,128,0.1,2e-05,,L2,postnorm,8,2,RMSprop,mean,sinusoidal,0.0
9,0.3426793389853557,COMPLETE,2025-11-24 15:51:40.962040,2025-11-24 15:53:01.137248,0 days 00:01:20.175208,[96],elu,32,384,0.3,0.0002,,L2,postnorm,2,1,Adam,max,learned,1e-07
10,0.23505081058620075,COMPLETE,2025-11-24 15:53:01.140264,2025-11-24 15:57:12.800241,0 days 00:04:11.659977,"[640, 640, 640, 640]",silu,16,512,0.4,0.0005,0.7,minmax,prenorm,4,4,SGD,cls,learned,1e-06
