number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
25,0.21238938053097345,PRUNED,2025-11-24 14:06:28.669678,2025-11-24 14:07:28.527431,0 days 00:00:59.857753,"[384, 512]",relu,16,256,0.4,0.0002,,L2,prenorm,8,2,RMSprop,cls,sinusoidal,1e-05
26,0.08888888888888889,PRUNED,2025-11-24 14:07:28.528436,2025-11-24 14:07:48.531106,0 days 00:00:20.002670,"[512, 512, 512, 512]",relu,128,256,0.0,2e-05,,L2,postnorm,8,4,AdamW,max,learned,1e-06
27,0.08888888888888889,PRUNED,2025-11-24 14:07:48.532106,2025-11-24 14:08:01.399631,0 days 00:00:12.867525,[128],relu,64,256,0.0,1e-05,0.7,L2,prenorm,4,1,SGD,max,sinusoidal,0.0
28,0.20420420420420418,PRUNED,2025-11-24 14:08:01.400631,2025-11-24 14:08:18.789372,0 days 00:00:17.388741,"[64, 96, 128]",relu,48,256,0.0,5e-05,,L2,postnorm,2,3,Adam,max,sinusoidal,1e-07
29,0.21637426900584797,PRUNED,2025-11-24 14:08:18.790378,2025-11-24 14:08:55.493169,0 days 00:00:36.702791,[512],hardswish,128,384,0.3,0.0005,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
30,0.21758419036095988,COMPLETE,2025-11-24 14:08:55.495226,2025-11-24 14:11:32.145840,0 days 00:02:36.650614,"[768, 640, 512, 384]",prelu,32,128,0.1,0.001,,L2,prenorm,8,4,RMSprop,cls,sinusoidal,1e-05
31,0.1761006289308176,PRUNED,2025-11-24 14:11:32.148867,2025-11-24 14:11:57.381754,0 days 00:00:25.232887,"[768, 768]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
32,0.1761006289308176,PRUNED,2025-11-24 14:11:57.382781,2025-11-24 14:12:21.574923,0 days 00:00:24.192142,"[768, 768]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
33,0.18238993710691823,PRUNED,2025-11-24 14:12:21.575932,2025-11-24 14:13:13.892965,0 days 00:00:52.317033,"[512, 512]",silu,48,512,0.2,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
34,0.1761006289308176,PRUNED,2025-11-24 14:13:13.893966,2025-11-24 14:13:22.602768,0 days 00:00:08.708802,"[640, 640]",mish,48,256,0.0,0.0001,,minmax,postnorm,4,2,RMSprop,max,learned,1e-05
35,0.21758419036095988,COMPLETE,2025-11-24 14:13:22.603769,2025-11-24 14:14:06.796400,0 days 00:00:44.192631,[128],relu,48,384,0.2,0.0001,0.9,L2,postnorm,16,1,SGD,max,learned,1e-05
36,0.21839080459770113,PRUNED,2025-11-24 14:14:06.798444,2025-11-24 14:14:19.308760,0 days 00:00:12.510316,"[192, 128]",gelu,48,256,0.3,1e-05,,L2,postnorm,4,2,AdamW,max,sinusoidal,0.0
37,0.18238993710691823,PRUNED,2025-11-24 14:14:19.309772,2025-11-24 14:16:16.416184,0 days 00:01:57.106412,"[384, 384]",hardswish,16,128,0.0,0.0002,,minmax,postnorm,16,2,Adam,mean,sinusoidal,1e-05
38,0.21758419036095988,COMPLETE,2025-11-24 14:16:16.417203,2025-11-24 14:17:02.029263,0 days 00:00:45.612060,"[96, 128]",elu,64,768,0.4,0.0001,,L2,postnorm,4,2,RMSprop,cls,learned,1e-07
39,0.1761006289308176,PRUNED,2025-11-24 14:17:02.031804,2025-11-24 14:17:24.056164,0 days 00:00:22.024360,"[256, 192, 128]",leakyrelu,32,512,0.2,5e-05,,minmax,postnorm,8,3,RMSprop,mean,sinusoidal,1e-05
40,0.18238993710691823,PRUNED,2025-11-24 14:17:24.057167,2025-11-24 14:17:52.986471,0 days 00:00:28.929304,"[192, 192]",relu,96,256,0.0,0.0005,,L2,prenorm,2,2,AdamW,max,sinusoidal,0.0
41,0.43566104499636726,COMPLETE,2025-11-24 14:17:52.988499,2025-11-24 14:21:32.149205,0 days 00:03:39.160706,"[64, 96, 128, 192]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
42,0.1761006289308176,PRUNED,2025-11-24 14:21:32.152737,2025-11-24 14:22:13.248960,0 days 00:00:41.096223,"[64, 96, 128, 192]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
43,0.1761006289308176,PRUNED,2025-11-24 14:22:13.251481,2025-11-24 14:22:28.491640,0 days 00:00:15.240159,"[96, 128, 192, 256]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
44,0.21839080459770113,PRUNED,2025-11-24 14:22:28.492646,2025-11-24 14:23:21.091429,0 days 00:00:52.598783,"[64, 96, 128, 192]",gelu,32,256,0.0,2e-05,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
45,0.1761006289308176,PRUNED,2025-11-24 14:23:21.092452,2025-11-24 14:24:18.888867,0 days 00:00:57.796415,"[96, 128, 192, 256]",relu,32,384,0.0,0.0002,,L2,prenorm,16,4,RMSprop,mean,sinusoidal,1e-07
46,0.21758419036095988,COMPLETE,2025-11-24 14:24:18.888867,2025-11-24 14:25:52.965468,0 days 00:01:34.076601,"[64, 96, 128, 192]",prelu,48,128,0.0,0.0002,0.8,L2,prenorm,8,4,SGD,max,sinusoidal,1e-07
47,0.1761006289308176,PRUNED,2025-11-24 14:25:52.968469,2025-11-24 14:26:16.544208,0 days 00:00:23.575739,"[512, 384, 256]",silu,32,256,0.1,1e-05,,minmax,prenorm,8,3,RMSprop,max,sinusoidal,1e-06
48,0.1761006289308176,PRUNED,2025-11-24 14:26:16.545216,2025-11-24 14:26:34.112171,0 days 00:00:17.566955,"[96, 128, 192, 256]",leakyrelu,64,256,0.4,0.001,,L2,prenorm,8,4,Adam,max,learned,1e-07
49,0.4715446984704877,COMPLETE,2025-11-24 14:26:34.113177,2025-11-24 14:27:55.448362,0 days 00:01:21.335185,[128],mish,32,768,0.0,0.0002,,L2,prenorm,2,1,RMSprop,cls,sinusoidal,1e-05
