number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
24,0.21758419036095988,COMPLETE,2025-11-26 06:39:58.535816,2025-11-26 06:44:48.896962,0 days 00:04:50.361146,,32,True,0.1,,0.001,,L2,True,3,RMSprop,last,1e-07,"[512, 640, 768]","[1, 2, 3]",[3],False
25,0.22275132275132278,PRUNED,2025-11-26 06:44:48.899996,2025-11-26 06:45:07.517432,0 days 00:00:18.617436,,96,False,0.1,,5e-05,,L2,True,4,RMSprop,last,1e-07,"[192, 256, 384, 448]","[1, 3]","[2, 3]",False
26,0.21839080459770113,PRUNED,2025-11-26 06:45:07.519433,2025-11-26 06:46:25.558491,0 days 00:01:18.039058,,16,True,0.0,,1e-05,,minmax,False,2,Adam,max,1e-07,"[768, 768]","[2, 3]","[1, 2, 3]",True
27,0.1761006289308176,PRUNED,2025-11-26 06:46:25.559494,2025-11-26 06:46:52.458511,0 days 00:00:26.899017,,48,False,0.2,,0.001,,L2,True,3,AdamW,mean,1e-07,"[512, 640, 768]","[2, 3]",[3],False
28,0.24427639981178997,COMPLETE,2025-11-26 06:46:52.459511,2025-11-26 06:48:02.703722,0 days 00:01:10.244211,tanh,64,True,0.0,512.0,0.0001,0.7000000000000001,L2,False,1,SGD,attention,1e-07,[640],[],[],True
29,0.40350179451299517,COMPLETE,2025-11-26 06:48:02.706724,2025-11-26 06:50:17.976728,0 days 00:02:15.270004,leakyrelu,128,True,0.3,1024.0,0.001,,minmax,False,2,AdamW,max,1e-07,"[512, 512]","[1, 2, 3]","[2, 3]",True
30,0.1761006289308176,PRUNED,2025-11-26 06:50:17.979728,2025-11-26 06:50:28.843269,0 days 00:00:10.863541,leakyrelu,128,True,0.0,1024.0,0.001,,minmax,True,1,AdamW,max,1e-05,[64],[],[],True
31,0.17777777777777778,PRUNED,2025-11-26 06:50:28.844269,2025-11-26 06:51:45.600045,0 days 00:01:16.755776,leakyrelu,128,True,0.3,1024.0,0.001,,minmax,False,2,AdamW,max,1e-07,"[512, 512]","[1, 2, 3]","[2, 3]",True
32,0.08239700374531835,PRUNED,2025-11-26 06:51:45.601549,2025-11-26 06:52:12.730304,0 days 00:00:27.128755,leakyrelu,128,True,0.0,1024.0,0.001,,minmax,False,1,AdamW,max,1e-07,[768],[],[],True
33,0.21839080459770113,PRUNED,2025-11-26 06:52:12.731305,2025-11-26 06:52:36.275879,0 days 00:00:23.544574,relu,128,True,0.3,1024.0,0.001,,minmax,False,3,AdamW,max,1e-07,"[512, 512, 512]","[1, 2, 3]",[3],True
34,0.1761006289308176,PRUNED,2025-11-26 06:52:36.276887,2025-11-26 06:53:02.187208,0 days 00:00:25.910321,silu,128,True,0.3,128.0,0.0002,,minmax,False,2,RMSprop,last,1e-07,"[384, 384]","[1, 2, 3]","[2, 3]",True
35,0.08239700374531835,PRUNED,2025-11-26 06:53:02.188208,2025-11-26 06:53:40.374309,0 days 00:00:38.186101,gelu,64,True,0.0,768.0,0.001,,minmax,False,1,RMSprop,max,1e-06,[896],[],[],True
36,0.21839080459770113,PRUNED,2025-11-26 06:53:40.375315,2025-11-26 06:54:47.800401,0 days 00:01:07.425086,leakyrelu,16,True,0.4,1024.0,1e-05,,L2,False,2,Adam,last,1e-07,"[512, 640]","[1, 2, 3]","[2, 3]",False
