number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
24,0.4127678942335192,COMPLETE,2025-11-26 13:50:04.427281,2025-11-26 13:52:23.439062,0 days 00:02:19.011781,gelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
25,0.4409542323670287,COMPLETE,2025-11-26 13:52:23.443088,2025-11-26 13:55:20.819246,0 days 00:02:57.376158,leakyrelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
26,0.21839080459770113,PRUNED,2025-11-26 13:55:20.822298,2025-11-26 13:55:38.220119,0 days 00:00:17.397821,leakyrelu,48,False,0.2,512.0,5e-05,,minmax,True,4,AdamW,max,1e-06,"[448, 384, 256, 192]",[2],"[1, 3]",False
27,0.26773049645390073,PRUNED,2025-11-26 13:55:38.221139,2025-11-26 13:56:00.674078,0 days 00:00:22.452939,leakyrelu,96,True,0.3,512.0,5e-05,,L2,True,3,AdamW,mean,1e-07,"[256, 192, 128]","[2, 3]","[1, 3]",False
28,0.1761006289308176,PRUNED,2025-11-26 13:56:00.675582,2025-11-26 13:56:24.403325,0 days 00:00:23.727743,tanh,96,True,0.0,768.0,5e-05,0.0,L2,True,3,SGD,attention,1e-06,"[448, 384, 256]",[3],"[2, 3]",False
29,0.21758419036095988,COMPLETE,2025-11-26 13:56:24.404827,2025-11-26 13:57:26.082942,0 days 00:01:01.678115,leakyrelu,96,True,0.0,1024.0,1e-05,,minmax,True,2,AdamW,max,1e-06,"[128, 128]","[2, 3]","[1, 2, 3]",True
30,0.1761006289308176,PRUNED,2025-11-26 13:57:26.085454,2025-11-26 13:59:05.457289,0 days 00:01:39.371835,leakyrelu,48,True,0.4,128.0,2e-05,,L2,True,4,AdamW,last,1e-06,"[1024, 896, 768, 640]",[2],"[1, 3]",False
31,0.21839080459770113,PRUNED,2025-11-26 13:59:05.458360,2025-11-26 13:59:51.530281,0 days 00:00:46.071921,gelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
32,0.44473878178438647,COMPLETE,2025-11-26 13:59:51.531311,2025-11-26 14:02:22.163982,0 days 00:02:30.632671,relu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[384, 256, 192]","[2, 3]","[1, 3]",False
33,0.4343766404768772,COMPLETE,2025-11-26 14:02:22.167540,2025-11-26 14:04:30.376690,0 days 00:02:08.209150,,128,True,0.4,,0.0002,,L2,True,3,AdamW,last,1e-06,"[384, 256, 192]","[2, 3]","[1, 3]",False
34,0.4079311384585417,COMPLETE,2025-11-26 14:04:30.379764,2025-11-26 14:10:32.425906,0 days 00:06:02.046142,relu,16,True,0.0,512.0,5e-05,,L2,True,2,AdamW,last,1e-07,"[192, 128]","[2, 3]","[1, 2, 3]",False
35,0.31438915551065083,PRUNED,2025-11-26 14:10:32.429024,2025-11-26 14:11:32.190763,0 days 00:00:59.761739,relu,96,True,0.4,1024.0,0.0001,,L2,True,3,AdamW,last,1e-06,"[384, 384, 384]","[2, 3]","[1, 3]",True
36,0.428568082490977,COMPLETE,2025-11-26 14:11:32.191772,2025-11-26 14:20:20.218515,0 days 00:08:48.026743,relu,32,True,0.4,512.0,0.0002,,L2,True,4,Adam,max,1e-06,"[384, 256, 192, 128]","[1, 2, 3]",[1],False
37,0.21839080459770113,PRUNED,2025-11-26 14:20:20.221515,2025-11-26 14:20:33.839999,0 days 00:00:13.618484,relu,128,False,0.2,512.0,5e-05,0.7000000000000001,minmax,False,3,SGD,attention,0.0,"[448, 384, 256]","[2, 3]","[1, 3]",False
38,0.1761006289308176,PRUNED,2025-11-26 14:20:33.840999,2025-11-26 14:20:55.377892,0 days 00:00:21.536893,,96,True,0.4,,5e-05,,L2,False,3,AdamW,last,1e-06,"[384, 384, 384]","[1, 3]","[2, 3]",True
39,0.42815545148444345,COMPLETE,2025-11-26 14:20:55.378905,2025-11-26 14:24:16.141554,0 days 00:03:20.762649,tanh,96,True,0.0,128.0,1e-05,,L2,True,2,Adam,last,1e-07,"[640, 512]","[2, 3]","[1, 2, 3]",False
40,0.0898876404494382,PRUNED,2025-11-26 14:24:16.144978,2025-11-26 14:27:55.925597,0 days 00:03:39.780619,silu,16,False,0.3,512.0,2e-05,,minmax,False,4,AdamW,mean,1e-06,"[384, 256, 192, 128]","[1, 2]",[],False
41,0.4454485683596444,COMPLETE,2025-11-26 14:27:55.926611,2025-11-26 14:30:32.325430,0 days 00:02:36.398819,gelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
42,0.43135378999640006,COMPLETE,2025-11-26 14:30:32.329405,2025-11-26 14:32:50.009729,0 days 00:02:17.680324,gelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
43,0.41250199780869323,COMPLETE,2025-11-26 14:32:50.013233,2025-11-26 14:35:22.164857,0 days 00:02:32.151624,leakyrelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
44,0.21758419036095988,COMPLETE,2025-11-26 14:35:22.167882,2025-11-26 14:37:16.776804,0 days 00:01:54.608922,gelu,96,True,0.1,512.0,5e-05,0.5,L2,True,3,SGD,last,1e-06,"[384, 256, 192]","[2, 3]","[1, 3]",False
45,0.400050261266906,COMPLETE,2025-11-26 14:37:16.779805,2025-11-26 14:41:16.385491,0 days 00:03:59.605686,relu,32,True,0.5,768.0,0.0002,,L2,True,2,AdamW,attention,0.0,"[128, 64]","[1, 2, 3]","[2, 3]",False
46,0.21758419036095988,COMPLETE,2025-11-26 14:41:16.388491,2025-11-26 14:42:20.170999,0 days 00:01:03.782508,gelu,128,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[64, 64, 64]","[2, 3]","[1, 3]",True
47,0.470661476499248,COMPLETE,2025-11-26 14:42:20.174102,2025-11-26 14:45:29.394721,0 days 00:03:09.220619,,96,True,0.5,,0.0001,,L2,False,3,Adam,max,1e-06,"[128, 192, 256]","[2, 3]","[1, 3]",False
48,0.4814329206350251,COMPLETE,2025-11-26 14:45:29.398723,2025-11-26 14:47:48.395899,0 days 00:02:18.997176,,48,False,0.0,,0.0001,,L2,False,2,Adam,max,1e-07,"[128, 192]","[2, 3]","[1, 2, 3]",False
49,0.21839080459770113,PRUNED,2025-11-26 14:47:48.398900,2025-11-26 14:48:21.134419,0 days 00:00:32.735519,,48,False,0.5,,0.0001,,minmax,False,2,Adam,max,1e-07,"[128, 192]","[1, 2, 3]","[2, 3]",False
