number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
24,0.1761006289308176,PRUNED,2025-11-26 17:09:33.153147,2025-11-26 17:09:53.895638,0 days 00:00:20.742491,,128,False,0.3,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[512, 512, 512]","[2, 3]",[3],True
25,0.17777777777777778,PRUNED,2025-11-26 17:09:53.897649,2025-11-26 17:12:38.593037,0 days 00:02:44.695388,,32,False,0.2,,5e-05,,L2,True,4,RMSprop,mean,1e-07,"[384, 384, 384, 384]",[2],[3],True
26,0.08888888888888889,PRUNED,2025-11-26 17:12:38.595077,2025-11-26 17:12:51.738296,0 days 00:00:13.143219,gelu,96,False,0.0,1024.0,1e-05,0.7000000000000001,minmax,True,2,SGD,last,1e-07,"[256, 256]","[2, 3]","[1, 2, 3]",True
27,0.3185365252350266,COMPLETE,2025-11-26 17:12:51.739296,2025-11-26 17:16:26.871846,0 days 00:03:35.132550,elu,48,False,0.0,128.0,2e-05,,L2,True,3,AdamW,max,1e-07,"[512, 512, 512]",[3],"[2, 3]",True
28,0.21758419036095988,COMPLETE,2025-11-26 17:16:26.874849,2025-11-26 17:23:57.641773,0 days 00:07:30.766924,tanh,16,False,0.2,768.0,0.001,,L2,True,4,Adam,attention,1e-06,"[64, 128, 192, 256]","[2, 3]",[],False
29,0.17777777777777778,PRUNED,2025-11-26 17:23:57.644805,2025-11-26 17:25:30.041243,0 days 00:01:32.396438,leakyrelu,128,True,0.0,512.0,0.001,,minmax,True,2,AdamW,max,1e-05,"[192, 128]","[2, 3]","[2, 3]",False
30,0.17777777777777778,PRUNED,2025-11-26 17:25:30.042255,2025-11-26 17:26:17.505617,0 days 00:00:47.463362,silu,128,False,0.1,1024.0,0.0002,,L2,True,3,RMSprop,mean,1e-07,"[384, 384, 384]","[1, 2, 3]","[1, 3]",True
31,0.4492973139121326,COMPLETE,2025-11-26 17:26:17.507627,2025-11-26 17:29:37.221483,0 days 00:03:19.713856,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
32,0.45544161957092577,COMPLETE,2025-11-26 17:29:37.224788,2025-11-26 17:33:07.167628,0 days 00:03:29.942840,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[512, 512, 512]","[2, 3]",[3],True
33,0.34524822695035456,PRUNED,2025-11-26 17:33:07.171349,2025-11-26 17:34:02.834191,0 days 00:00:55.662842,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[512, 512, 512]","[2, 3]",[3],True
34,0.41072930390453843,COMPLETE,2025-11-26 17:34:02.835192,2025-11-26 17:37:51.960039,0 days 00:03:49.124847,,128,True,0.2,,0.0002,,L2,True,4,RMSprop,attention,1e-07,"[192, 192, 192, 192]",[2],[3],True
35,0.24141193030687993,COMPLETE,2025-11-26 17:37:51.963562,2025-11-26 17:40:11.330040,0 days 00:02:19.366478,,128,False,0.1,,0.001,,L2,True,3,RMSprop,attention,0.0,"[640, 640, 640]","[2, 3]","[2, 3]",True
36,0.08888888888888889,PRUNED,2025-11-26 17:40:11.332607,2025-11-26 17:41:27.030235,0 days 00:01:15.697628,,64,True,0.5,,0.0002,,L2,True,2,RMSprop,last,1e-07,"[512, 640]","[1, 2, 3]","[2, 3]",False
37,0.1806853582554517,PRUNED,2025-11-26 17:41:27.030235,2025-11-26 17:43:22.389722,0 days 00:01:55.359487,relu,16,False,0.3,128.0,1e-05,,minmax,False,3,Adam,max,0.0,"[384, 384, 384]","[2, 3]",[3],True
38,0.19386576771351924,COMPLETE,2025-11-26 17:43:22.389722,2025-11-26 17:45:06.015425,0 days 00:01:43.625703,leakyrelu,128,False,0.4,256.0,0.0002,0.4,L2,False,4,SGD,attention,1e-07,"[640, 512, 448, 384]","[1, 3]",[1],False
39,0.1761006289308176,PRUNED,2025-11-26 17:45:06.018395,2025-11-26 17:46:07.664965,0 days 00:01:01.646570,tanh,32,True,0.2,512.0,0.0002,,L2,True,3,RMSprop,last,1e-06,"[192, 192, 192]","[2, 3]","[2, 3]",True
40,0.08239700374531835,PRUNED,2025-11-26 17:46:07.665965,2025-11-26 17:46:34.748619,0 days 00:00:27.082654,,96,False,0.5,,2e-05,,minmax,False,2,Adam,attention,0.0,"[192, 256]","[1, 2, 3]","[2, 3]",False
41,0.1761006289308176,PRUNED,2025-11-26 17:46:34.748619,2025-11-26 17:46:48.847125,0 days 00:00:14.098506,,128,True,0.2,,0.0002,,L2,True,4,RMSprop,attention,1e-07,"[192, 192, 192, 192]",[2],[3],True
42,0.1761006289308176,PRUNED,2025-11-26 17:46:48.848136,2025-11-26 17:47:01.567268,0 days 00:00:12.719132,,128,True,0.2,,0.0002,,L2,True,4,RMSprop,attention,1e-07,"[128, 128, 128, 128]",[2],[3],True
43,0.1806853582554517,PRUNED,2025-11-26 17:47:01.568271,2025-11-26 17:48:22.782844,0 days 00:01:21.214573,,128,True,0.2,,0.0002,,L2,True,4,RMSprop,attention,1e-07,"[256, 256, 256, 256]",[2],[3],True
44,0.21758419036095988,COMPLETE,2025-11-26 17:48:22.782844,2025-11-26 17:51:09.049282,0 days 00:02:46.266438,,64,True,0.1,,5e-05,,L2,True,4,RMSprop,attention,1e-07,"[64, 64, 64, 64]",[2],[3],True
45,0.1761006289308176,PRUNED,2025-11-26 17:51:09.051607,2025-11-26 17:51:24.660543,0 days 00:00:15.608936,relu,128,True,0.0,256.0,0.0002,,L2,True,1,RMSprop,attention,1e-07,[192],[],[],True
46,0.4952351720169325,COMPLETE,2025-11-26 17:51:24.661544,2025-11-26 17:59:08.094177,0 days 00:07:43.432633,gelu,48,True,0.2,768.0,0.0001,,L2,True,3,RMSprop,max,1e-05,"[640, 640, 640]","[2, 3]",[3],True
47,0.331974959080426,COMPLETE,2025-11-26 17:59:08.094177,2025-11-26 18:03:30.605249,0 days 00:04:22.511072,gelu,48,False,0.0,768.0,0.0001,,L2,False,3,AdamW,max,1e-05,"[1024, 896, 768]",[3],[3],False
48,0.08888888888888889,PRUNED,2025-11-26 18:03:30.608313,2025-11-26 18:03:58.181976,0 days 00:00:27.573663,gelu,48,False,0.1,768.0,0.0001,0.6000000000000001,L2,True,3,SGD,max,1e-05,"[768, 768, 768]","[1, 2, 3]",[3],True
49,0.1761006289308176,PRUNED,2025-11-26 18:03:58.183978,2025-11-26 18:04:47.412597,0 days 00:00:49.228619,gelu,48,True,0.0,768.0,0.0001,,minmax,True,3,RMSprop,max,1e-05,"[640, 640, 640]",[3],"[1, 3]",True
