number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
20,0.17702448210922786,2025-09-12 16:13:39.211487,2025-09-12 16:14:33.173204,0 days 00:00:53.961717,tanh,uniform,64,True,0.5,False,False,True,,256.0,,0.002,,L2,True,True,True,,True,4,AdamW,max,6.0,2e-07,0.17702448210922786,,,,PRUNED
21,0.47845670693204,2025-09-12 16:14:33.174204,2025-09-12 16:16:26.688400,0 days 00:01:53.514196,silu,uniform,16,True,0.5,False,,,,768.0,,0.0002,,L2,True,,,,True,2,RMSprop,max,2.0,1e-05,0.21875,0.4585561497326203,,,COMPLETE
22,0.178030303030303,2025-09-12 16:16:26.690401,2025-09-12 16:17:37.470643,0 days 00:01:10.780242,silu,uniform,16,True,0.4,False,,,,768.0,,0.0002,,L2,True,,,,True,2,RMSprop,max,3.0,1e-07,0.4091519678374138,0.21875,0.21875,0.178030303030303,PRUNED
23,0.08558558558558559,2025-09-12 16:17:37.471643,2025-09-12 16:18:20.673872,0 days 00:00:43.202229,silu,uniform,16,True,0.5,False,,,,768.0,,0.0002,,L2,True,,,,True,2,RMSprop,max,2.0,1e-07,0.41474196689386567,0.08558558558558559,,,PRUNED
24,0.08558558558558559,2025-09-12 16:18:20.673872,2025-09-12 16:18:44.351666,0 days 00:00:23.677794,silu,uniform,96,True,0.5,,,,,768.0,,0.0002,,L2,,,,,True,1,RMSprop,max,7.0,1e-05,0.39351851851851843,0.08558558558558559,,,PRUNED
25,0.08558558558558559,2025-09-12 16:18:44.352667,2025-09-12 16:19:35.303203,0 days 00:00:50.950536,silu,uniform,16,True,0.4,False,,,,768.0,,0.0001,,L2,True,,,,True,2,RMSprop,mean,4.0,2e-07,0.37510560405519566,0.08558558558558559,,,PRUNED
26,0.21640488656195464,2025-09-12 16:19:35.304204,2025-09-12 16:21:03.134140,0 days 00:01:27.829936,tanh,uniform,16,True,0.30000000000000004,True,False,,,256.0,,2e-05,,minmax,True,True,,,False,3,AdamW,max,2.0,0.0,0.21875,0.21875,0.21640488656195464,,PRUNED
27,0.21761658031088082,2025-09-12 16:21:03.134140,2025-09-12 16:21:56.142132,0 days 00:00:53.007992,silu,uniform,16,True,0.5,False,True,,,768.0,,0.0002,,L2,False,False,,,True,3,Adam,max,5.0,5e-07,0.21761658031088082,,,,PRUNED
28,0.42403613816103,2025-09-12 16:21:56.143132,2025-09-12 16:25:19.678966,0 days 00:03:23.535834,elu,decreasing,16,True,0.4,True,,,,64.0,5.0,2e-05,,L2,True,,,,True,2,RMSprop,last,,2e-06,0.21875,0.33078658682523415,,,COMPLETE
29,0.178030303030303,2025-09-12 16:25:19.678994,2025-09-12 16:25:51.236923,0 days 00:00:31.557929,gelu,increasing,16,True,0.5,False,,,,1024.0,0.0,0.0001,,L2,True,,,,True,2,RMSprop,mean,,1e-05,0.178030303030303,,,,PRUNED
30,0.17904761904761904,2025-09-12 16:25:51.237923,2025-09-12 16:26:18.899694,0 days 00:00:27.661771,leakyrelu,uniform,32,True,0.0,,,,,128.0,,1e-05,,L2,,,,,True,1,AdamW,max,3.0,1e-06,0.24884366327474558,0.24884366327474558,0.17904761904761904,,PRUNED
31,0.42412442707047143,2025-09-12 16:26:18.899694,2025-09-12 16:29:20.871859,0 days 00:03:01.972165,elu,decreasing,16,True,0.4,True,,,,64.0,5.0,2e-05,,L2,True,,,,True,2,RMSprop,last,,2e-06,0.21875,0.21875,0.430158225612771,,COMPLETE
32,0.178030303030303,2025-09-12 16:29:20.876163,2025-09-12 16:30:29.839005,0 days 00:01:08.962842,elu,decreasing,16,True,0.5,True,,,,64.0,6.0,2e-05,,L2,True,,,,True,2,RMSprop,last,,2e-06,0.178030303030303,,,,PRUNED
33,0.23263888888888887,2025-09-12 16:30:29.840006,2025-09-12 16:30:39.929050,0 days 00:00:10.089044,elu,decreasing,96,True,0.5,True,,,,64.0,3.0,2e-05,,L2,True,,,,True,2,RMSprop,last,,2e-06,0.23263888888888887,,,,PRUNED
34,0.21761658031088082,2025-09-12 16:30:39.929050,2025-09-12 16:31:36.985334,0 days 00:00:57.056284,silu,decreasing,16,True,0.4,True,False,,,64.0,6.0,0.0001,,minmax,True,True,,,True,3,RMSprop,last,,2e-07,0.21761658031088082,,,,PRUNED
35,0.08558558558558559,2025-09-12 16:31:36.991837,2025-09-12 16:31:55.901780,0 days 00:00:18.909943,relu,decreasing,16,True,0.5,,,,,512.0,2.0,2e-05,0.5,L2,,,,,True,1,SGD,last,,1e-07,0.08558558558558559,,,,PRUNED
36,0.21761658031088082,2025-09-12 16:31:55.902782,2025-09-12 16:32:49.648767,0 days 00:00:53.745985,elu,decreasing,128,True,0.4,True,,,,768.0,9.0,0.0002,,minmax,True,,,,False,2,RMSprop,last,,2e-07,0.21761658031088082,,,,PRUNED
37,0.21761658031088082,2025-09-12 16:32:49.649767,2025-09-12 16:33:06.435224,0 days 00:00:16.785457,tanh,increasing,96,True,0.4,False,True,,,128.0,2.0,0.01,,L2,True,False,,,True,3,Adam,mean,,1e-06,0.21761658031088082,,,,PRUNED
38,0.178030303030303,2025-09-12 16:33:06.441812,2025-09-12 16:33:16.302295,0 days 00:00:09.860483,silu,uniform,64,True,0.30000000000000004,,,,,256.0,,5e-05,0.5,minmax,,,,,True,1,SGD,last,1.0,2e-06,0.178030303030303,,,,PRUNED
39,0.4431178297377949,2025-09-12 16:33:16.304302,2025-09-12 16:38:07.979279,0 days 00:04:51.674977,relu,decreasing,16,True,0.2,True,False,,,64.0,5.0,2e-05,,L2,True,True,,,False,3,AdamW,max,,5e-07,0.21875,0.21875,0.3808103405418842,,COMPLETE
