number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
24,0.4219184477844194,COMPLETE,2025-11-26 11:01:54.724704,2025-11-26 11:02:28.814023,0 days 00:00:34.089319,gelu,96,False,0.0,1024.0,0.0001,,L2,True,1,AdamW,mean,1e-05,[192],[],[],True
25,0.42830023665859435,COMPLETE,2025-11-26 11:02:28.817024,2025-11-26 11:03:41.725730,0 days 00:01:12.908706,silu,48,False,0.0,768.0,5e-05,,L2,True,2,AdamW,mean,1e-05,"[192, 256]","[2, 3]","[1, 2, 3]",False
26,0.2607114529619067,COMPLETE,2025-11-26 11:03:41.725730,2025-11-26 11:04:45.897503,0 days 00:01:04.171773,silu,48,False,0.0,768.0,5e-05,,minmax,True,2,AdamW,mean,1e-05,"[192, 256]","[2, 3]","[1, 2, 3]",False
27,0.21839080459770113,PRUNED,2025-11-26 11:04:45.900378,2025-11-26 11:04:53.024428,0 days 00:00:07.124050,silu,48,False,0.0,768.0,5e-05,,L2,True,1,AdamW,mean,1e-06,[192],[],[],True
28,0.08888888888888889,PRUNED,2025-11-26 11:04:53.026431,2025-11-26 11:05:02.501326,0 days 00:00:09.474895,leakyrelu,48,False,0.0,128.0,5e-05,0.0,L2,True,2,SGD,mean,1e-05,"[128, 192]","[2, 3]","[1, 2, 3]",False
29,0.21758419036095988,COMPLETE,2025-11-26 11:05:02.501326,2025-11-26 11:06:30.291731,0 days 00:01:27.790405,silu,48,True,0.0,1024.0,0.001,,minmax,True,3,AdamW,max,1e-05,"[256, 384, 448]",[3],"[1, 2, 3]",False
30,0.3327204630575417,PRUNED,2025-11-26 11:06:30.291731,2025-11-26 11:06:48.106450,0 days 00:00:17.814719,silu,96,False,0.0,768.0,2e-05,,L2,True,2,AdamW,mean,1e-05,"[512, 640]","[2, 3]","[1, 2, 3]",False
31,0.1714285714285714,PRUNED,2025-11-26 11:06:48.106450,2025-11-26 11:06:55.197616,0 days 00:00:07.091166,tanh,32,False,0.0,512.0,5e-05,,L2,True,2,AdamW,mean,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
32,0.3259259259259259,PRUNED,2025-11-26 11:06:55.197616,2025-11-26 11:07:37.579812,0 days 00:00:42.382196,tanh,32,False,0.0,512.0,5e-05,,L2,True,2,AdamW,last,1e-05,"[128, 192]","[2, 3]","[1, 2, 3]",False
33,0.33901173901173903,PRUNED,2025-11-26 11:07:37.581718,2025-11-26 11:08:13.792435,0 days 00:00:36.210717,tanh,32,False,0.0,768.0,0.001,,L2,True,2,AdamW,mean,1e-05,"[128, 192]","[2, 3]","[1, 2, 3]",False
