num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,best_f1,source_params
3,"[256, 256, 256]",False,L2,0.0,[],[],last,256.0,silu,True,32,Adam,,0.001,1e-06,True,0.73099,Preset_21
1,[256],False,minmax,0.0,[],[],last,256.0,relu,True,32,Adam,,0.0001,0.0,True,0.71275,Preset_2
3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64.0,tanh,False,64,AdamW,,0.001,0.0005,False,0.69927,Preset_15
1,[64],False,L2,0.0,[],[],last,,,False,64,Adam,,0.01,1e-07,True,0.69451,Preset_27
2,"[256, 384]",True,L2,0.0,[],[1],max,512.0,gelu,True,32,Adam,,0.0002,1e-05,False,0.68498,Preset_29
