run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
11,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,8,0.5273,48,"[0.7143, 0.1818, 0.6857]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
12,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,24,0.5888,28,"[0.7027, 0.3636, 0.7]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
13,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,33,0.5611,32,"[0.75, 0.2667, 0.6667]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
14,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,888,0.51,12,"[0.5556, 0.3077, 0.6667]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
15,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,800,0.5795,26,"[0.8, 0.1818, 0.7568]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
16,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,123,0.4362,16,"[0.6087, 0.2, 0.5]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
17,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,111,0.5849,15,"[0.7925, 0.5455, 0.4167]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
18,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,425,0.5678,25,"[0.72, 0.25, 0.7333]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
19,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,672,0.4948,37,"[0.6512, 0.2222, 0.6111]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
20,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,69,0.5947,35,"[0.7, 0.4, 0.6842]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
