run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
1,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,8,0.4683,9,"[0.6667, 0.1667, 0.5714]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
2,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,24,0.512,20,"[0.6341, 0.2353, 0.6667]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
3,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,33,0.5847,6,"[0.7027, 0.3333, 0.7179]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
4,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,888,0.509,20,"[0.6667, 0.2353, 0.625]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
5,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,800,0.5767,23,"[0.7143, 0.4444, 0.5714]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
6,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,123,0.5485,19,"[0.6829, 0.4, 0.5625]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
7,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,111,0.4362,5,"[0.6087, 0.1667, 0.5333]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
8,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,425,0.4896,6,"[0.6842, 0.2222, 0.5625]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
9,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,672,0.527,16,"[0.7027, 0.3158, 0.5625]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
10,MLP,1,Preset_32,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,69,0.5781,3,"[0.65, 0.4, 0.6842]",,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
