number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.34742970400236256,COMPLETE,2025-11-21 22:03:21.201353,2025-11-21 22:03:30.277326,0 days 00:00:09.075973,"[512, 256, 128, 64]",[],[3],leakyrelu,512,128,0.2,0.001,minmax,4,decreasing,max,0.0
1,0.32358836132421037,PRUNED,2025-11-21 22:03:30.279334,2025-11-21 22:03:32.469659,0 days 00:00:02.190325,"[128, 128]",[1],[],elu,128,32,0.0,5e-05,minmax,2,uniform,mean,1e-05
2,0.3357142857142857,PRUNED,2025-11-21 22:03:32.469659,2025-11-21 22:03:34.157330,0 days 00:00:01.687671,"[1024, 1024]",[1],[1],gelu,1024,64,0.0,0.0002,minmax,2,uniform,max,1e-06
3,0.21839080459770113,PRUNED,2025-11-21 22:03:34.157330,2025-11-21 22:03:35.603563,0 days 00:00:01.446233,"[64, 96, 192, 384]",[3],[2],tanh,384,96,0.1,1e-05,minmax,4,increasing,mean,1e-05
4,0.40257811007877764,COMPLETE,2025-11-21 22:03:35.604568,2025-11-21 22:03:46.791359,0 days 00:00:11.186791,"[896, 896, 896, 896, 896]",[4],[2],elu,896,128,0.2,0.0005,minmax,5,uniform,mean,1e-05
5,0.25921540768805745,PRUNED,2025-11-21 22:03:46.793468,2025-11-21 22:03:52.271029,0 days 00:00:05.477561,"[64, 128, 256, 512, 1024]",[3],[4],tanh,1024,64,0.1,1e-05,minmax,5,increasing,max,1e-05
6,0.31071162692792514,COMPLETE,2025-11-21 22:03:52.271029,2025-11-21 22:04:08.391638,0 days 00:00:16.120609,[896],[],[],elu,896,32,0.2,0.0001,minmax,1,decreasing,max,1e-06
7,0.34783447053086536,COMPLETE,2025-11-21 22:04:08.391638,2025-11-21 22:04:24.183392,0 days 00:00:15.791754,"[896, 448, 224, 112, 64]",[3],[],tanh,896,96,0.4,1e-05,minmax,5,decreasing,mean,0.0001
8,0.2930918846411804,PRUNED,2025-11-21 22:04:24.185108,2025-11-21 22:04:25.631334,0 days 00:00:01.446226,"[1024, 512]",[],[],elu,1024,64,0.0,0.0002,L2,2,decreasing,mean,0.0001
9,0.2226950354609929,PRUNED,2025-11-21 22:04:25.632340,2025-11-21 22:04:41.221125,0 days 00:00:15.588785,"[768, 384, 192]",[2],[],tanh,768,16,0.1,0.0001,minmax,3,decreasing,mean,0.0
10,0.4405035272375598,COMPLETE,2025-11-21 22:04:41.222127,2025-11-21 22:04:51.019528,0 days 00:00:09.797401,"[256, 256, 256, 256]",[2],[2],relu,256,128,0.5,0.0005,L2,4,uniform,mean,1e-05
11,0.2574377656344869,PRUNED,2025-11-21 22:04:51.019528,2025-11-21 22:04:52.312955,0 days 00:00:01.293427,"[256, 256, 256, 256]",[2],[2],relu,256,128,0.5,0.0005,L2,4,uniform,mean,1e-05
12,0.4211606230841022,COMPLETE,2025-11-21 22:04:52.314123,2025-11-21 22:05:03.219250,0 days 00:00:10.905127,"[256, 256, 256, 256, 256]",[4],[3],relu,256,128,0.5,0.0005,L2,5,uniform,mean,1e-05
13,0.21758419036095988,COMPLETE,2025-11-21 22:05:03.220254,2025-11-21 22:05:16.879982,0 days 00:00:13.659728,"[256, 256, 256, 256]",[2],[3],relu,256,48,0.5,2e-05,L2,4,uniform,mean,1e-05
14,0.31226551226551225,PRUNED,2025-11-21 22:05:16.879982,2025-11-21 22:05:18.258820,0 days 00:00:01.378838,"[256, 256, 256]",[1],[1],relu,256,128,0.5,0.0005,L2,3,uniform,mean,1e-05
15,0.21839080459770113,PRUNED,2025-11-21 22:05:18.258820,2025-11-21 22:05:23.157292,0 days 00:00:04.898472,"[256, 256, 256, 256, 256]",[4],[3],silu,256,128,0.3,0.0005,L2,5,uniform,mean,1e-05
16,0.21839080459770113,PRUNED,2025-11-21 22:05:23.158292,2025-11-21 22:05:38.081620,0 days 00:00:14.923328,"[256, 256, 256, 256]",[2],[3],relu,256,16,0.5,0.0005,L2,4,uniform,mean,0.0001
