number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.4242911704820152,COMPLETE,2025-11-21 22:11:58.159510,2025-11-21 22:12:48.581472,0 days 00:00:50.421962,"[256, 128, 64]",[],[],tanh,256,16,0.2,0.0002,L2,3,decreasing,max,0.0001
1,0.21758419036095988,COMPLETE,2025-11-21 22:12:48.583473,2025-11-21 22:12:56.795063,0 days 00:00:08.211590,[896],[],[],elu,896,64,0.1,0.0001,L2,1,increasing,mean,0.0001
2,0.3894447265834102,COMPLETE,2025-11-21 22:12:56.797066,2025-11-21 22:13:15.840383,0 days 00:00:19.043317,"[256, 128, 64, 64, 64]",[2],[2],leakyrelu,256,96,0.4,0.001,L2,5,decreasing,mean,0.0001
3,0.21758419036095988,COMPLETE,2025-11-21 22:13:15.842422,2025-11-21 22:13:26.859590,0 days 00:00:11.017168,"[64, 64, 64, 64, 128]",[4],[2],silu,128,96,0.3,0.0005,L2,5,increasing,max,1e-05
4,0.3815954117831125,COMPLETE,2025-11-21 22:13:26.861610,2025-11-21 22:13:51.515454,0 days 00:00:24.653844,"[1024, 1024, 1024, 1024, 1024]",[],[],elu,1024,32,0.2,0.0001,minmax,5,uniform,max,0.0001
5,0.33116834639790965,PRUNED,2025-11-21 22:13:51.522064,2025-11-21 22:13:53.133281,0 days 00:00:01.611217,[256],[],[],tanh,256,32,0.2,0.001,minmax,1,uniform,mean,0.0
6,0.13818860877684405,PRUNED,2025-11-21 22:13:53.134364,2025-11-21 22:13:56.577971,0 days 00:00:03.443607,"[128, 128, 128, 128]",[2],[3],silu,128,128,0.2,1e-05,L2,4,uniform,mean,0.0001
7,0.21238938053097345,PRUNED,2025-11-21 22:13:56.579985,2025-11-21 22:14:13.706784,0 days 00:00:17.126799,"[128, 256]",[1],[1],elu,256,32,0.4,2e-05,minmax,2,increasing,max,0.0001
8,0.42238908524476104,COMPLETE,2025-11-21 22:14:13.713508,2025-11-21 22:14:41.214993,0 days 00:00:27.501485,"[896, 896, 896, 896, 896]",[3],[1],leakyrelu,896,32,0.4,0.0001,minmax,5,uniform,max,0.0001
9,0.29162148485505673,PRUNED,2025-11-21 22:14:41.217004,2025-11-21 22:14:43.613754,0 days 00:00:02.396750,"[384, 192, 96, 64]",[],[],leakyrelu,384,32,0.2,0.001,L2,4,decreasing,mean,1e-06
10,0.3235930735930736,PRUNED,2025-11-21 22:14:43.613754,2025-11-21 22:14:47.744917,0 days 00:00:04.131163,"[768, 384, 192]",[1],[1],tanh,768,16,0.5,0.0002,L2,3,decreasing,max,1e-06
11,0.34884463895415874,COMPLETE,2025-11-21 22:14:47.744917,2025-11-21 22:15:01.844788,0 days 00:00:14.099871,"[512, 512, 512]",[2],[1],relu,512,48,0.0,5e-05,minmax,3,uniform,max,0.0
12,0.20899091343854614,PRUNED,2025-11-21 22:15:01.848470,2025-11-21 22:15:26.573249,0 days 00:00:24.724779,"[896, 448, 224, 112]",[3],[1],gelu,896,16,0.4,0.0002,minmax,4,decreasing,max,1e-05
13,0.3717006635785197,COMPLETE,2025-11-21 22:15:26.574253,2025-11-21 22:15:54.820025,0 days 00:00:28.245772,"[896, 896]",[],[],tanh,896,16,0.0,0.0002,minmax,2,uniform,max,0.0001
14,0.21839080459770113,PRUNED,2025-11-21 22:15:54.822031,2025-11-21 22:15:55.837839,0 days 00:00:01.015808,"[1024, 512]",[],[],leakyrelu,1024,128,0.3,0.0001,L2,2,decreasing,max,0.0001
15,0.3534061173741113,COMPLETE,2025-11-21 22:15:55.837839,2025-11-21 22:16:16.065775,0 days 00:00:20.227936,"[384, 384, 384]",[1],[2],gelu,384,64,0.5,2e-05,minmax,3,uniform,max,0.0001
16,0.4302558134433932,COMPLETE,2025-11-21 22:16:16.066775,2025-11-21 22:16:40.138094,0 days 00:00:24.071319,"[768, 384, 192, 96]",[3],[3],relu,768,48,0.4,0.0005,L2,4,decreasing,max,1e-05
17,0.21637426900584797,PRUNED,2025-11-21 22:16:40.140135,2025-11-21 22:16:53.792821,0 days 00:00:13.652686,"[768, 384, 192, 96]",[3],[3],relu,768,48,0.1,0.0005,L2,4,decreasing,max,1e-05
