number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.42865978040279173,COMPLETE,2025-11-21 21:55:29.097639,2025-11-21 21:55:43.344069,0 days 00:00:14.246430,[512],[],[],elu,512,32,0.1,0.0005,L2,1,increasing,mean,1e-06
1,0.4192707665792167,COMPLETE,2025-11-21 21:55:43.346095,2025-11-21 21:56:00.257701,0 days 00:00:16.911606,"[512, 512, 512, 512]",[1],[],leakyrelu,512,32,0.1,0.0002,minmax,4,uniform,mean,1e-06
2,0.42973284583564364,COMPLETE,2025-11-21 21:56:00.258702,2025-11-21 21:56:08.344439,0 days 00:00:08.085737,"[512, 512, 512]",[1],[],elu,512,128,0.1,5e-05,L2,3,uniform,mean,1e-06
3,0.21758419036095988,COMPLETE,2025-11-21 21:56:08.353082,2025-11-21 21:56:16.835231,0 days 00:00:08.482149,"[64, 96, 192, 384]",[2],[3],elu,384,96,0.2,1e-05,L2,4,increasing,max,1e-06
4,0.3739526740415577,COMPLETE,2025-11-21 21:56:16.836236,2025-11-21 21:56:58.418608,0 days 00:00:41.582372,"[768, 384]",[],[],relu,768,16,0.2,0.001,L2,2,decreasing,max,0.0001
5,0.4428429979339885,COMPLETE,2025-11-21 21:56:58.421696,2025-11-21 21:57:13.169052,0 days 00:00:14.747356,"[64, 64, 64, 128]",[],[2],tanh,128,48,0.0,0.001,minmax,4,increasing,mean,1e-05
6,0.21839080459770113,PRUNED,2025-11-21 21:57:13.171061,2025-11-21 21:57:14.434593,0 days 00:00:01.263532,"[1024, 1024]",[],[1],leakyrelu,1024,64,0.0,2e-05,L2,2,uniform,max,0.0001
7,0.21839080459770113,PRUNED,2025-11-21 21:57:14.435593,2025-11-21 21:57:26.918658,0 days 00:00:12.483065,"[64, 96, 192, 384]",[3],[2],silu,384,16,0.2,0.0001,L2,4,increasing,max,0.0
8,0.21839080459770113,PRUNED,2025-11-21 21:57:26.918658,2025-11-21 21:57:29.828349,0 days 00:00:02.909691,"[896, 448]",[1],[],elu,896,128,0.4,0.0002,L2,2,decreasing,mean,1e-05
9,0.21839080459770113,PRUNED,2025-11-21 21:57:29.829349,2025-11-21 21:57:31.166956,0 days 00:00:01.337607,"[64, 128, 256, 512]",[3],[1],tanh,512,64,0.2,5e-05,L2,4,increasing,mean,0.0001
10,0.44923873291134536,COMPLETE,2025-11-21 21:57:31.167960,2025-11-21 21:57:50.765409,0 days 00:00:19.597449,"[64, 64, 64, 64, 128]",[4],[4],tanh,128,48,0.0,0.001,minmax,5,increasing,mean,1e-05
11,0.46440844285475463,COMPLETE,2025-11-21 21:57:50.767417,2025-11-21 21:58:11.917055,0 days 00:00:21.149638,"[64, 64, 64, 64, 128]",[4],[4],tanh,128,48,0.0,0.001,minmax,5,increasing,mean,1e-05
12,0.44673191970922527,COMPLETE,2025-11-21 21:58:11.919062,2025-11-21 21:58:31.832214,0 days 00:00:19.913152,"[64, 64, 64, 64, 128]",[4],[4],tanh,128,48,0.5,0.001,minmax,5,increasing,mean,1e-05
13,0.46755977978632035,COMPLETE,2025-11-21 21:58:31.832214,2025-11-21 21:58:52.479166,0 days 00:00:20.646952,"[64, 64, 64, 64, 128]",[4],[4],gelu,128,48,0.0,0.001,minmax,5,increasing,mean,1e-05
14,0.44349194334089076,COMPLETE,2025-11-21 21:58:52.481178,2025-11-21 21:59:15.550778,0 days 00:00:23.069600,"[64, 64, 64, 128, 256]",[3],[3],gelu,256,48,0.3,0.001,minmax,5,increasing,mean,1e-05
15,0.21758419036095988,COMPLETE,2025-11-21 21:59:15.552779,2025-11-21 21:59:31.560784,0 days 00:00:16.008005,"[128, 64, 64, 64, 64]",[4],[3],gelu,128,48,0.0,2e-05,minmax,5,decreasing,mean,0.0
