number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.4233524131586157,COMPLETE,2025-11-21 23:31:42.111216,2025-11-21 23:31:52.442443,0 days 00:00:10.331227,[1024],[],[],tanh,1024,64,0.0,0.0005,minmax,1,decreasing,max,0.0001
1,0.21758419036095988,COMPLETE,2025-11-21 23:31:52.444840,2025-11-21 23:32:05.922215,0 days 00:00:13.477375,"[384, 384, 384]",[2],[],tanh,384,48,0.4,1e-05,L2,3,uniform,mean,0.0
2,0.21758419036095988,COMPLETE,2025-11-21 23:32:05.924237,2025-11-21 23:32:19.400182,0 days 00:00:13.475945,[256],[],[],gelu,256,32,0.2,2e-05,L2,1,increasing,mean,1e-06
3,0.08888888888888889,PRUNED,2025-11-21 23:32:19.402218,2025-11-21 23:32:21.981935,0 days 00:00:02.579717,"[64, 64, 128, 256]",[2],[1],elu,256,64,0.0,2e-05,L2,4,increasing,max,1e-06
4,0.4283514371688277,COMPLETE,2025-11-21 23:32:21.983035,2025-11-21 23:32:44.213168,0 days 00:00:22.230133,"[64, 128]",[1],[],relu,128,32,0.0,0.0002,minmax,2,increasing,max,0.0
5,0.21758419036095988,COMPLETE,2025-11-21 23:32:44.215218,2025-11-21 23:32:53.405014,0 days 00:00:09.189796,"[768, 768]",[],[1],gelu,768,64,0.4,2e-05,L2,2,uniform,mean,1e-05
6,0.1761006289308176,PRUNED,2025-11-21 23:32:53.407032,2025-11-21 23:33:02.723545,0 days 00:00:09.316513,"[1024, 512, 256, 128, 64]",[1],[3],tanh,1024,16,0.0,0.001,minmax,5,decreasing,mean,0.0
7,0.1761006289308176,PRUNED,2025-11-21 23:33:02.724741,2025-11-21 23:33:04.416086,0 days 00:00:01.691345,"[768, 768]",[1],[1],gelu,768,128,0.3,0.001,L2,2,uniform,max,1e-05
8,0.21839080459770113,PRUNED,2025-11-21 23:33:04.417152,2025-11-21 23:33:07.264772,0 days 00:00:02.847620,"[512, 256, 128, 64, 64]",[4],[3],gelu,512,64,0.0,0.0002,L2,5,decreasing,max,1e-06
9,0.21839080459770113,PRUNED,2025-11-21 23:33:07.265777,2025-11-21 23:33:12.748750,0 days 00:00:05.482973,[896],[],[],tanh,896,32,0.0,0.0001,L2,1,decreasing,mean,0.0001
10,0.196969696969697,PRUNED,2025-11-21 23:33:12.749752,2025-11-21 23:33:15.214238,0 days 00:00:02.464486,"[64, 64, 128]",[2],[],relu,128,96,0.1,0.0002,minmax,3,increasing,max,0.0
11,0.1761006289308176,PRUNED,2025-11-21 23:33:15.215245,2025-11-21 23:33:19.198109,0 days 00:00:03.982864,"[512, 1024]",[],[],silu,1024,32,0.5,0.0005,minmax,2,increasing,max,0.0001
