number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.4413538103751365,COMPLETE,2025-11-21 22:31:30.752834,2025-11-21 22:31:46.878883,0 days 00:00:16.126049,"[896, 896, 896]",[1],[],silu,896,96,0.2,0.0001,L2,3,uniform,mean,1e-05
1,0.21758419036095988,COMPLETE,2025-11-21 22:31:46.881401,2025-11-21 22:31:52.669125,0 days 00:00:05.787724,[256],[],[],tanh,256,128,0.0,2e-05,minmax,1,decreasing,max,0.0
2,0.21839080459770113,PRUNED,2025-11-21 22:31:52.671635,2025-11-21 22:31:53.863865,0 days 00:00:01.192230,"[512, 256, 128]",[1],[],silu,512,128,0.3,0.0001,L2,3,decreasing,max,0.0
3,0.21839080459770113,PRUNED,2025-11-21 22:31:53.863865,2025-11-21 22:31:56.689969,0 days 00:00:02.826104,"[768, 768]",[],[],silu,768,96,0.2,0.0002,minmax,2,uniform,max,0.0001
4,0.33069767441860465,PRUNED,2025-11-21 22:31:56.691003,2025-11-21 22:32:09.681477,0 days 00:00:12.990474,"[512, 1024]",[],[],elu,1024,16,0.0,0.0005,minmax,2,increasing,mean,0.0001
5,0.21758419036095988,COMPLETE,2025-11-21 22:32:09.682484,2025-11-21 22:32:15.766687,0 days 00:00:06.084203,[768],[],[],gelu,768,128,0.2,0.0001,L2,1,uniform,mean,1e-06
6,0.3243589743589744,PRUNED,2025-11-21 22:32:15.767689,2025-11-21 22:32:21.262165,0 days 00:00:05.494476,"[128, 256, 512, 1024]",[],[3],silu,1024,32,0.4,0.001,L2,4,increasing,mean,0.0
7,0.18974358974358976,PRUNED,2025-11-21 22:32:21.263223,2025-11-21 22:32:23.880686,0 days 00:00:02.617463,[512],[],[],elu,512,48,0.2,0.0005,minmax,1,decreasing,max,0.0
8,0.21839080459770113,PRUNED,2025-11-21 22:32:23.881696,2025-11-21 22:32:26.460160,0 days 00:00:02.578464,"[64, 128]",[],[],relu,128,48,0.1,2e-05,minmax,2,increasing,mean,1e-06
9,0.21839080459770113,PRUNED,2025-11-21 22:32:26.460160,2025-11-21 22:32:27.972825,0 days 00:00:01.512665,"[64, 96, 192, 384]",[2],[1],leakyrelu,384,96,0.4,2e-05,minmax,4,increasing,max,0.0001
10,0.21839080459770113,PRUNED,2025-11-21 22:32:27.974059,2025-11-21 22:32:30.034579,0 days 00:00:02.060520,"[896, 896, 896, 896, 896]",[4],[4],leakyrelu,896,64,0.5,5e-05,L2,5,uniform,mean,1e-05
11,0.21758419036095988,COMPLETE,2025-11-21 22:32:30.035768,2025-11-21 22:32:39.366234,0 days 00:00:09.330466,"[256, 128, 64]",[1],[1],tanh,256,96,0.0,1e-05,L2,3,decreasing,max,1e-05
12,0.21839080459770113,PRUNED,2025-11-21 22:32:39.368267,2025-11-21 22:32:40.311548,0 days 00:00:00.943281,[896],[],[],tanh,896,128,0.0,0.0001,L2,1,decreasing,mean,1e-05
13,0.4132615345864335,COMPLETE,2025-11-21 22:32:40.312554,2025-11-21 22:33:42.339046,0 days 00:01:02.026492,"[256, 256, 256, 256, 256]",[2],[2],tanh,256,16,0.3,2e-05,minmax,5,uniform,max,0.0
14,0.3896203879752267,COMPLETE,2025-11-21 22:33:42.341628,2025-11-21 22:34:56.242284,0 days 00:01:13.900656,"[256, 256, 256, 256, 256]",[3],[2],relu,256,16,0.3,0.001,minmax,5,uniform,mean,1e-05
15,0.21839080459770113,PRUNED,2025-11-21 22:34:56.244305,2025-11-21 22:35:04.702097,0 days 00:00:08.457792,"[896, 896, 896, 896]",[2],[2],gelu,896,16,0.3,1e-05,L2,4,uniform,max,0.0
16,0.21839080459770113,PRUNED,2025-11-21 22:35:04.703153,2025-11-21 22:35:09.493688,0 days 00:00:04.790535,"[128, 128, 128, 128]",[1],[1],tanh,128,64,0.5,0.0002,L2,4,uniform,mean,1e-05
17,0.21839080459770113,PRUNED,2025-11-21 22:35:09.494688,2025-11-21 22:35:15.477050,0 days 00:00:05.982362,"[384, 384, 384, 384, 384]",[3],[3],silu,384,32,0.1,5e-05,minmax,5,uniform,max,1e-06
18,0.2144927536231884,PRUNED,2025-11-21 22:35:15.478050,2025-11-21 22:35:18.000055,0 days 00:00:02.522005,"[896, 896, 896]",[1],[1],tanh,896,96,0.3,2e-05,L2,3,uniform,max,0.0
19,0.4105789223971487,COMPLETE,2025-11-21 22:35:18.001083,2025-11-21 22:36:06.922552,0 days 00:00:48.921469,"[256, 256, 256]",[1],[2],silu,256,16,0.2,0.0001,minmax,3,uniform,mean,1e-05
20,0.4271662412130258,COMPLETE,2025-11-21 22:36:06.924579,2025-11-21 22:37:22.345024,0 days 00:01:15.420445,"[896, 896, 896, 896]",[2],[2],leakyrelu,896,16,0.2,2e-05,L2,4,uniform,mean,0.0
21,0.20420420420420418,PRUNED,2025-11-21 22:37:22.347167,2025-11-21 22:37:56.454186,0 days 00:00:34.107019,"[896, 896, 896, 896, 896]",[2],[3],leakyrelu,896,16,0.2,2e-05,L2,5,uniform,mean,0.0
22,0.21637426900584797,PRUNED,2025-11-21 22:37:56.455189,2025-11-21 22:38:21.766273,0 days 00:00:25.311084,"[896, 896, 896, 896]",[2],[2],leakyrelu,896,16,0.2,2e-05,L2,4,uniform,mean,0.0
23,0.42121219281651906,COMPLETE,2025-11-21 22:38:21.767280,2025-11-21 22:39:44.193140,0 days 00:01:22.425860,"[896, 896, 896, 896]",[2],[2],leakyrelu,896,16,0.2,2e-05,L2,4,uniform,mean,0.0
24,0.38204376129037165,COMPLETE,2025-11-21 22:39:44.196160,2025-11-21 22:40:01.311375,0 days 00:00:17.115215,"[896, 896, 896, 896]",[3],[1],leakyrelu,896,96,0.2,0.0001,L2,4,uniform,mean,0.0
25,0.4394612912935797,COMPLETE,2025-11-21 22:40:01.313593,2025-11-21 22:41:18.033274,0 days 00:01:16.719681,"[896, 896, 896]",[1],[2],leakyrelu,896,16,0.2,2e-05,L2,3,uniform,mean,1e-05
26,0.25061425061425063,PRUNED,2025-11-21 22:41:18.035282,2025-11-21 22:41:30.265648,0 days 00:00:12.230366,"[896, 896, 896]",[1],[1],leakyrelu,896,48,0.2,5e-05,L2,3,uniform,mean,1e-05
