number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
27,0.21839080459770113,PRUNED,2025-11-21 22:52:39.464121,2025-11-21 22:52:41.092686,0 days 00:00:01.628565,"[512, 1024]",[],[],gelu,1024,64,0.4,0.0001,L2,2,increasing,max,1e-06
28,0.21839080459770113,PRUNED,2025-11-21 22:52:41.093693,2025-11-21 22:52:42.686896,0 days 00:00:01.593203,"[112, 224, 448, 896]",[2],[2],silu,896,128,0.5,2e-05,minmax,4,increasing,max,0.0001
29,0.4802257777707523,COMPLETE,2025-11-21 22:52:42.687957,2025-11-21 22:53:13.334434,0 days 00:00:30.646477,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
30,0.48688086203207526,COMPLETE,2025-11-21 22:53:13.336440,2025-11-21 22:53:41.144124,0 days 00:00:27.807684,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
31,0.4777025526588484,COMPLETE,2025-11-21 22:53:41.144124,2025-11-21 22:54:09.886010,0 days 00:00:28.741886,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
32,0.21839080459770113,PRUNED,2025-11-21 22:54:09.888021,2025-11-21 22:54:16.002811,0 days 00:00:06.114790,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
33,0.472093425557717,COMPLETE,2025-11-21 22:54:16.002811,2025-11-21 22:54:46.812625,0 days 00:00:30.809814,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
34,0.35517613825191097,PRUNED,2025-11-21 22:54:46.814632,2025-11-21 22:54:57.761797,0 days 00:00:10.947165,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
35,0.47188229482259514,COMPLETE,2025-11-21 22:54:57.762803,2025-11-21 22:55:22.661739,0 days 00:00:24.898936,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,decreasing,max,0.0
36,0.4850458032710311,COMPLETE,2025-11-21 22:55:22.661739,2025-11-21 22:55:48.135938,0 days 00:00:25.474199,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
