number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
27,0.21839080459770113,PRUNED,2025-11-21 21:49:59.548106,2025-11-21 21:50:07.262473,0 days 00:00:07.714367,[512],[],[],leakyrelu,512,16,0.1,0.0001,minmax,1,decreasing,mean,0.0
28,0.4200145488691168,COMPLETE,2025-11-21 21:50:07.263476,2025-11-21 21:50:36.840364,0 days 00:00:29.576888,"[512, 256]",[],[],relu,512,16,0.1,0.001,minmax,2,decreasing,max,0.0
29,0.21839080459770113,PRUNED,2025-11-21 21:50:36.840364,2025-11-21 21:50:37.708269,0 days 00:00:00.867905,[1024],[],[],elu,1024,128,0.3,2e-05,minmax,1,decreasing,max,0.0001
30,0.21839080459770113,PRUNED,2025-11-21 21:50:37.708269,2025-11-21 21:50:38.626273,0 days 00:00:00.918004,[512],[],[],silu,512,96,0.1,1e-05,minmax,1,decreasing,mean,0.0
31,0.21839080459770113,PRUNED,2025-11-21 21:50:38.627276,2025-11-21 21:50:53.925701,0 days 00:00:15.298425,"[512, 256, 128]",[1],[1],tanh,512,16,0.1,0.0002,minmax,3,decreasing,mean,0.0
32,0.3818247837855681,PRUNED,2025-11-21 21:50:53.926787,2025-11-21 21:51:06.522944,0 days 00:00:12.596157,"[1024, 512]",[],[],elu,1024,16,0.2,0.0002,minmax,2,decreasing,mean,0.0
33,0.21637426900584797,PRUNED,2025-11-21 21:51:06.523950,2025-11-21 21:51:23.031151,0 days 00:00:16.507201,"[512, 256, 128]",[],[],tanh,512,32,0.1,0.0002,minmax,3,decreasing,mean,1e-05
34,0.47813214239732266,COMPLETE,2025-11-21 21:51:23.032154,2025-11-21 21:51:55.161141,0 days 00:00:32.128987,"[896, 896]",[],[],tanh,896,16,0.4,0.0001,L2,2,uniform,mean,0.0
35,0.4759430189848789,COMPLETE,2025-11-21 21:51:55.161141,2025-11-21 21:52:23.917781,0 days 00:00:28.756640,"[896, 896]",[],[],tanh,896,16,0.4,0.0001,L2,2,uniform,mean,1e-05
36,0.4431767835224331,COMPLETE,2025-11-21 21:52:23.919786,2025-11-21 21:52:35.947245,0 days 00:00:12.027459,"[896, 896]",[],[],tanh,896,48,0.4,0.0001,L2,2,uniform,mean,1e-05
37,0.46530271393043315,COMPLETE,2025-11-21 21:52:35.947245,2025-11-21 21:53:07.328534,0 days 00:00:31.381289,"[896, 896]",[],[],elu,896,16,0.4,0.0001,L2,2,uniform,mean,1e-05
38,0.21839080459770113,PRUNED,2025-11-21 21:53:07.330541,2025-11-21 21:53:12.651960,0 days 00:00:05.321419,"[896, 896]",[],[],tanh,896,32,0.4,0.0001,L2,2,uniform,mean,1e-05
39,0.46921711328060545,COMPLETE,2025-11-21 21:53:12.652963,2025-11-21 21:53:41.858992,0 days 00:00:29.206029,"[896, 896]",[],[],tanh,896,16,0.3,0.0001,L2,2,uniform,mean,1e-05
