number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
27,0.21839080459770113,PRUNED,2025-11-21 23:57:56.672684,2025-11-21 23:58:00.678013,0 days 00:00:04.005329,"[1024, 1024, 1024, 1024, 1024]",[3],[4],elu,1024,64,0.1,5e-05,L2,5,uniform,max,1e-05
28,0.21839080459770113,PRUNED,2025-11-21 23:58:00.679036,2025-11-21 23:58:07.090812,0 days 00:00:06.411776,"[1024, 512, 256, 128, 64]",[4],[4],elu,1024,64,0.1,5e-05,L2,5,decreasing,max,1e-05
29,0.3454144407969931,COMPLETE,2025-11-21 23:58:07.090812,2025-11-21 23:58:32.208288,0 days 00:00:25.117476,"[64, 128, 256, 512, 1024]",[2],[2],elu,1024,64,0.1,5e-05,L2,5,increasing,max,1e-05
30,0.21839080459770113,PRUNED,2025-11-21 23:58:32.210552,2025-11-21 23:58:33.876249,0 days 00:00:01.665697,[1024],[],[],relu,1024,32,0.0,2e-05,L2,1,increasing,max,1e-05
31,0.2144927536231884,PRUNED,2025-11-21 23:58:33.876249,2025-11-21 23:58:35.080315,0 days 00:00:01.204066,"[768, 768, 768, 768, 768]",[3],[4],tanh,768,128,0.1,5e-05,L2,5,uniform,max,1e-06
32,0.23736263736263738,PRUNED,2025-11-21 23:58:35.081318,2025-11-21 23:58:36.774587,0 days 00:00:01.693269,"[128, 128, 128, 128]",[2],[3],relu,128,48,0.0,5e-05,L2,4,uniform,mean,0.0
33,0.3468519784309258,PRUNED,2025-11-21 23:58:36.775590,2025-11-21 23:58:41.329842,0 days 00:00:04.554252,"[384, 384, 384, 384, 384]",[3],[4],gelu,384,16,0.2,5e-05,L2,5,uniform,mean,1e-06
34,0.21839080459770113,PRUNED,2025-11-21 23:58:41.329842,2025-11-21 23:58:44.402997,0 days 00:00:03.073155,"[256, 256, 256, 256, 256]",[4],[3],elu,256,64,0.5,0.0002,minmax,5,uniform,max,0.0001
35,0.21637426900584797,PRUNED,2025-11-21 23:58:44.404000,2025-11-21 23:58:49.518597,0 days 00:00:05.114597,"[512, 512, 512, 512]",[2],[2],relu,512,96,0.0,0.001,L2,4,uniform,max,1e-05
36,0.4775048559312001,COMPLETE,2025-11-21 23:58:49.518597,2025-11-21 23:59:26.450882,0 days 00:00:36.932285,"[896, 448, 224]",[1],[1],silu,896,16,0.4,0.0005,L2,3,decreasing,mean,1e-06
37,0.21839080459770113,PRUNED,2025-11-21 23:59:26.452902,2025-11-21 23:59:29.612097,0 days 00:00:03.159195,"[128, 64]",[],[],silu,128,16,0.4,0.0005,L2,2,decreasing,max,1e-06
38,0.21839080459770113,PRUNED,2025-11-21 23:59:29.613273,2025-11-21 23:59:30.830786,0 days 00:00:01.217513,"[384, 192, 96]",[1],[1],silu,384,96,0.4,0.0005,L2,3,decreasing,max,1e-06
39,0.21839080459770113,PRUNED,2025-11-21 23:59:30.831789,2025-11-21 23:59:32.638553,0 days 00:00:01.806764,"[1024, 512]",[],[],silu,1024,64,0.4,1e-05,L2,2,decreasing,mean,1e-06
40,0.21839080459770113,PRUNED,2025-11-21 23:59:32.639556,2025-11-21 23:59:47.472999,0 days 00:00:14.833443,"[256, 128, 64]",[1],[1],silu,256,16,0.1,0.0005,L2,3,decreasing,max,0.0
41,0.2144927536231884,PRUNED,2025-11-21 23:59:47.474010,2025-11-21 23:59:56.627141,0 days 00:00:09.153131,"[896, 448, 224, 112]",[1],[1],tanh,896,16,0.2,0.0002,L2,4,decreasing,mean,1e-06
42,0.21839080459770113,PRUNED,2025-11-21 23:59:56.628144,2025-11-22 00:00:05.679674,0 days 00:00:09.051530,"[896, 896, 896, 896, 896]",[4],[3],elu,896,16,0.4,5e-05,L2,5,uniform,mean,1e-06
43,0.2432783608195902,PRUNED,2025-11-22 00:00:05.679674,2025-11-22 00:00:13.301220,0 days 00:00:07.621546,"[896, 448, 224, 112]",[2],[2],relu,896,16,0.0,2e-05,minmax,4,decreasing,mean,0.0001
44,0.08888888888888889,PRUNED,2025-11-22 00:00:13.301220,2025-11-22 00:00:28.490863,0 days 00:00:15.189643,"[128, 128, 128, 128, 128]",[3],[4],leakyrelu,128,16,0.5,1e-05,minmax,5,uniform,mean,0.0
45,0.4841964845042548,COMPLETE,2025-11-22 00:00:28.491866,2025-11-22 00:00:49.241264,0 days 00:00:20.749398,"[224, 448, 896]",[1],[1],gelu,896,32,0.2,0.0005,L2,3,increasing,mean,1e-05
46,0.21839080459770113,PRUNED,2025-11-22 00:00:49.248660,2025-11-22 00:00:53.532843,0 days 00:00:04.284183,"[192, 384, 768]",[1],[1],tanh,768,32,0.2,0.0005,L2,3,increasing,mean,1e-05
47,0.45929933225822983,COMPLETE,2025-11-22 00:00:53.533534,2025-11-22 00:01:15.082443,0 days 00:00:21.548909,"[256, 512, 1024]",[1],[1],elu,1024,32,0.2,0.0005,L2,3,increasing,mean,1e-05
48,0.21839080459770113,PRUNED,2025-11-22 00:01:15.084451,2025-11-22 00:01:21.184026,0 days 00:00:06.099575,"[256, 512, 1024]",[1],[1],elu,1024,32,0.2,0.0005,L2,3,increasing,max,1e-05
49,0.21637426900584797,PRUNED,2025-11-22 00:01:21.185029,2025-11-22 00:01:30.153636,0 days 00:00:08.968607,"[512, 1024]",[],[],elu,1024,32,0.2,0.0005,L2,2,increasing,mean,1e-05
