number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
27,0.429298884149328,COMPLETE,2025-11-21 23:24:14.651926,2025-11-21 23:25:04.056064,0 days 00:00:49.404138,"[128, 128, 128, 128]",[2],[2],tanh,128,16,0.1,5e-05,minmax,4,uniform,mean,1e-06
28,0.30200803212851407,PRUNED,2025-11-21 23:25:04.058572,2025-11-21 23:25:08.519447,0 days 00:00:04.460875,"[128, 128, 128]",[2],[2],tanh,128,16,0.1,5e-05,minmax,3,uniform,max,1e-06
29,0.3068289384719405,PRUNED,2025-11-21 23:25:08.520455,2025-11-21 23:25:13.554326,0 days 00:00:05.033871,"[64, 64, 64, 128]",[2],[2],tanh,128,16,0.1,5e-05,minmax,4,increasing,mean,1e-06
30,0.4130361313922249,COMPLETE,2025-11-21 23:25:13.555347,2025-11-21 23:25:53.196478,0 days 00:00:39.641131,"[128, 128, 128]",[1],[2],tanh,128,16,0.1,5e-05,minmax,3,uniform,mean,1e-06
31,0.4084601582825309,COMPLETE,2025-11-21 23:25:53.199011,2025-11-21 23:26:33.926114,0 days 00:00:40.727103,"[128, 128, 128]",[1],[2],tanh,128,16,0.1,5e-05,minmax,3,uniform,mean,1e-06
32,0.39945633414187426,COMPLETE,2025-11-21 23:26:33.928334,2025-11-21 23:27:09.441939,0 days 00:00:35.513605,"[128, 128]",[1],[1],tanh,128,16,0.1,5e-05,minmax,2,uniform,mean,1e-06
33,0.29635682669390534,PRUNED,2025-11-21 23:27:09.444072,2025-11-21 23:27:14.079570,0 days 00:00:04.635498,"[512, 512, 512]",[1],[2],tanh,512,16,0.4,1e-05,minmax,3,uniform,mean,1e-06
34,0.21839080459770113,PRUNED,2025-11-21 23:27:14.080577,2025-11-21 23:27:30.656484,0 days 00:00:16.575907,"[128, 64, 64]",[2],[2],tanh,128,16,0.1,5e-05,L2,3,decreasing,mean,1e-06
35,0.4034026343594941,COMPLETE,2025-11-21 23:27:30.657484,2025-11-21 23:28:23.043007,0 days 00:00:52.385523,"[1024, 1024, 1024, 1024]",[2],[2],relu,1024,16,0.1,1e-05,minmax,4,uniform,mean,1e-06
36,0.21839080459770113,PRUNED,2025-11-21 23:28:23.045004,2025-11-21 23:28:26.453349,0 days 00:00:03.408345,"[384, 192]",[],[1],leakyrelu,384,32,0.4,0.001,L2,2,decreasing,max,1e-06
37,0.3736041794462847,COMPLETE,2025-11-21 23:28:26.453349,2025-11-21 23:28:34.839677,0 days 00:00:08.386328,"[768, 768, 768]",[1],[2],tanh,768,128,0.0,5e-05,minmax,3,uniform,mean,0.0001
38,0.33454545454545453,PRUNED,2025-11-21 23:28:34.841735,2025-11-21 23:28:39.641587,0 days 00:00:04.799852,"[128, 64, 64, 64]",[2],[2],silu,128,16,0.5,0.0001,minmax,4,decreasing,max,1e-05
39,0.32567375886524824,PRUNED,2025-11-21 23:28:39.642596,2025-11-21 23:28:41.495959,0 days 00:00:01.853363,"[64, 64, 128]",[1],[1],tanh,128,48,0.1,5e-05,L2,3,increasing,mean,1e-06
40,0.4307757781557662,COMPLETE,2025-11-21 23:28:41.496968,2025-11-21 23:29:10.793221,0 days 00:00:29.296253,"[512, 512]",[],[],leakyrelu,512,16,0.0,0.0002,minmax,2,uniform,max,1e-06
41,0.21839080459770113,PRUNED,2025-11-21 23:29:10.794221,2025-11-21 23:29:16.609627,0 days 00:00:05.815406,"[512, 512]",[],[],leakyrelu,512,16,0.0,0.0002,minmax,2,uniform,max,1e-06
42,0.21839080459770113,PRUNED,2025-11-21 23:29:16.610635,2025-11-21 23:29:29.271784,0 days 00:00:12.661149,"[512, 512]",[],[],leakyrelu,512,16,0.0,0.0002,minmax,2,uniform,max,1e-06
43,0.4175194788689195,COMPLETE,2025-11-21 23:29:29.272795,2025-11-21 23:30:07.679690,0 days 00:00:38.406895,"[512, 512, 512]",[],[],elu,512,16,0.0,0.0002,minmax,3,uniform,max,0.0001
44,0.3265335965489508,PRUNED,2025-11-21 23:30:07.680693,2025-11-21 23:30:08.635958,0 days 00:00:00.955265,[512],[],[],elu,512,128,0.0,0.0002,minmax,1,uniform,max,0.0001
45,0.44538430095235765,COMPLETE,2025-11-21 23:30:08.636983,2025-11-21 23:30:25.896844,0 days 00:00:17.259861,"[512, 512]",[],[],elu,512,32,0.0,0.0002,minmax,2,uniform,max,0.0001
46,0.26820329110783586,COMPLETE,2025-11-21 23:30:25.899407,2025-11-21 23:30:44.903621,0 days 00:00:19.004214,[512],[],[],elu,512,32,0.0,2e-05,minmax,1,decreasing,max,0.0001
47,0.3723356819817357,COMPLETE,2025-11-21 23:30:44.905659,2025-11-21 23:31:06.378081,0 days 00:00:21.472422,"[384, 768]",[],[],elu,768,32,0.5,0.0002,L2,2,increasing,max,0.0001
48,0.4410206647933056,COMPLETE,2025-11-21 23:31:06.380125,2025-11-21 23:31:24.233852,0 days 00:00:17.853727,"[896, 896]",[],[],leakyrelu,896,32,0.0,0.0002,minmax,2,uniform,max,0.0001
49,0.4400782360551584,COMPLETE,2025-11-21 23:31:24.235868,2025-11-21 23:31:40.393495,0 days 00:00:16.157627,"[896, 896]",[],[],leakyrelu,896,32,0.0,0.0002,minmax,2,uniform,max,0.0001
