number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.36791967968914024,COMPLETE,2025-11-21 23:40:23.778949,2025-11-21 23:40:45.838228,0 days 00:00:22.059279,"[896, 448, 224, 112, 64]",[2],[1],elu,896,64,0.0,0.001,L2,5,decreasing,max,0.0001
1,0.490899794972106,COMPLETE,2025-11-21 23:40:45.839758,2025-11-21 23:41:08.868408,0 days 00:00:23.028650,"[256, 256, 256, 256, 256]",[2],[1],leakyrelu,256,48,0.1,0.0005,minmax,5,uniform,mean,0.0001
2,0.4487347000701483,COMPLETE,2025-11-21 23:41:08.870462,2025-11-21 23:41:26.129517,0 days 00:00:17.259055,"[128, 64]",[1],[],elu,128,48,0.3,5e-05,minmax,2,decreasing,mean,0.0001
3,0.21839080459770113,PRUNED,2025-11-21 23:41:26.131522,2025-11-21 23:41:27.921344,0 days 00:00:01.789822,"[64, 96, 192, 384]",[],[3],silu,384,64,0.2,5e-05,minmax,4,increasing,mean,0.0001
4,0.38850038850038854,PRUNED,2025-11-21 23:41:27.921344,2025-11-21 23:41:39.769875,0 days 00:00:11.848531,"[64, 64, 128, 256, 512]",[4],[2],relu,512,32,0.4,0.0001,minmax,5,increasing,mean,0.0
5,0.21839080459770113,PRUNED,2025-11-21 23:41:39.770896,2025-11-21 23:41:43.128694,0 days 00:00:03.357798,"[64, 64, 64, 128]",[3],[],tanh,128,128,0.4,0.0005,minmax,4,increasing,max,1e-06
6,0.1761006289308176,PRUNED,2025-11-21 23:41:43.129701,2025-11-21 23:41:46.371866,0 days 00:00:03.242165,"[384, 192, 96]",[],[],elu,384,48,0.2,5e-05,minmax,3,decreasing,max,1e-06
7,0.4706333161049906,COMPLETE,2025-11-21 23:41:46.371866,2025-11-21 23:42:03.164103,0 days 00:00:16.792237,"[64, 64, 64, 64, 128]",[4],[1],gelu,128,64,0.4,0.001,L2,5,increasing,mean,1e-06
8,0.4480716611864153,PRUNED,2025-11-21 23:42:03.165103,2025-11-21 23:42:07.444569,0 days 00:00:04.279466,[896],[],[],relu,896,64,0.5,0.0005,minmax,1,increasing,max,1e-05
9,0.20833333333333334,PRUNED,2025-11-21 23:42:07.445570,2025-11-21 23:42:10.308885,0 days 00:00:02.863315,"[96, 192, 384]",[2],[1],gelu,384,32,0.3,2e-05,minmax,3,increasing,max,0.0001
