number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
27,0.21839080459770113,PRUNED,2025-11-21 23:15:11.155687,2025-11-21 23:15:15.177329,0 days 00:00:04.021642,"[768, 384, 192]",[],[],gelu,768,32,0.2,0.0001,L2,3,decreasing,mean,1e-06
28,0.4470333554331073,COMPLETE,2025-11-21 23:15:15.177329,2025-11-21 23:15:48.794435,0 days 00:00:33.617106,"[64, 64, 128, 256]",[1],[1],gelu,256,48,0.2,5e-05,minmax,4,increasing,mean,0.0001
29,0.21839080459770113,PRUNED,2025-11-21 23:15:48.797445,2025-11-21 23:15:51.196010,0 days 00:00:02.398565,"[64, 64, 64, 128, 256]",[3],[1],leakyrelu,256,48,0.3,5e-05,minmax,5,increasing,mean,0.0001
30,0.30668555623018284,PRUNED,2025-11-21 23:15:51.196545,2025-11-21 23:15:55.253489,0 days 00:00:04.056944,"[64, 64, 64, 128]",[1],[2],tanh,128,48,0.5,5e-05,minmax,4,increasing,mean,0.0001
31,0.1761006289308176,PRUNED,2025-11-21 23:15:55.253489,2025-11-21 23:15:58.316260,0 days 00:00:03.062771,"[64, 64, 128, 256]",[],[1],gelu,256,48,0.2,5e-05,minmax,4,increasing,mean,0.0001
32,0.4372186201112577,COMPLETE,2025-11-21 23:15:58.316260,2025-11-21 23:16:16.824555,0 days 00:00:18.508295,"[256, 256, 256, 256, 256]",[1],[1],gelu,256,64,0.2,0.001,minmax,5,uniform,mean,0.0001
33,0.4470170829841559,COMPLETE,2025-11-21 23:16:16.824555,2025-11-21 23:16:34.660794,0 days 00:00:17.836239,"[256, 256, 256, 256, 256]",[2],[4],gelu,256,64,0.3,0.001,minmax,5,uniform,mean,0.0001
34,0.2963741563137175,PRUNED,2025-11-21 23:16:34.660794,2025-11-21 23:16:36.437613,0 days 00:00:01.776819,"[256, 256, 256, 256, 256]",[3],[4],silu,256,64,0.3,0.001,minmax,5,uniform,mean,0.0001
35,0.21839080459770113,PRUNED,2025-11-21 23:16:36.438616,2025-11-21 23:16:39.356039,0 days 00:00:02.917423,"[256, 256, 256, 256, 256]",[3],[4],leakyrelu,256,64,0.3,0.001,minmax,5,uniform,mean,0.0001
36,0.43425128570200344,COMPLETE,2025-11-21 23:16:39.356039,2025-11-21 23:16:55.873211,0 days 00:00:16.517172,"[256, 256, 256, 256, 256]",[2],[3],elu,256,64,0.3,0.001,minmax,5,uniform,mean,0.0001
37,0.18238993710691823,PRUNED,2025-11-21 23:16:55.875216,2025-11-21 23:17:06.852844,0 days 00:00:10.977628,"[256, 256, 256, 256, 256]",[2],[3],elu,256,64,0.3,0.001,minmax,5,uniform,mean,0.0001
38,0.1761006289308176,PRUNED,2025-11-21 23:17:06.859712,2025-11-21 23:17:09.832372,0 days 00:00:02.972660,"[256, 256, 256, 256, 256]",[2],[4],elu,256,64,0.3,0.001,minmax,5,uniform,mean,0.0001
39,0.1761006289308176,PRUNED,2025-11-21 23:17:09.832372,2025-11-21 23:17:13.455678,0 days 00:00:03.623306,"[1024, 1024, 1024, 1024, 1024]",[2],[3],elu,1024,64,0.3,0.0002,minmax,5,uniform,mean,0.0001
40,0.2552552552552552,PRUNED,2025-11-21 23:17:13.456682,2025-11-21 23:17:15.182468,0 days 00:00:01.725786,"[128, 128, 128, 128, 128]",[2],[3],elu,128,64,0.3,0.001,minmax,5,uniform,mean,0.0
41,0.21839080459770113,PRUNED,2025-11-21 23:17:15.183472,2025-11-21 23:17:18.211478,0 days 00:00:03.028006,"[256, 256, 256, 256, 256]",[3],[4],gelu,256,64,0.0,0.001,minmax,5,uniform,mean,0.0001
42,0.23511904761904764,PRUNED,2025-11-21 23:17:18.212481,2025-11-21 23:17:22.389348,0 days 00:00:04.176867,"[256, 256, 256, 256, 256]",[1],[2],tanh,256,48,0.4,2e-05,minmax,5,uniform,mean,0.0001
43,0.4103557096012123,COMPLETE,2025-11-21 23:17:22.390534,2025-11-21 23:17:35.716881,0 days 00:00:13.326347,"[256, 256, 256, 256, 256]",[2],[2],silu,256,64,0.0,0.001,minmax,5,uniform,mean,0.0001
44,0.4331718374011427,COMPLETE,2025-11-21 23:17:35.719891,2025-11-21 23:18:05.711136,0 days 00:00:29.991245,"[384, 384, 384, 384, 384]",[4],[2],gelu,384,32,0.3,0.0002,minmax,5,uniform,mean,0.0
45,0.42392223206737906,COMPLETE,2025-11-21 23:18:05.714800,2025-11-21 23:18:29.649189,0 days 00:00:23.934389,"[384, 384, 384, 384]",[3],[2],gelu,384,32,0.3,0.0002,minmax,4,uniform,mean,0.0
46,0.3976783483953197,COMPLETE,2025-11-21 23:18:29.649189,2025-11-21 23:18:57.361274,0 days 00:00:27.712085,"[64, 64, 96, 192, 384]",[4],[3],gelu,384,32,0.3,0.0002,minmax,5,increasing,mean,0.0
47,0.45317526591423574,COMPLETE,2025-11-21 23:18:57.361274,2025-11-21 23:19:24.628858,0 days 00:00:27.267584,"[384, 384, 384, 384, 384]",[4],[3],elu,384,32,0.3,0.0002,minmax,5,uniform,mean,0.0
48,0.21238938053097345,PRUNED,2025-11-21 23:19:24.637009,2025-11-21 23:19:31.935319,0 days 00:00:07.298310,"[384, 384, 384, 384]",[1],[1],elu,384,96,0.4,0.001,minmax,4,uniform,mean,1e-06
49,0.2623374855353618,PRUNED,2025-11-21 23:19:31.936567,2025-11-21 23:19:33.630354,0 days 00:00:01.693787,"[64, 64, 128, 256, 512]",[2],[3],elu,512,64,0.3,0.0001,minmax,5,increasing,mean,0.0
