number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
0,0.42265795734673217,COMPLETE,2025-11-21 22:58:47.341533,2025-11-21 22:59:17.608271,0 days 00:00:30.266738,[384],[],[],elu,384,16,0.4,0.0002,L2,1,uniform,mean,0.0001
1,0.46377738856981016,COMPLETE,2025-11-21 22:59:17.608271,2025-11-21 22:59:35.023100,0 days 00:00:17.414829,"[256, 128, 64]",[2],[1],leakyrelu,256,32,0.0,0.0002,minmax,3,decreasing,mean,1e-05
2,0.43097125616318543,COMPLETE,2025-11-21 22:59:35.023100,2025-11-21 23:00:05.817243,0 days 00:00:30.794143,"[256, 256, 256, 256, 256]",[3],[2],gelu,256,32,0.5,2e-05,minmax,5,uniform,max,0.0
3,0.462822843970899,COMPLETE,2025-11-21 23:00:05.817243,2025-11-21 23:00:22.605945,0 days 00:00:16.788702,"[896, 896, 896, 896, 896]",[],[3],relu,896,64,0.1,2e-05,minmax,5,uniform,mean,0.0
4,0.1761006289308176,PRUNED,2025-11-21 23:00:22.605945,2025-11-21 23:00:27.214283,0 days 00:00:04.608338,"[192, 384]",[1],[1],elu,384,16,0.5,0.0002,L2,2,increasing,max,0.0
5,0.21839080459770113,PRUNED,2025-11-21 23:00:27.214283,2025-11-21 23:00:28.798421,0 days 00:00:01.584138,"[384, 384, 384]",[],[],gelu,384,96,0.0,0.0005,minmax,3,uniform,max,1e-05
6,0.1761006289308176,PRUNED,2025-11-21 23:00:28.798421,2025-11-21 23:00:31.241794,0 days 00:00:02.443373,"[64, 128, 256, 512]",[3],[1],relu,512,48,0.4,5e-05,L2,4,increasing,mean,0.0
7,0.21839080459770113,PRUNED,2025-11-21 23:00:31.241794,2025-11-21 23:00:41.834603,0 days 00:00:10.592809,[768],[],[],gelu,768,16,0.3,0.0001,minmax,1,uniform,mean,1e-05
8,0.21839080459770113,PRUNED,2025-11-21 23:00:41.850728,2025-11-21 23:00:43.771112,0 days 00:00:01.920384,[128],[],[],relu,128,128,0.4,0.0005,L2,1,decreasing,mean,0.0001
9,0.08888888888888889,PRUNED,2025-11-21 23:00:43.771112,2025-11-21 23:00:47.390005,0 days 00:00:03.618893,"[768, 384, 192, 96, 64]",[1],[4],relu,768,32,0.0,2e-05,L2,5,decreasing,max,0.0
10,0.20648967551622419,PRUNED,2025-11-21 23:00:47.390005,2025-11-21 23:00:50.443063,0 days 00:00:03.053058,"[256, 128, 64]",[2],[1],leakyrelu,256,32,0.2,1e-05,minmax,3,decreasing,mean,1e-06
11,0.18238993710691823,PRUNED,2025-11-21 23:00:50.444078,2025-11-21 23:00:58.029302,0 days 00:00:07.585224,"[896, 448, 224, 112]",[2],[3],silu,896,64,0.1,0.001,minmax,4,decreasing,mean,1e-05
12,0.4228052446549081,COMPLETE,2025-11-21 23:00:58.029302,2025-11-21 23:01:08.469083,0 days 00:00:10.439781,"[1024, 1024, 1024, 1024]",[2],[2],leakyrelu,1024,64,0.1,0.0002,minmax,4,uniform,mean,1e-06
13,0.3563636363636364,PRUNED,2025-11-21 23:01:08.469083,2025-11-21 23:01:13.138187,0 days 00:00:04.669104,"[896, 448]",[],[1],tanh,896,64,0.1,2e-05,minmax,2,decreasing,mean,1e-05
