id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
13,20251219_172111,gaitpart_16steps_concat.csv,Preset_3,TCN,42,512,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11958,2.49444,0.40909,0.31081,"[0.5, 0.0, 0.43243]",333,0.34304,2.96336,0.45455,0.42984,"[0.4, 0.35294, 0.53659]",277,COMPLETED,44.006
14,20251219_172111,gaitset_62steps_concat.csv,Preset_3,TCN,42,768,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14758,2.55797,0.43182,0.34048,"[0.45, 0.0, 0.57143]",389,0.47859,1.87111,0.54545,0.52534,"[0.5, 0.44444, 0.63158]",241,COMPLETED,105.367
15,20251219_172111,gln_93steps_concat.csv,Preset_3,TCN,42,512,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12606,2.28574,0.43182,0.39167,"[0.55, 0.25, 0.375]",170,0.14911,1.84406,0.56818,0.53222,"[0.63415, 0.4, 0.5625]",150,COMPLETED,58.449

16,20251219_172111,baseline_31steps_concat.csv,Preset_4,TCN,42,512,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14361,2.41162,0.40909,0.30303,"[0.36364, 0.0, 0.54545]",311,0.4999,1.26862,0.59091,0.47804,"[0.69231, 0.18182, 0.56]",243,COMPLETED,39.617
17,20251219_172111,gaitgl_64steps_concat.csv,Preset_4,TCN,42,768,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12542,1.71588,0.45455,0.33019,"[0.55814, 0.0, 0.43243]",372,0.63031,1.19606,0.61364,0.54985,"[0.69767, 0.36364, 0.58824]",286,COMPLETED,77.204
18,20251219_172111,gaitpart_16steps_concat.csv,Preset_4,TCN,42,512,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10442,1.09681,0.36364,0.17778,"[0.0, 0.0, 0.53333]",193,1.10442,1.09681,0.36364,0.17778,"[0.0, 0.0, 0.53333]",193,STOPPED,19.489
19,20251219_172111,gaitset_62steps_concat.csv,Preset_4,TCN,42,768,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10427,1.09593,0.47727,0.21538,"[0.64615, 0.0, 0.0]",185,1.10427,1.09593,0.47727,0.21538,"[0.64615, 0.0, 0.0]",185,STOPPED,37.688
20,20251219_172111,gln_93steps_concat.csv,Preset_4,TCN,42,512,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10219,1.71837,0.56818,0.40186,"[0.65385, 0.0, 0.55172]",394,0.17931,1.47471,0.63636,0.56888,"[0.7451, 0.46154, 0.5]",384,COMPLETED,98.131

21,20251219_172111,baseline_31steps_concat.csv,Preset_5,TCN,42,512,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13552,2.61441,0.45455,0.41858,"[0.52381, 0.30769, 0.42424]",229,0.22414,2.61392,0.56818,0.51977,"[0.5641, 0.36364, 0.63158]",197,COMPLETED,30.365
22,20251219_172111,gaitgl_64steps_concat.csv,Preset_5,TCN,42,768,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.1046,1.09635,0.36364,0.17778,"[0.0, 0.0, 0.53333]",107,1.1046,1.09635,0.36364,0.17778,"[0.0, 0.0, 0.53333]",107,STOPPED,22.93
23,20251219_172111,gaitpart_16steps_concat.csv,Preset_5,TCN,42,512,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10448,1.09362,0.47727,0.21538,"[0.64615, 0.0, 0.0]",120,1.10448,1.09362,0.47727,0.21538,"[0.64615, 0.0, 0.0]",120,STOPPED,12.456
24,20251219_172111,gaitset_62steps_concat.csv,Preset_5,TCN,42,768,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13198,2.84513,0.38636,0.38173,"[0.4375, 0.30769, 0.4]",360,0.67441,1.29889,0.52273,0.50037,"[0.45714, 0.42857, 0.61538]",274,COMPLETED,75.599
25,20251219_172111,gln_93steps_concat.csv,Preset_5,TCN,42,512,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12944,1.87904,0.45455,0.34444,"[0.5, 0.0, 0.53333]",191,0.24552,1.68513,0.52273,0.47719,"[0.63158, 0.2, 0.6]",163,COMPLETED,48.916

26,20251219_172111,baseline_31steps_concat.csv,Preset_6,TCN,42,512,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14348,2.89555,0.34091,0.30006,"[0.36842, 0.14286, 0.38889]",244,0.38177,1.93173,0.47727,0.41298,"[0.47619, 0.22222, 0.54054]",154,COMPLETED,21.769
27,20251219_172111,gaitgl_64steps_concat.csv,Preset_6,TCN,42,768,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12911,1.83155,0.38636,0.32536,"[0.48889, 0.15385, 0.33333]",182,0.29257,1.49797,0.47727,0.45,"[0.55, 0.3, 0.5]",149,COMPLETED,23.258
28,20251219_172111,gaitpart_16steps_concat.csv,Preset_6,TCN,42,512,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13571,1.47783,0.52273,0.52435,"[0.59091, 0.625, 0.35714]",311,0.18293,1.43741,0.61364,0.62445,"[0.63415, 0.70588, 0.53333]",264,COMPLETED,25.756
29,20251219_172111,gaitset_62steps_concat.csv,Preset_6,TCN,42,768,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13885,2.59123,0.40909,0.35175,"[0.53333, 0.10526, 0.41667]",282,0.57079,1.6277,0.45455,0.43915,"[0.42857, 0.33333, 0.55556]",182,COMPLETED,35.323
