id,timestamp,target_embedding,source_params,model,seed,channels,dilations,ln_block_end,dropout,num_blocks,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
11,20251203_233838,gaitset_OUMVLP.csv,baseline_CASIAB,TCN,42,"[256, 256]","[2, 3]","[True, True]","[0.0, 0.2]",2,9,1,relu,False,True,max,64,96,RMSprop,,0.0001,1e-05,L2,256,0.06089,1.60245,0.43182,0.3094,"[0.375, 0.0, 0.55319]",0.5,0.49746,"[0.52941, 0.37037, 0.59259]",635,0.18098,1.3957,680,COMPLETED,38.813
12,20251203_233838,gln_phase1.csv,baseline_CASIAB,TCN,42,"[256, 256]","[2, 3]","[True, True]","[0.0, 0.2]",2,9,1,relu,False,True,max,64,96,RMSprop,,0.0001,1e-05,L2,256,0.07824,1.19237,0.5,0.45719,"[0.68293, 0.30769, 0.38095]",0.61364,0.58144,"[0.68182, 0.5, 0.5625]",75,0.63143,0.97662,148,COMPLETED,10.977
13,20251203_233838,gln_phase2.csv,baseline_CASIAB,TCN,42,"[256, 256]","[2, 3]","[True, True]","[0.0, 0.2]",2,9,1,relu,False,True,max,64,96,RMSprop,,0.0001,1e-05,L2,256,0.09755,1.0158,0.56818,0.40519,"[0.65306, 0.0, 0.5625]",0.56818,0.52786,"[0.65, 0.35294, 0.58065]",113,0.12127,1.07045,124,COMPLETED,9.297

14,20251203_234140,baseline_CASIAB.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.03103,3.67071,0.43182,0.36489,"[0.61905, 0.10526, 0.37037]",0.5,0.43034,"[0.58537, 0.125, 0.58065]",36,0.3022,1.77307,47,COMPLETED,14.604
15,20251203_234140,baseline_OUMVLP.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.01817,3.03554,0.5,0.42489,"[0.53659, 0.16667, 0.57143]",0.61364,0.51641,"[0.65217, 0.25, 0.64706]",67,0.13271,2.28248,73,COMPLETED,22.986
16,20251203_234140,gaitgl.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,128,0.01777,3.91853,0.36364,0.33397,"[0.47619, 0.28571, 0.24]",0.47727,0.43326,"[0.58824, 0.46154, 0.25]",32,0.40778,1.63695,44,COMPLETED,12.746
17,20251203_234140,gaitgl_GREW.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.01982,1.69449,0.59091,0.42692,"[0.65217, 0.0, 0.62857]",0.63636,0.57542,"[0.69767, 0.4, 0.62857]",37,0.05771,1.3118,41,COMPLETED,12.475
18,20251203_234140,gaitgl_GREW_BNNeck.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.02427,3.05012,0.43182,0.38902,"[0.52174, 0.21053, 0.43478]",0.52273,0.45513,"[0.61538, 0.33333, 0.41667]",52,0.08091,2.44988,56,COMPLETED,16.335
19,20251203_234140,gaitgl_OUMVLP.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.04163,3.36126,0.38636,0.35294,"[0.53659, 0.22222, 0.3]",0.52273,0.5,"[0.57143, 0.42857, 0.5]",67,0.23292,1.34805,86,COMPLETED,24.673
