id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,causal,use_weight_norm,wn_on_skip,pooling,fc_hidden,attention_proj,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,dropout,ln_block_end,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,time_sec
706,20251005_205708,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[192, 224, 256, 320]","[1, 2, 4, 8]",11,2,gelu,True,True,True,mean,256.0,False,96,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.2]","[True, True, True, True]",0.03038,0.56818,127,0.38619,0.58762,113,0.20445,COMPLETED,41.157
146,20251002_050441,gaitgl_OUMVLP.csv,gaitset_GREW.csv,TCN,42,256,2,"[128, 128]","[2, 5]",5,2,tanh,True,False,False,attention,64.0,True,96,Adam,,0.001,2e-06,L2,"[0.2, 0.0]","[True, True]",0.06724,0.52273,275,0.47465,0.58709,259,0.21764,STOPPED,25.357
530,20251004_160233,gaitset_OUMVLP.csv,Personalizado_v2,TCN,42,256,2,"[192, 256]","[1, 2]",5,2,gelu,True,True,False,max,,False,96,AdamW,,0.0002,1e-06,L2,"[0.1, 0.2]","[True, True]",0.05928,0.59091,330,0.47975,0.58462,242,0.29309,COMPLETED,29.758
176,20251002_051040,gaitpart_GREW.csv,gln_phase1.csv,TCN,42,256,1,[896],[3],7,1,mish,True,True,False,max,512.0,False,96,RMSprop,,0.0001,1e-05,L2,[0.0],[False],0.08609,0.27273,365,0.27216,0.58455,339,0.12978,STOPPED,177.455
380,20251004_134426,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,2,"[192, 256]","[1, 2]",5,2,relu,True,True,False,max,,False,64,SGD,0.0,0.0003,0.0,L2,"[0.1, 0.2]","[True, True]",0.06917,0.61364,156,0.51466,0.58042,152,0.09582,COMPLETED,12.661
246,20251003_223527,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,4,"[192, 256, 384, 512]","[1, 2, 4, 8]",5,2,leakyrelu,True,True,True,attention,256.0,True,64,AdamW,,0.0002,5e-07,L2,"[None, 0.05, 0.1, 0.1]","[True, True, False, False]",0.00967,0.61364,88,0.57937,0.57937,88,0.00967,COMPLETED,12.079
678,20251005_205708,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[256, 256, 256]","[1, 2, 4]",9,3,silu,False,True,True,mean,256.0,False,64,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.2]","[True, True, False]",0.04434,0.47727,166,0.46645,0.57355,133,0.33353,COMPLETED,42.498
204,20251003_223527,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,2,"[96, 128]","[1, 2]",3,2,relu,True,True,True,max,,False,32,Adam,,0.0002,0.0,minmax,"[None, 0.05]","[True, True]",0.01495,0.54545,125,0.44732,0.5733,124,0.01989,COMPLETED,11.175
478,20251004_160233,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[128, 192, 256]","[1, 2, 4]",5,2,gelu,True,True,True,attention,256.0,True,64,AdamW,,0.00018,1e-06,L2,"[None, 0.1, 0.2]","[True, True, True]",0.03898,0.54545,64,0.45913,0.57075,49,0.27815,COMPLETED,6.012
632,20251004_160233,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[192, 256, 384, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,True,attention,,True,64,AdamW,,0.00015,1e-06,L2,"[None, 0.1, 0.15, 0.2]","[True, True, True, True]",0.04709,0.54545,60,0.43704,0.57037,59,0.06262,COMPLETED,10.923
274,20251003_223527,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,3,"[192, 256, 384]","[1, 2, 4]",5,2,relu,True,True,True,attention,256.0,True,96,AdamW,,0.0001,1e-06,L2,"[0.05, 0.1, 0.1]","[True, True, True]",0.04855,0.56818,176,0.52193,0.56845,147,0.23093,COMPLETED,13.888
373,20251004_134426,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[192, 256, 320]","[1, 3, 5]",3,2,leakyrelu,True,True,False,max,,False,96,AdamW,,0.0002,5e-07,L2,"[None, 0.1, 0.1]","[True, True, True]",0.07395,0.5,205,0.40075,0.56645,203,0.06012,COMPLETED,14.336
574,20251004_160233,gln_phase2.csv,Personalizado_v2,TCN,42,256,3,"[192, 256, 384]","[1, 3, 5]",5,1,leakyrelu,True,True,True,last,,False,64,AdamW,,0.00015,1e-06,L2,"[None, 0.1, 0.2]","[True, True, True]",0.04124,0.47727,42,0.34423,0.56567,26,0.28975,COMPLETED,5.3
36,20251001_230054,gaitpart_GREW.csv,gaitgl.csv,TCN,42,256,1,[96],[2],3,2,relu,True,True,True,max,,False,32,Adam,,0.0002,0.0,minmax,[0.0],[True],0.04168,0.40909,224,0.37944,0.56554,175,0.18017,STOPPED,14.279
554,20251004_160233,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 640]","[1, 2, 4, 8]",5,1,silu,True,True,True,attention,512.0,True,32,AdamW,,0.00015,5e-07,L2,"[None, 0.1, 0.15, 0.2]","[True, True, True, True]",0.01062,0.56818,66,0.45761,0.56214,64,0.0072,COMPLETED,10.261
611,20251004_160233,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[128, 192, 256, 384]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,,False,64,AdamW,,0.0002,1e-06,L2,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",0.05244,0.56818,107,0.47386,0.56112,88,0.30876,COMPLETED,10.665
156,20251002_050854,baseline_OUMVLP.csv,gaitset_OUMVLP.csv,TCN,42,256,2,"[96, 128]","[1, 2]",9,2,silu,False,False,False,max,,False,32,AdamW,,0.0001,1e-07,L2,"[0.0, 0.0]","[True, False]",0.07157,0.52273,57,0.50373,0.56085,45,0.17121,STOPPED,6.304
