id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
13,20251219_172111,gaitpart_16steps_mean.csv,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10709,1.87465,0.52273,0.46838,"[0.66667, 0.2, 0.53846]",579,0.1864,1.98767,0.56818,0.55214,"[0.7027, 0.37037, 0.58333]",482,COMPLETED,76.641
14,20251219_172111,gaitset_62steps_mean.csv,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13061,2.64957,0.45455,0.36825,"[0.57143, 0.0, 0.53333]",417,0.57385,2.71193,0.5,0.46032,"[0.61905, 0.33333, 0.42857]",303,COMPLETED,96.151
15,20251219_172111,gln_93steps_mean.csv,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12537,2.18287,0.36364,0.32567,"[0.46512, 0.09524, 0.41667]",148,0.74878,1.22091,0.47727,0.46828,"[0.48485, 0.32, 0.6]",94,COMPLETED,44.186

16,20251219_172111,baseline_31steps_mean.csv,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10633,2.37798,0.40909,0.38733,"[0.41026, 0.2, 0.55172]",619,0.37158,2.10797,0.56818,0.52994,"[0.62222, 0.375, 0.59259]",423,COMPLETED,72.514
17,20251219_172111,gaitgl_64steps_mean.csv,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10425,1.08984,0.47727,0.21538,"[0.64615, 0.0, 0.0]",110,1.10425,1.08984,0.47727,0.21538,"[0.64615, 0.0, 0.0]",110,STOPPED,18.101
18,20251219_172111,gaitpart_16steps_mean.csv,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10469,1.08947,0.47727,0.21538,"[0.64615, 0.0, 0.0]",112,1.10469,1.08947,0.47727,0.21538,"[0.64615, 0.0, 0.0]",112,STOPPED,10.465
19,20251219_172111,gaitset_62steps_mean.csv,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.1061,1.08145,0.47727,0.21538,"[0.64615, 0.0, 0.0]",103,1.1061,1.08145,0.47727,0.21538,"[0.64615, 0.0, 0.0]",103,STOPPED,16.825
20,20251219_172111,gln_93steps_mean.csv,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13585,3.32922,0.29545,0.26984,"[0.5, 0.14286, 0.16667]",374,0.41185,2.27732,0.45455,0.43932,"[0.41379, 0.36364, 0.54054]",296,COMPLETED,84.296

21,20251219_172111,baseline_31steps_mean.csv,Preset_5,TCN,42,256,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13143,2.4084,0.43182,0.36852,"[0.38889, 0.16667, 0.55]",200,0.59024,1.32417,0.56818,0.47972,"[0.58537, 0.22222, 0.63158]",124,COMPLETED,25.553
22,20251219_172111,gaitgl_64steps_mean.csv,Preset_5,TCN,42,256,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12515,2.01135,0.36364,0.34366,"[0.38889, 0.19048, 0.45161]",118,0.13056,1.8115,0.47727,0.44066,"[0.5, 0.30769, 0.51429]",115,COMPLETED,21.133
23,20251219_172111,gaitpart_16steps_mean.csv,Preset_5,TCN,42,256,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10863,2.05039,0.54545,0.51087,"[0.62857, 0.31579, 0.58824]",554,0.73289,1.90529,0.65909,0.58906,"[0.70588, 0.36364, 0.69767]",353,COMPLETED,57.087
24,20251219_172111,gaitset_62steps_mean.csv,Preset_5,TCN,42,256,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13742,2.16703,0.43182,0.38411,"[0.57143, 0.21053, 0.37037]",486,0.59595,1.73189,0.5,0.45592,"[0.54545, 0.28571, 0.53659]",290,COMPLETED,85.624
25,20251219_172111,gln_93steps_mean.csv,Preset_5,TCN,42,256,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,minmax,"[0.05, 0.1, 0.1]",96,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1268,1.74646,0.43182,0.34237,"[0.51282, 0.0, 0.51429]",204,0.56213,1.45517,0.59091,0.48237,"[0.69388, 0.18182, 0.57143]",136,COMPLETED,47.535

26,20251219_172111,baseline_31steps_mean.csv,Preset_6,TCN,42,256,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13708,2.66025,0.45455,0.35253,"[0.59091, 0.0, 0.46667]",298,0.56072,1.53507,0.56818,0.47672,"[0.61905, 0.2, 0.61111]",131,COMPLETED,24.829
27,20251219_172111,gaitgl_64steps_mean.csv,Preset_6,TCN,42,256,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12876,1.57933,0.45455,0.42593,"[0.5, 0.33333, 0.44444]",172,0.15617,1.54229,0.56818,0.52632,"[0.57895, 0.4, 0.6]",167,COMPLETED,15.562
28,20251219_172111,gaitpart_16steps_mean.csv,Preset_6,TCN,42,256,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14438,1.4857,0.52273,0.47341,"[0.55556, 0.28571, 0.57895]",497,0.19209,1.40816,0.63636,0.56667,"[0.7, 0.33333, 0.66667]",421,COMPLETED,42.826
29,20251219_172111,gaitset_62steps_mean.csv,Preset_6,TCN,42,256,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12765,2.45703,0.40909,0.38618,"[0.54054, 0.26087, 0.35714]",659,0.25344,2.49542,0.52273,0.53284,"[0.51429, 0.57143, 0.51282]",628,COMPLETED,69.295
30,20251219_172111,gln_93steps_mean.csv,Preset_6,TCN,42,256,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13518,1.61421,0.40909,0.3532,"[0.46512, 0.14286, 0.45161]",353,0.32288,1.50378,0.59091,0.48492,"[0.70833, 0.15385, 0.59259]",229,COMPLETED,43.5

31,20251219_172111,baseline_31steps_mean.csv,Preset_7,TCN,42,256,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14701,2.33822,0.5,0.43397,"[0.4878, 0.25, 0.5641]",198,0.18365,2.30587,0.5,0.45704,"[0.52381, 0.26667, 0.58065]",173,COMPLETED,17.085
32,20251219_172111,gaitgl_64steps_mean.csv,Preset_7,TCN,42,256,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13078,2.06477,0.47727,0.43758,"[0.48649, 0.28571, 0.54054]",107,0.47235,2.041,0.54545,0.48421,"[0.62745, 0.36364, 0.46154]",82,COMPLETED,13.154
