id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
118,baseline_CASIAB.csv,0.526,0.57355,0.04755,0.667 / 0.429 / 0.483,0.696 / 0.400 / 0.625,0.029 / -0.029 / 0.142
119,baseline_OUMVLP.csv,0.60166,0.49767,-0.10399,0.694 / 0.444 / 0.667,0.571 / 0.333 / 0.588,-0.122 / -0.111 / -0.078
120,gaitgl.csv,0.46758,0.37917,-0.08841,0.595 / 0.250 / 0.558,0.450 / 0.250 / 0.438,-0.145 / 0.000 / -0.121
121,gaitgl_GREW.csv,0.37715,0.51431,0.13716,0.541 / 0.000 / 0.591,0.682 / 0.250 / 0.611,0.141 / 0.250 / 0.020
122,gaitgl_GREW_BNNeck.csv,0.42273,0.52846,0.10573,0.618 / 0.250 / 0.400,0.638 / 0.429 / 0.519,0.020 / 0.179 / 0.119
123,gaitgl_OUMVLP.csv,0.51667,0.50486,-0.01181,0.650 / 0.250 / 0.650,0.694 / 0.200 / 0.621,0.044 / -0.050 / -0.029
124,gaitpart_GREW.csv,0.53818,0.53182,-0.00636,0.588 / 0.500 / 0.526,0.650 / 0.400 / 0.545,0.062 / -0.100 / 0.019
125,gaitpart_OUMVLP.csv,0.50137,0.54774,0.04637,0.667 / 0.286 / 0.552,0.684 / 0.353 / 0.606,0.018 / 0.067 / 0.054
126,gaitset.csv,0.43009,0.47619,0.0461,0.545 / 0.400 / 0.345,0.667 / 0.333 / 0.429,0.121 / -0.067 / 0.084
127,gaitset_GREW.csv,0.45489,0.42509,-0.0298,0.579 / 0.286 / 0.500,0.550 / 0.154 / 0.571,-0.029 / -0.132 / 0.071
128,gaitset_OUMVLP.csv,0.58442,0.59263,0.00821,0.682 / 0.500 / 0.571,0.696 / 0.462 / 0.621,0.014 / -0.038 / 0.049
129,gln_phase1.csv,0.50311,0.49405,-0.00906,0.652 / 0.286 / 0.571,0.714 / 0.143 / 0.625,0.062 / -0.143 / 0.054
130,gln_phase2.csv,0.4849,0.49304,0.00814,0.537 / 0.444 / 0.474,0.600 / 0.308 / 0.571,0.063 / -0.137 / 0.098
144,baseline_CASIAB.csv,0.43889,0.43835,-0.00054,0.583 / 0.200 / 0.533,0.474 / 0.235 / 0.606,-0.110 / 0.035 / 0.073
145,baseline_OUMVLP.csv,0.47795,0.54408,0.06613,0.585 / 0.182 / 0.667,0.486 / 0.462 / 0.684,-0.099 / 0.280 / 0.018
146,gaitgl.csv,0.41358,0.55051,0.13693,0.488 / 0.353 / 0.400,0.500 / 0.727 / 0.424,0.012 / 0.374 / 0.024
147,gaitgl_GREW.csv,0.37843,0.40271,0.02428,0.345 / 0.333 / 0.457,0.625 / 0.235 / 0.348,0.280 / -0.098 / -0.109
148,gaitgl_GREW_BNNeck.csv,0.44326,0.53233,0.08907,0.667 / 0.545 / 0.118,0.717 / 0.400 / 0.480,0.050 / -0.145 / 0.362
149,gaitgl_OUMVLP.csv,0.50123,0.52524,0.02401,0.651 / 0.143 / 0.710,0.708 / 0.222 / 0.645,0.057 / 0.079 / -0.065
150,gaitpart_GREW.csv,0.43667,0.49652,0.05985,0.471 / 0.353 / 0.486,0.526 / 0.375 / 0.588,0.056 / 0.022 / 0.102
151,gaitpart_OUMVLP.csv,0.21538,0.42857,0.21319,0.646 / 0.000 / 0.000,0.387 / 0.308 / 0.591,-0.259 / 0.308 / 0.591
152,gaitset.csv,0.51786,0.50035,-0.01751,0.429 / 0.500 / 0.625,0.513 / 0.400 / 0.588,0.084 / -0.100 / -0.037
153,gaitset_GREW.csv,0.38333,0.44372,0.06039,0.700 / 0.250 / 0.200,0.636 / 0.308 / 0.387,-0.064 / 0.058 / 0.187
154,gaitset_OUMVLP.csv,0.46846,0.33939,-0.12907,0.717 / 0.167 / 0.522,0.655 / 0.182 / 0.182,-0.062 / 0.015 / -0.340
155,gln_phase1.csv,0.60404,0.6519,0.04786,0.667 / 0.600 / 0.545,0.634 / 0.588 / 0.733,-0.033 / -0.012 / 0.188
156,gln_phase2.csv,0.56427,0.53614,-0.02813,0.471 / 0.556 / 0.667,0.513 / 0.471 / 0.625,0.042 / -0.085 / -0.042
157,baseline_CASIAB.csv,0.38586,0.41977,0.03391,0.533 / 0.200 / 0.424,0.500 / 0.308 / 0.452,-0.033 / 0.108 / 0.027
158,baseline_OUMVLP.csv,0.49392,0.48296,-0.01096,0.296 / 0.545 / 0.640,0.667 / 0.222 / 0.560,0.370 / -0.323 / -0.080
159,gaitgl.csv,0.45424,0.44444,-0.0098,0.578 / 0.333 / 0.452,0.562 / 0.333 / 0.438,-0.015 / 0.000 / -0.014
160,gaitgl_GREW.csv,0.52142,0.5316,0.01018,0.632 / 0.381 / 0.552,0.632 / 0.375 / 0.588,0.000 / -0.006 / 0.037
161,gaitgl_GREW_BNNeck.csv,0.50223,0.47933,-0.0229,0.564 / 0.364 / 0.579,0.541 / 0.333 / 0.564,-0.024 / -0.030 / -0.015
162,gaitgl_OUMVLP.csv,0.21538,0.43333,0.21795,0.646 / 0.000 / 0.000,0.600 / 0.200 / 0.500,-0.046 / 0.200 / 0.500
163,gaitpart_GREW.csv,0.48485,0.59458,0.10973,0.545 / 0.364 / 0.545,0.638 / 0.545 / 0.600,0.093 / 0.182 / 0.055
164,gaitpart_OUMVLP.csv,0.21538,0.50811,0.29273,0.646 / 0.000 / 0.000,0.739 / 0.267 / 0.519,0.093 / 0.267 / 0.519
165,gaitset.csv,0.49293,0.53434,0.04141,0.533 / 0.400 / 0.545,0.651 / 0.364 / 0.588,0.118 / -0.036 / 0.043
166,gaitset_GREW.csv,0.48373,0.53287,0.04914,0.529 / 0.364 / 0.558,0.611 / 0.300 / 0.688,0.082 / -0.064 / 0.129
167,gaitset_OUMVLP.csv,0.21538,0.54074,0.32536,0.646 / 0.000 / 0.000,0.600 / 0.556 / 0.467,-0.046 / 0.556 / 0.467
168,gln_phase1.csv,0.65751,0.59583,-0.06168,0.611 / 0.727 / 0.634,0.541 / 0.615 / 0.632,-0.071 / -0.112 / -0.003
169,gln_phase2.csv,0.4899,0.52867,0.03877,0.424 / 0.545 / 0.500,0.541 / 0.545 / 0.500,0.116 / 0.000 / 0.000
170,baseline_CASIAB.csv,0.51774,0.49984,-0.0179,0.524 / 0.500 / 0.529,0.706 / 0.222 / 0.571,0.182 / -0.278 / 0.042
171,baseline_OUMVLP.csv,0.4596,0.45051,-0.00909,0.591 / 0.182 / 0.606,0.485 / 0.267 / 0.600,-0.106 / 0.085 / -0.006
172,gaitgl.csv,0.45589,0.48387,0.02798,0.432 / 0.462 / 0.474,0.579 / 0.421 / 0.452,0.147 / -0.040 / -0.022
173,gaitgl_GREW.csv,0.562,0.44353,-0.11847,0.541 / 0.545 / 0.600,0.596 / 0.250 / 0.485,0.055 / -0.295 / -0.115
174,gaitgl_GREW_BNNeck.csv,0.21538,0.4956,0.28022,0.646 / 0.000 / 0.000,0.571 / 0.300 / 0.615,-0.075 / 0.300 / 0.615
175,gaitgl_OUMVLP.csv,0.43232,0.36792,-0.0644,0.364 / 0.400 / 0.533,0.604 / 0.000 / 0.500,0.240 / -0.400 / -0.033
176,gaitpart_GREW.csv,0.49022,0.55179,0.06157,0.619 / 0.400 / 0.452,0.640 / 0.615 / 0.400,0.021 / 0.215 / -0.052
177,gaitpart_OUMVLP.csv,0.56891,0.47444,-0.09447,0.651 / 0.444 / 0.611,0.533 / 0.250 / 0.640,-0.118 / -0.194 / 0.029
178,gaitset.csv,0.46528,0.50524,0.03996,0.583 / 0.250 / 0.562,0.571 / 0.364 / 0.581,-0.012 / 0.114 / 0.018
179,gaitset_GREW.csv,0.44349,0.58709,0.1436,0.667 / 0.250 / 0.414,0.667 / 0.500 / 0.595,0.000 / 0.250 / 0.181
180,gaitset_OUMVLP.csv,0.56235,0.47633,-0.08602,0.723 / 0.364 / 0.600,0.585 / 0.364 / 0.480,-0.138 / 0.000 / -0.120
181,gln_phase1.csv,0.71622,0.65579,-0.06043,0.667 / 0.833 / 0.649,0.739 / 0.588 / 0.640,0.072 / -0.245 / -0.009
182,gln_phase2.csv,0.55256,0.50538,-0.04718,0.683 / 0.364 / 0.611,0.579 / 0.421 / 0.516,-0.104 / 0.057 / -0.095
261,baseline_CASIAB.csv,0.47475,0.53535,0.0606,0.591 / 0.333 / 0.500,0.636 / 0.364 / 0.606,0.045 / 0.030 / 0.106
