id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
187,20251011_211257,gaitgl_GREW_BNNeck.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00514,0.47727,108,0.21538,0.21538,108,,STOPPED,67.714
188,20251011_211257,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00574,0.47727,165,0.21538,0.21538,165,,STOPPED,103.418
189,20251011_211257,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00527,0.47727,169,0.21538,0.21538,169,,STOPPED,38.357
190,20251011_211257,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00586,0.47727,305,0.21538,0.21538,305,,STOPPED,69.389
191,20251011_211257,gaitset.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00556,0.47727,124,0.21538,0.21538,124,,STOPPED,76.751
192,20251011_211257,gaitset_GREW.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00604,0.47727,129,0.21538,0.21538,129,,STOPPED,79.85
193,20251011_211257,gaitset_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00908,0.47727,103,0.21538,0.21538,103,,STOPPED,63.746
194,20251011_211257,gln_phase1.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00576,0.47727,106,0.21538,0.21538,106,,STOPPED,92.371
195,20251011_211257,gln_phase2.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00735,0.47727,188,0.21538,0.21538,188,,STOPPED,163.289

196,20251011_211257,baseline_CASIAB.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00579,0.47727,132,0.21538,0.21538,132,,STOPPED,26.349
197,20251011_211257,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.01022,0.47727,175,0.21538,0.21538,175,,STOPPED,34.802
198,20251011_211257,gaitgl.csv,Personalizado_v2,TCN,42,128,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00949,0.47727,237,0.21538,0.21538,237,,STOPPED,78.368
199,20251011_211257,gaitgl_GREW.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00573,0.47727,121,0.21538,0.21538,121,,STOPPED,41.4
200,20251011_211257,gaitgl_GREW_BNNeck.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00581,0.47727,187,0.21538,0.21538,187,,STOPPED,63.452
201,20251011_211257,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00568,0.47727,131,0.21538,0.21538,131,,STOPPED,44.416
202,20251011_211257,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00686,0.47727,132,0.21538,0.21538,132,,STOPPED,16.555
203,20251011_211257,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.0104,0.47727,209,0.21538,0.21538,209,,STOPPED,26.128
204,20251011_211257,gaitset.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.01034,0.47727,114,0.21538,0.21538,114,,STOPPED,37.83
205,20251011_211257,gaitset_GREW.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00911,0.47727,218,0.21538,0.21538,218,,STOPPED,72.702
