id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,time_sec
16,20251009_124637,gaitgl.csv,baseline_OUMVLP.csv,TCN,42,128,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.014,0.47727,49,0.34028,0.41849,43,0.05726,COMPLETED,9.534
17,20251009_124637,gaitgl_GREW.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.00525,0.56818,53,0.47147,0.47147,53,0.00525,COMPLETED,11.432
18,20251009_124637,gaitgl_GREW_BNNeck.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.0129,0.34091,62,0.29832,0.41894,47,0.21443,COMPLETED,12.399
19,20251009_124637,gaitgl_OUMVLP.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.02224,0.43182,93,0.41593,0.47375,82,0.12266,COMPLETED,18.526
20,20251009_124637,gaitpart_GREW.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.02749,0.56818,61,0.49162,0.55266,40,0.33676,COMPLETED,11.111
21,20251009_124637,gaitpart_OUMVLP.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.0203,0.59091,135,0.54444,0.66066,97,0.32126,COMPLETED,24.521
22,20251009_124637,gaitset.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.01612,0.40909,57,0.27824,0.3314,42,0.23792,COMPLETED,11.171
23,20251009_124637,gaitset_GREW.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.01849,0.29545,77,0.29548,0.38496,69,0.09063,COMPLETED,15.154
24,20251009_124637,gaitset_OUMVLP.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.01905,0.5,200,0.50397,0.54438,183,0.04772,COMPLETED,39.338
25,20251009_124637,gln_phase1.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.01678,0.38636,76,0.36934,0.50199,46,0.23428,COMPLETED,16.135
