id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
13,20251231_162905,gln_phase2_TOP70.csv,70%,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13271,2.49482,0.31818,0.23347,"[0.46512, 0.0, 0.23529]",1017,0.51779,1.84093,0.52273,0.41282,"[0.65385, 0.2, 0.38462]",607,COMPLETED,337.946

14,20251231_162905,baseline_CASIAB_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11654,2.4356,0.45455,0.3801,"[0.55319, 0.2, 0.3871]",119,0.33513,1.65447,0.5,0.46327,"[0.58824, 0.44444, 0.35714]",110,COMPLETED,18.975
15,20251231_162905,baseline_OUMVLP_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12618,2.20737,0.47727,0.4098,"[0.5, 0.2, 0.52941]",164,0.37523,1.51792,0.54545,0.46382,"[0.55814, 0.22222, 0.61111]",99,COMPLETED,25.773
16,20251231_162905,gaitgl_GREW_BNNeck_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10997,2.74185,0.40909,0.36802,"[0.51163, 0.23529, 0.35714]",78,0.42471,2.56743,0.45455,0.41443,"[0.55, 0.21053, 0.48276]",44,COMPLETED,12.043
17,20251231_162905,gaitgl_GREW_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11404,1.81961,0.47727,0.35877,"[0.52632, 0.0, 0.55]",45,0.13137,1.83421,0.54545,0.51672,"[0.55556, 0.4, 0.59459]",43,COMPLETED,6.671
18,20251231_162905,gaitgl_OUMVLP_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11546,2.93688,0.29545,0.22017,"[0.39024, 0.0, 0.27027]",192,0.49666,1.48827,0.40909,0.28827,"[0.4898, 0.0, 0.375]",148,COMPLETED,28.436
19,20251231_162905,gaitgl_TOP70.csv,70%,Preset_2,TCN,42,128,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13343,2.33097,0.45455,0.32465,"[0.62963, 0.15385, 0.19048]",45,0.12064,2.49665,0.47727,0.39254,"[0.6087, 0.18182, 0.3871]",42,COMPLETED,6.494
20,20251231_162905,gaitpart_GREW_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1021,2.17434,0.47727,0.39869,"[0.57778, 0.16667, 0.45161]",197,0.21352,1.92261,0.52273,0.47375,"[0.5641, 0.28571, 0.57143]",172,COMPLETED,21.69
21,20251231_162905,gaitpart_OUMVLP_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13998,2.66444,0.38636,0.37844,"[0.43902, 0.4, 0.2963]",482,0.41645,2.06919,0.59091,0.52245,"[0.7037, 0.5, 0.36364]",421,COMPLETED,53.64
22,20251231_162905,gaitset_GREW_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13868,2.15987,0.5,0.42353,"[0.57778, 0.22222, 0.47059]",114,0.37015,1.69624,0.52273,0.49495,"[0.6, 0.4, 0.48485]",72,COMPLETED,16.78
23,20251231_162905,gaitset_OUMVLP_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12734,1.69524,0.56818,0.4563,"[0.66667, 0.22222, 0.48]",494,0.22931,2.01257,0.52273,0.50009,"[0.64865, 0.4, 0.45161]",472,COMPLETED,74.827
24,20251231_162905,gaitset_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11742,2.06501,0.43182,0.36281,"[0.55814, 0.16667, 0.36364]",94,0.3815,2.08824,0.47727,0.40869,"[0.57143, 0.22222, 0.43243]",72,COMPLETED,13.646
25,20251231_162905,gln_phase1_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11419,2.33851,0.47727,0.34603,"[0.57143, 0.0, 0.46667]",93,0.74997,1.34821,0.45455,0.43898,"[0.54054, 0.34783, 0.42857]",50,COMPLETED,16.1
26,20251231_162905,gln_phase2_TOP70.csv,70%,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11922,2.13638,0.5,0.33939,"[0.61818, 0.0, 0.4]",84,0.40088,2.04934,0.45455,0.43049,"[0.33333, 0.4, 0.55814]",54,COMPLETED,14.338

27,20251231_162905,baseline_CASIAB_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11951,2.24809,0.40909,0.34698,"[0.5, 0.15385, 0.3871]",164,0.27179,2.57378,0.54545,0.42698,"[0.69231, 0.15385, 0.43478]",122,COMPLETED,23.32
28,20251231_162905,baseline_OUMVLP_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13531,2.00914,0.45455,0.37854,"[0.55319, 0.15385, 0.42857]",225,0.54204,2.38866,0.45455,0.4345,"[0.42424, 0.35294, 0.52632]",209,COMPLETED,31.925
29,20251231_162905,gaitgl_GREW_BNNeck_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13281,2.43128,0.47727,0.45833,"[0.5, 0.375, 0.5]",163,0.5408,2.04731,0.56818,0.53846,"[0.61538, 0.42857, 0.57143]",154,COMPLETED,31.804
30,20251231_162905,gaitgl_GREW_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1272,2.53564,0.36364,0.30833,"[0.26667, 0.2, 0.45833]",86,0.12372,2.17712,0.40909,0.3548,"[0.42105, 0.18182, 0.46154]",83,COMPLETED,16.994
31,20251231_162905,gaitgl_OUMVLP_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10569,2.35646,0.52273,0.44544,"[0.55, 0.22222, 0.5641]",299,0.10569,2.35646,0.52273,0.44544,"[0.55, 0.22222, 0.5641]",299,COMPLETED,58.112
32,20251231_162905,gaitgl_TOP70.csv,70%,Preset_3,TCN,42,128,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12982,1.77419,0.40909,0.31429,"[0.42857, 0.0, 0.51429]",101,0.32366,1.93822,0.5,0.48215,"[0.59459, 0.33333, 0.51852]",80,COMPLETED,19.031
