id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
13,20251012_183155,gln_phase2.csv,Best_configs,TCN,42,256,"[256, 256]","[2, 3]",9,1,relu,False,True,"[None, 0.2]","[True, True]",max,64.0,96,RMSprop,,0.0001,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14199,0.54545,388,0.45455,0.58927,193,0.15923,STOPPED,43.352

27,20251012_183155,baseline_CASIAB.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14013,0.38636,956,0.31923,0.44833,303,0.20721,STOPPED,336.631
28,20251012_183155,baseline_OUMVLP.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13987,0.36364,1028,0.26684,0.40495,869,0.14232,STOPPED,361.605
29,20251012_183155,gaitgl.csv,Best_configs,TCN,42,128,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13963,0.34091,483,0.29948,0.4183,138,0.31117,STOPPED,241.697
30,20251012_183155,gaitgl_GREW.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13959,0.38636,632,0.33947,0.45004,391,0.14168,STOPPED,324.333
31,20251012_183155,gaitgl_GREW_BNNeck.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14595,0.5,1182,0.48334,0.4996,1019,0.14557,STOPPED,607.569
32,20251012_183155,gaitgl_OUMVLP.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14199,0.38636,1083,0.29645,0.42691,409,0.27459,STOPPED,556.418
33,20251012_183155,gaitpart_GREW.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14028,0.43182,836,0.34058,0.49596,264,0.19788,STOPPED,176.279
34,20251012_183155,gaitpart_OUMVLP.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14248,0.43182,1427,0.36034,0.56053,1214,0.19787,STOPPED,300.421
