number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
24,0.21637426900584797,PRUNED,2025-11-26 22:12:04.823145,2025-11-26 22:12:20.101058,0 days 00:00:15.277913,"[896, 896, 896, 896, 896]","[2, 3]",[1],relu,896,48,0.2,0.0002,L2,5,uniform,,mean,False,1e-06
25,0.1761006289308176,PRUNED,2025-11-26 22:12:20.103068,2025-11-26 22:12:23.631334,0 days 00:00:03.528266,"[896, 896, 896, 896, 896, 896]","[2, 4, 5]","[1, 3, 4, 5]",leakyrelu,896,64,0.2,0.0002,L2,6,uniform,,mean,False,1e-05
26,0.21839080459770113,PRUNED,2025-11-26 22:12:23.632351,2025-11-26 22:12:32.944525,0 days 00:00:09.312174,"[384, 384, 384, 384, 384]","[1, 2, 3, 4]","[1, 4]",gelu,384,16,0.2,0.0002,minmax,5,uniform,,mean,False,0.0
27,0.3849243487699886,COMPLETE,2025-11-26 22:12:32.944525,2025-11-26 22:12:46.931044,0 days 00:00:13.986519,"[896, 896, 896, 896, 896, 896]","[3, 4]",[4],tanh,896,128,0.5,5e-05,L2,6,uniform,,mean,False,1e-06
28,0.40332694126180596,COMPLETE,2025-11-26 22:12:46.933056,2025-11-26 22:13:17.263428,0 days 00:00:30.330372,"[768, 384, 192, 96]","[2, 3]","[1, 2]",elu,768,32,0.3,0.0005,L2,4,decreasing,,mean,False,1e-06
29,0.4293161783402316,COMPLETE,2025-11-26 22:13:17.265990,2025-11-26 22:13:47.593750,0 days 00:00:30.327760,"[768, 384, 192, 96]",[2],"[1, 2]",elu,768,32,0.3,0.0005,minmax,4,decreasing,,mean,False,1e-06
30,0.21287001287001286,PRUNED,2025-11-26 22:13:47.596259,2025-11-26 22:13:54.591543,0 days 00:00:06.995284,"[768, 384]",[1],[],elu,768,32,,0.0005,minmax,2,decreasing,,mean,False,1e-06
31,0.30136609571637824,PRUNED,2025-11-26 22:13:54.592557,2025-11-26 22:13:56.924132,0 days 00:00:02.331575,"[768, 384, 192, 96]",[2],"[1, 2]",elu,768,32,0.3,0.0005,minmax,4,decreasing,,mean,False,1e-06
32,0.40888763899239633,COMPLETE,2025-11-26 22:13:56.925137,2025-11-26 22:14:26.760000,0 days 00:00:29.834863,"[768, 384, 192, 96]",[2],"[1, 2]",elu,768,32,0.3,0.0005,minmax,4,decreasing,,mean,False,1e-06
33,0.27657378740970073,PRUNED,2025-11-26 22:14:26.762045,2025-11-26 22:14:28.896289,0 days 00:00:02.134244,"[768, 384, 192]",[2],"[1, 2]",elu,768,32,0.3,0.0005,minmax,3,decreasing,,mean,False,1e-05
34,0.4097733421501667,COMPLETE,2025-11-26 22:14:28.897294,2025-11-26 22:14:55.636145,0 days 00:00:26.738851,"[512, 256, 128, 64]",[2],"[1, 2]",leakyrelu,512,32,0.3,0.0001,minmax,4,decreasing,,mean,False,1e-06
35,0.26355943958940214,PRUNED,2025-11-26 22:14:55.637653,2025-11-26 22:15:02.008161,0 days 00:00:06.370508,"[512, 256]",[],[1],leakyrelu,512,64,0.3,0.0001,minmax,2,decreasing,,max,False,1e-07
36,0.29718686154329715,PRUNED,2025-11-26 22:15:02.009664,2025-11-26 22:15:04.331689,0 days 00:00:02.322025,"[64, 128, 256, 512]",[2],"[1, 2]",leakyrelu,512,32,0.3,0.0001,minmax,4,increasing,,mean,False,1e-06
37,0.2682421227197347,PRUNED,2025-11-26 22:15:04.332695,2025-11-26 22:15:06.298895,0 days 00:00:01.966200,"[1024, 512, 256]",[],"[1, 2]",leakyrelu,1024,32,0.3,0.0001,minmax,3,decreasing,,max,False,0.0
38,0.21839080459770113,PRUNED,2025-11-26 22:15:06.299917,2025-11-26 22:15:17.152910,0 days 00:00:10.852993,"[64, 64, 128, 256, 512]","[1, 2]","[2, 3]",leakyrelu,512,16,0.1,0.001,minmax,5,increasing,0.9,mean,True,0.0001
39,0.21839080459770113,PRUNED,2025-11-26 22:15:17.153916,2025-11-26 22:15:18.363650,0 days 00:00:01.209734,"[128, 64, 64]",[],"[1, 2]",silu,128,64,0.4,2e-05,minmax,3,decreasing,,mean,False,1e-07
40,0.21839080459770113,PRUNED,2025-11-26 22:15:18.364655,2025-11-26 22:15:19.596176,0 days 00:00:01.231521,"[512, 256, 128, 64]",[2],"[1, 2]",silu,512,96,0.1,5e-05,minmax,4,decreasing,0.5,max,True,1e-05
41,0.22350099460073883,PRUNED,2025-11-26 22:15:19.596680,2025-11-26 22:15:21.865209,0 days 00:00:02.268529,"[768, 384, 192, 96]",[2],"[1, 2]",elu,768,32,0.3,0.0005,minmax,4,decreasing,,mean,False,1e-06
42,0.4349342753236617,COMPLETE,2025-11-26 22:15:21.866712,2025-11-26 22:15:51.731070,0 days 00:00:29.864358,"[768, 384, 192, 96]",[2],"[1, 2]",elu,768,32,0.3,0.0005,minmax,4,decreasing,,mean,False,1e-06
43,0.25628759875335216,PRUNED,2025-11-26 22:15:51.733197,2025-11-26 22:15:54.256279,0 days 00:00:02.523082,"[1024, 512, 256, 128, 64]",[2],"[1, 2]",relu,1024,32,0.3,0.0001,minmax,5,decreasing,,mean,False,1e-06
44,0.256586224488749,COMPLETE,2025-11-26 22:15:54.257296,2025-11-26 22:16:22.671010,0 days 00:00:28.413714,"[640, 320, 160, 80]",[2],"[1, 2]",elu,640,32,0.3,1e-05,minmax,4,decreasing,,mean,False,0.0001
45,0.42403977016115596,COMPLETE,2025-11-26 22:16:22.673039,2025-11-26 22:16:45.749503,0 days 00:00:23.076464,"[192, 384, 768]",[2],"[1, 2]",gelu,768,32,0.3,0.0005,minmax,3,increasing,0.9,mean,True,1e-06
46,0.29764451107779444,PRUNED,2025-11-26 22:16:45.752521,2025-11-26 22:16:50.039777,0 days 00:00:04.287256,"[384, 768]",[],[1],gelu,768,96,0.5,0.0005,minmax,2,increasing,0.9,max,True,1e-06
47,0.21637426900584797,PRUNED,2025-11-26 22:16:50.041280,2025-11-26 22:17:03.790601,0 days 00:00:13.749321,"[192, 384, 768]",[2],"[1, 2]",gelu,768,16,0.4,0.0005,minmax,3,increasing,0.9,mean,True,1e-06
48,0.2654320987654321,PRUNED,2025-11-26 22:17:03.791606,2025-11-26 22:17:05.505289,0 days 00:00:01.713683,"[224, 448, 896]","[1, 2]",[2],gelu,896,128,0.3,0.0005,minmax,3,increasing,0.9,mean,True,1e-07
49,0.2839100783026017,PRUNED,2025-11-26 22:17:05.506290,2025-11-26 22:17:10.515261,0 days 00:00:05.008971,[768],[],[],silu,768,32,,2e-05,minmax,1,increasing,0.6,mean,True,1e-06
